Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Carson,Brian Chang,Bronwyn Cragg,Philip Fernandez,Ryan Lester,Rob Lewin,Bill Morneau,Annamie Paul,Jason Tavares,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 473","Toronto",0,24,0,0,15,1,88,22,0,0,150,224
35108,"Toronto Centre/Toronto-Centre"," 474","Toronto",0,42,0,9,0,0,83,8,0,0,142,316
35108,"Toronto Centre/Toronto-Centre"," 475","Toronto",4,64,0,0,27,0,151,22,0,3,271,486
35108,"Toronto Centre/Toronto-Centre"," 476","Toronto",Merged with No./Fusionné avec le n°477,,,,,,,,,,,167
35108,"Toronto Centre/Toronto-Centre"," 477","Toronto",0,39,0,1,13,0,115,18,0,0,186,205
35108,"Toronto Centre/Toronto-Centre"," 600","Toronto",3,176,2,1,85,4,576,144,1,1,993,
35108,"Toronto Centre/Toronto-Centre"," 601","Toronto",1,152,3,3,110,3,592,28,2,11,905,
35108,"Toronto Centre/Toronto-Centre"," 602","Toronto",3,160,0,0,55,4,507,76,1,2,808,
35108,"Toronto Centre/Toronto-Centre"," 603","Toronto",3,276,3,1,108,0,667,90,2,5,1155,
35108,"Toronto Centre/Toronto-Centre"," 604","Toronto",2,151,0,1,64,1,397,56,1,2,675,
35108,"Toronto Centre/Toronto-Centre"," 605","Toronto",2,156,6,1,54,1,497,69,3,3,792,
35108,"Toronto Centre/Toronto-Centre"," 606","Toronto",3,149,0,1,103,1,458,57,0,1,773,
35108,"Toronto Centre/Toronto-Centre"," 607","Toronto",6,200,2,0,59,2,405,64,0,6,744,
35108,"Toronto Centre/Toronto-Centre"," 608","Toronto",1,190,3,2,53,2,554,56,3,12,876,
35108,"Toronto Centre/Toronto-Centre"," 609","Toronto",3,195,1,1,83,4,464,41,2,5,799,
35108,"Toronto Centre/Toronto-Centre"," 610","Toronto",2,122,2,0,69,3,366,53,2,1,620,
35108,"Toronto Centre/Toronto-Centre"," 611","Toronto",2,252,1,1,97,4,790,80,0,3,1230,
35108,"Toronto Centre/Toronto-Centre"," 612","Toronto",0,215,1,3,108,1,625,103,1,5,1062,
35108,"Toronto Centre/Toronto-Centre"," 613","Toronto",2,125,0,0,90,0,474,59,5,2,757,
35108,"Toronto Centre/Toronto-Centre"," 614","Toronto",1,121,0,1,161,1,578,86,0,2,951,
35108,"Toronto Centre/Toronto-Centre",,Group 1/Groupe 1, 0,83,1,1,44,4,299,62,4,34,532,833
35108,"Toronto Centre/Toronto-Centre",,Group 2/Groupe 2, 4,384,0,2,179,4,857,137,4,58,1629,
