Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Jocelyn Grossé,Patrick King,Kelly Lorencz,Michelle Rempel,Josephine Tsang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 30","Calgary",0,9,14,5,103,26,1,158,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 31","Calgary",0,3,8,2,111,24,0,148,455
48009,"Calgary Nose Hill/Calgary Nose Hill"," 32","Calgary",0,2,8,1,92,18,1,122,364
48009,"Calgary Nose Hill/Calgary Nose Hill"," 33","Calgary",0,5,7,0,107,51,0,170,481
48009,"Calgary Nose Hill/Calgary Nose Hill"," 34","Calgary",0,3,20,2,108,35,0,168,455
48009,"Calgary Nose Hill/Calgary Nose Hill"," 35","Calgary",0,1,7,2,88,25,1,124,370
48009,"Calgary Nose Hill/Calgary Nose Hill"," 36","Calgary",0,1,7,1,71,14,0,94,330
48009,"Calgary Nose Hill/Calgary Nose Hill"," 37","Calgary",0,7,21,3,123,36,1,191,449
48009,"Calgary Nose Hill/Calgary Nose Hill"," 38","Calgary",0,11,32,5,187,44,0,279,531
48009,"Calgary Nose Hill/Calgary Nose Hill"," 39","Calgary",0,2,32,3,153,26,0,216,408
48009,"Calgary Nose Hill/Calgary Nose Hill"," 40","Calgary",1,9,16,5,137,25,1,194,424
48009,"Calgary Nose Hill/Calgary Nose Hill"," 41","Calgary",0,6,22,1,124,25,0,178,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 42","Calgary",1,4,13,4,163,23,3,211,492
48009,"Calgary Nose Hill/Calgary Nose Hill"," 43","Calgary",0,0,12,1,113,22,0,148,485
48009,"Calgary Nose Hill/Calgary Nose Hill"," 44","Calgary",0,3,9,1,105,19,1,138,348
48009,"Calgary Nose Hill/Calgary Nose Hill"," 45","Calgary",0,3,10,2,108,24,1,148,488
48009,"Calgary Nose Hill/Calgary Nose Hill"," 46","Calgary",0,2,16,2,128,32,0,180,469
48009,"Calgary Nose Hill/Calgary Nose Hill"," 47","Calgary",0,1,7,1,76,30,0,115,373
48009,"Calgary Nose Hill/Calgary Nose Hill"," 48","Calgary",0,1,9,3,119,21,6,159,464
48009,"Calgary Nose Hill/Calgary Nose Hill"," 49","Calgary",1,1,13,5,133,25,5,183,520
48009,"Calgary Nose Hill/Calgary Nose Hill"," 50","Calgary",0,1,3,2,109,28,0,143,365
48009,"Calgary Nose Hill/Calgary Nose Hill"," 51","Calgary",0,0,11,4,93,32,0,140,513
48009,"Calgary Nose Hill/Calgary Nose Hill"," 52","Calgary",1,12,26,4,146,41,0,230,474
48009,"Calgary Nose Hill/Calgary Nose Hill"," 53","Calgary",0,8,26,5,167,36,0,242,490
48009,"Calgary Nose Hill/Calgary Nose Hill"," 54","Calgary",0,2,20,5,125,36,0,188,472
48009,"Calgary Nose Hill/Calgary Nose Hill"," 55","Calgary",0,7,21,1,132,22,1,184,445
48009,"Calgary Nose Hill/Calgary Nose Hill"," 56","Calgary",0,6,14,4,117,38,0,179,439
48009,"Calgary Nose Hill/Calgary Nose Hill"," 57","Calgary",0,5,5,3,98,18,2,131,361
48009,"Calgary Nose Hill/Calgary Nose Hill"," 58","Calgary",0,7,28,6,163,38,0,242,479
48009,"Calgary Nose Hill/Calgary Nose Hill"," 59","Calgary",1,3,26,4,139,25,0,198,421
48009,"Calgary Nose Hill/Calgary Nose Hill"," 60","Calgary",0,6,20,5,139,37,1,208,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 61","Calgary",0,6,17,5,106,32,0,166,404
48009,"Calgary Nose Hill/Calgary Nose Hill"," 62","Calgary",0,2,18,0,91,18,0,129,340
48009,"Calgary Nose Hill/Calgary Nose Hill"," 63","Calgary",1,2,16,3,116,47,2,187,463
48009,"Calgary Nose Hill/Calgary Nose Hill"," 64","Calgary",1,2,20,3,123,43,0,192,457
48009,"Calgary Nose Hill/Calgary Nose Hill"," 65","Calgary",3,0,17,1,122,24,0,167,411
48009,"Calgary Nose Hill/Calgary Nose Hill"," 66","Calgary",0,2,17,6,136,43,1,205,491
48009,"Calgary Nose Hill/Calgary Nose Hill"," 67","Calgary",0,3,8,4,127,32,1,175,486
48009,"Calgary Nose Hill/Calgary Nose Hill"," 68","Calgary",0,2,16,1,93,28,0,140,384
48009,"Calgary Nose Hill/Calgary Nose Hill"," 69","Calgary",1,0,15,6,144,34,0,200,536
48009,"Calgary Nose Hill/Calgary Nose Hill"," 70","Calgary",1,0,11,0,110,42,1,165,433
48009,"Calgary Nose Hill/Calgary Nose Hill"," 71","Calgary",0,0,12,1,104,25,0,142,437
48009,"Calgary Nose Hill/Calgary Nose Hill"," 72","Calgary",0,1,10,1,100,28,0,140,398
48009,"Calgary Nose Hill/Calgary Nose Hill"," 73","Calgary",0,2,8,1,87,28,1,127,385
48009,"Calgary Nose Hill/Calgary Nose Hill"," 74","Calgary",0,4,17,3,109,29,0,162,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 75","Calgary",0,3,9,1,98,23,1,135,475
48009,"Calgary Nose Hill/Calgary Nose Hill"," 76","Calgary",0,6,24,2,132,34,4,202,586
48009,"Calgary Nose Hill/Calgary Nose Hill"," 77","Calgary",0,4,7,1,123,19,1,155,505
48009,"Calgary Nose Hill/Calgary Nose Hill"," 78","Calgary",0,6,21,4,128,35,1,195,498
48009,"Calgary Nose Hill/Calgary Nose Hill"," 79","Calgary",0,8,20,2,96,55,0,181,505
48009,"Calgary Nose Hill/Calgary Nose Hill"," 80","Calgary",0,10,14,3,121,26,0,174,560
48009,"Calgary Nose Hill/Calgary Nose Hill"," 81","Calgary",0,10,18,1,108,36,2,175,465
48009,"Calgary Nose Hill/Calgary Nose Hill"," 82","Calgary",0,3,17,2,92,31,1,146,334
48009,"Calgary Nose Hill/Calgary Nose Hill"," 83","Calgary",0,5,18,5,108,25,0,161,464
48009,"Calgary Nose Hill/Calgary Nose Hill"," 84","Calgary",0,16,35,7,98,41,0,197,447
48009,"Calgary Nose Hill/Calgary Nose Hill"," 85","Calgary",0,7,21,4,144,52,2,230,579
48009,"Calgary Nose Hill/Calgary Nose Hill"," 86","Calgary",0,1,17,2,143,47,0,210,488
48009,"Calgary Nose Hill/Calgary Nose Hill"," 87","Calgary",0,7,11,2,118,14,1,153,374
