Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Cooper,Kelsey Reichel,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 212","St. Lawrence",9,4,49,47,0,109,213
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 213","St. Lawrence",12,7,43,63,0,125,259
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 214","St. Lawrence",20,8,81,74,0,183,361
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 215","St. Lawrence",11,1,26,38,0,76,146
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 216","Grand Bank",9,1,26,28,0,64,192
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 217","Grand Bank",10,1,64,39,0,114,282
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 218","Grand Bank",8,2,57,34,1,102,237
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 219","Grand Bank",15,7,41,48,2,113,259
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 220","Grand Bank",11,5,49,35,0,100,314
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 221","Grand Bank",13,7,49,60,2,131,286
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 222A","Grand Bank",12,1,62,41,8,124,357
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 222B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,27
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 223","Lawn",16,8,106,148,0,278,523
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 224","Lord's Cove",6,1,35,19,0,61,127
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 225","Point au Gaul",2,0,8,17,3,30,61
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 226","Lamaline",7,2,50,50,0,109,204
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 227","Point May",10,2,41,53,0,106,202
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 500","Mobile poll/Bureau itinérant",3,0,10,2,3,18,32
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 501","Mobile poll/Bureau itinérant",1,0,28,5,0,34,59
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 502","Mobile poll/Bureau itinérant",2,0,41,15,0,58,106
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 503","Mobile poll/Bureau itinérant",1,2,55,14,1,73,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 504","Mobile poll/Bureau itinérant",3,1,31,8,7,50,77
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 505","Mobile poll/Bureau itinérant",2,0,9,4,7,22,28
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 506","Mobile poll/Bureau itinérant",4,1,56,23,8,92,142
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 507","Mobile poll/Bureau itinérant",0,1,27,2,5,35,40
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 508","Mobile poll/Bureau itinérant",1,4,47,16,2,70,89
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 509","Mobile poll/Bureau itinérant",1,4,31,10,2,48,57
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 600","Carmanville",6,8,31,34,0,79,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 601","New-Wes-Valley",8,3,81,31,10,133,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 602","Gambo",16,8,59,35,0,118,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 603","Glovertown",28,6,124,100,0,258,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 604","Musgravetown",20,8,71,78,0,177,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 605","Bonavista",13,5,106,82,0,206,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 606","Trinity Bay North",2,2,47,52,0,103,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 607","Clarenville",77,23,270,195,2,567,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 608","Old Perlican",38,4,61,25,0,128,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 609","Cavendish",31,1,58,31,0,121,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 610","Dildo",38,5,81,61,3,188,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 611","Norman's Cove-Long Cove",14,1,31,42,0,88,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 612","Arnold's Cove",17,0,47,33,0,97,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 613","North West Brook",8,2,30,21,0,61,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 614","Terrenceville",2,0,9,19,0,30,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 615","Boat Harbour West",5,0,18,20,2,45,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 616","Burin",25,7,79,43,1,155,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 617","Marystown",33,12,126,139,0,310,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 618","Grand Bank",14,4,120,88,0,226,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 619","St. Lawrence",10,2,45,38,1,96,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity",,Group 1/Groupe 1, 2,1,21,9,3,36,31
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity",,Group 2/Groupe 2, 134,34,432,437,34,1071,
