Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhonda Chen,Alana DeLong,Blair Herbert,Lydia Hwitsum,Alistair MacGregor,Robin Morton Stanbridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 505","Mobile poll/Bureau itinérant",2,15,11,10,20,0,2,60,91
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 506","Mobile poll/Bureau itinérant",2,6,11,10,8,0,3,40,55
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 600","Cowichan Valley",16,247,128,217,377,1,1,987,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 601","North Cowichan",23,261,121,265,396,3,2,1071,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 602","Cowichan Valley",19,501,252,352,543,2,0,1669,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 603","Cowichan 1",12,354,151,172,297,0,0,986,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 604","Cowichan 1",8,387,172,234,384,3,7,1195,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 605","Somenos",17,226,127,201,436,3,6,1016,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 606","Cowichan 1",14,197,156,202,383,6,2,960,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 607","Cowichan 1",15,143,86,145,258,5,4,656,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 608","Cowichan Valley",4,100,66,133,191,3,0,497,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 609","Cowichan Valley",8,188,115,210,226,1,2,750,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 610","Hatch Point 12",10,269,161,191,219,2,1,853,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 611","Cowichan Valley",8,176,84,154,193,1,0,616,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 612","Cowichan 1",23,273,141,326,314,1,3,1081,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 613","Hatch Point 12",8,261,154,227,219,4,7,880,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 614","Langford",16,298,202,249,322,1,4,1092,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 615","Langford",15,337,239,160,351,1,2,1105,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 616","Langford",21,348,270,254,485,4,3,1385,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 617","Langford",16,190,165,190,380,4,0,945,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 618","Langford",27,351,240,235,466,5,2,1326,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 619","Langford",17,401,278,295,499,2,6,1498,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 1/Groupe 1, 16,122,36,65,61,1,17,318,180
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 2/Groupe 2, 48,810,283,470,620,11,45,2287,
