Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Henri Cousineau,Kalden Dhatsenpa,Cathy Lepage,Casandra Poitras,Stéphane Robichaud,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 78","Longueuil",2,26,77,15,8,43,4,175,450
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 79","Longueuil",0,20,68,12,11,57,0,168,433
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 80","Longueuil",1,9,68,20,17,74,4,193,398
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 81","Longueuil",4,17,72,7,2,49,5,156,461
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 82","Longueuil",6,31,61,5,6,65,9,183,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 83","Longueuil",23,25,80,9,14,61,5,217,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 84","Longueuil",2,19,82,6,8,34,1,152,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 85","Longueuil",0,16,75,15,13,71,6,196,441
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 86","Longueuil",3,18,85,9,20,71,4,210,451
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 87","Longueuil",3,25,88,12,16,54,4,202,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 88","Longueuil",2,8,56,5,3,19,0,93,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 89","Longueuil",1,15,56,6,8,51,3,140,360
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 90","Longueuil",1,10,52,6,18,51,7,145,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 91","Longueuil",3,13,38,12,9,34,4,113,357
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 92","Longueuil",1,18,77,22,12,78,5,213,485
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 93","Longueuil",1,11,50,15,7,40,4,128,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 94","Longueuil",2,7,51,5,7,33,3,108,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 95","Longueuil",0,14,64,8,13,36,2,137,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 96","Longueuil",3,17,67,7,8,63,3,168,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 97","Longueuil",2,21,80,8,16,85,1,213,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 98","Longueuil",1,6,78,8,7,42,1,143,406
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 99","Longueuil",4,19,69,8,6,34,3,143,423
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 100","Longueuil",2,29,63,5,15,94,5,213,507
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 101","Longueuil",0,12,58,8,5,44,6,133,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 102","Longueuil",0,12,57,8,13,46,5,141,361
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 103","Longueuil",2,16,61,16,10,40,7,152,409
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 104","Longueuil",1,28,79,11,16,90,1,226,580
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 105","Longueuil",2,13,77,5,7,42,3,149,368
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 106","Longueuil",1,21,61,12,15,45,1,156,433
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 107","Longueuil",3,8,39,7,10,41,4,112,366
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 108","Longueuil",1,11,51,7,15,31,0,116,336
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 109","Longueuil",2,26,65,11,32,62,6,204,495
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 110","Longueuil",0,26,86,12,11,70,4,209,478
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 111","Longueuil",0,18,69,10,11,35,2,145,402
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 112","Longueuil",0,21,62,9,13,68,5,178,465
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 113","Longueuil",6,15,84,2,13,89,0,209,389
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 114","Longueuil",5,24,66,12,9,39,5,160,357
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 115","Longueuil",1,9,80,4,17,74,4,189,392
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 116","Longueuil",3,20,74,13,22,87,3,222,443
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 117","Longueuil",1,20,71,9,14,68,2,185,400
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 118","Longueuil",1,32,75,9,7,64,4,192,350
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 119","Longueuil",3,11,70,10,16,62,3,175,376
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 120","Longueuil",0,20,65,7,20,75,2,189,415
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 121","Longueuil",0,13,83,11,22,93,2,224,450
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 122","Longueuil",1,18,78,14,8,56,3,178,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 123","Longueuil",6,19,79,8,15,78,4,209,430
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 124","Longueuil",2,16,82,7,14,70,5,196,474
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 125","Longueuil",0,21,44,4,25,119,4,217,368
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 126","Longueuil",0,19,51,10,14,103,2,199,350
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 127","Longueuil",5,26,22,7,20,112,5,197,362
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 128","Longueuil",2,20,43,7,20,87,13,192,372
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 129","Longueuil",0,14,43,19,18,72,3,169,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 130","Longueuil",1,25,56,14,9,38,3,146,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 131","Longueuil",5,22,57,9,3,43,4,143,372
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 132","Longueuil",1,19,74,13,7,48,2,164,430
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 133A","Longueuil",1,14,33,18,13,80,4,163,410
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 133B","Longueuil",2,2,64,1,7,79,6,161,187
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 134","Longueuil",0,14,57,13,15,49,1,149,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 135","Longueuil",3,20,58,12,8,32,3,136,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 136","Longueuil",1,13,39,9,6,74,2,144,370
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 137","Longueuil",1,36,62,12,7,53,7,178,521
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 138","Longueuil",1,30,34,3,7,68,3,146,369
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 139","Longueuil",1,17,28,9,11,56,1,123,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 140","Longueuil",3,23,83,11,21,87,5,233,471
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 141","Longueuil",2,17,98,5,11,89,4,226,459
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 142","Longueuil",1,22,65,2,13,82,0,185,381
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 143","Longueuil",1,15,81,10,5,63,3,178,374
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 144","Longueuil",0,12,73,10,13,80,0,188,372
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 145","Longueuil",0,14,57,8,16,65,3,163,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 146","Longueuil",0,25,75,16,15,84,6,221,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 147","Longueuil",1,25,74,7,19,84,5,215,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 148","Longueuil",4,29,59,8,16,107,6,229,460
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 149","Longueuil",4,17,73,10,12,80,4,200,408
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 150","Longueuil",2,21,35,17,13,120,1,209,442
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 151","Longueuil",1,31,38,9,24,115,6,224,458
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 152","Longueuil",3,13,46,10,9,95,1,177,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 153","Longueuil",5,12,43,6,9,65,1,141,358
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 154","Longueuil",2,18,34,8,15,107,0,184,378
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 155","Longueuil",1,17,27,9,13,64,1,132,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 156","Longueuil",0,30,6,4,12,100,3,155,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 157","Longueuil",1,20,41,12,19,104,5,202,410
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 158","Longueuil",0,21,50,10,15,40,5,141,466
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 159","Longueuil",0,11,44,6,4,42,2,109,401
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 160","Longueuil",3,16,43,12,7,62,2,145,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 161","Longueuil",0,19,45,10,15,111,2,202,389
