Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 122","Trois-Pistoles",29,9,18,0,0,26,0,2,84,214
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 123","Trois-Pistoles",38,24,25,2,0,33,0,1,123,304
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 124","Trois-Pistoles",48,9,29,0,1,20,5,0,112,308
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 125","Trois-Pistoles",31,12,27,0,0,22,2,1,95,253
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 126","Trois-Pistoles",39,11,24,1,0,34,0,0,109,340
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 127","Trois-Pistoles",60,8,28,0,0,31,2,1,130,375
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 128","Trois-Pistoles",38,12,26,0,1,32,1,4,114,332
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 129","Trois-Pistoles",60,15,18,1,0,27,4,0,125,395
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 130","Lac-des-Aigles",96,13,62,1,1,34,8,2,217,415
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 131","Sainte-Françoise",65,27,29,4,1,36,2,4,168,321
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 132","Biencourt",70,33,43,1,1,50,2,2,202,378
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 133","Saint-Jean-de-Dieu",60,33,15,0,0,27,1,2,138,316
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 134A","Saint-Jean-de-Dieu",85,22,17,1,1,21,4,1,152,329
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 134B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,,38
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 135","Saint-Jean-de-Dieu",42,24,28,1,2,19,5,2,123,293
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 136","Saint-Jean-de-Dieu",51,17,13,0,0,9,2,2,94,270
