Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Coreen Corcoran,Chris G Jones,Angela Keller-Herzog,Marie-Chantal Leriche,Catherine McKenna,Stuart Ryan,Merylee Sevilla,Emilie Taman,Giang Ha Thu Vo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 99","Ottawa",2,13,4,3,17,0,95,0,3,77,0,0,214,405
35075,"Ottawa Centre/Ottawa-Centre"," 100","Ottawa",1,26,0,0,14,1,101,1,3,56,0,1,204,433
35075,"Ottawa Centre/Ottawa-Centre"," 101","Ottawa",0,30,1,0,9,0,65,1,4,76,0,0,186,383
35075,"Ottawa Centre/Ottawa-Centre"," 102","Ottawa",0,14,2,1,8,0,101,0,0,49,0,0,175,381
35075,"Ottawa Centre/Ottawa-Centre"," 103","Ottawa",0,37,3,0,20,1,105,0,5,92,0,0,263,545
35075,"Ottawa Centre/Ottawa-Centre"," 104","Ottawa",0,17,0,0,19,0,111,1,0,45,0,1,194,394
35075,"Ottawa Centre/Ottawa-Centre"," 105","Ottawa",0,22,2,0,18,0,77,0,4,49,0,2,174,365
35075,"Ottawa Centre/Ottawa-Centre"," 106","Ottawa",0,17,1,0,14,2,103,0,1,74,1,0,213,412
35075,"Ottawa Centre/Ottawa-Centre"," 107","Ottawa",0,10,0,0,15,0,97,0,1,76,0,2,201,402
35075,"Ottawa Centre/Ottawa-Centre"," 108","Ottawa",0,28,1,0,19,1,76,1,0,65,0,1,192,376
35075,"Ottawa Centre/Ottawa-Centre"," 109","Ottawa",0,55,2,0,20,0,137,0,2,68,0,3,287,447
35075,"Ottawa Centre/Ottawa-Centre"," 110","Ottawa",1,22,1,0,26,0,156,0,2,76,0,2,286,462
35075,"Ottawa Centre/Ottawa-Centre"," 111","Ottawa",1,15,1,0,14,0,83,0,2,90,0,0,206,355
35075,"Ottawa Centre/Ottawa-Centre"," 112","Ottawa",1,22,0,0,29,1,94,0,2,104,0,1,254,492
35075,"Ottawa Centre/Ottawa-Centre"," 113","Ottawa",0,13,1,1,31,2,98,0,2,104,0,1,253,485
35075,"Ottawa Centre/Ottawa-Centre"," 114","Ottawa",0,16,2,2,19,0,77,1,0,87,0,0,204,420
35075,"Ottawa Centre/Ottawa-Centre"," 115","Ottawa",3,28,0,1,19,0,97,0,3,87,0,1,239,475
35075,"Ottawa Centre/Ottawa-Centre"," 116","Ottawa",0,20,0,0,17,2,95,0,5,84,0,0,223,401
35075,"Ottawa Centre/Ottawa-Centre"," 117","Ottawa",0,15,0,0,17,0,78,1,2,91,0,1,205,391
35075,"Ottawa Centre/Ottawa-Centre"," 118","Ottawa",0,20,1,0,27,0,96,0,2,61,0,0,207,455
35075,"Ottawa Centre/Ottawa-Centre"," 119","Ottawa",1,16,0,1,16,2,103,0,3,58,0,0,200,370
35075,"Ottawa Centre/Ottawa-Centre"," 120","Ottawa",0,20,1,0,12,0,118,0,1,56,0,0,208,411
35075,"Ottawa Centre/Ottawa-Centre"," 121","Ottawa",1,30,0,0,14,0,102,0,2,40,0,3,192,428
35075,"Ottawa Centre/Ottawa-Centre"," 122","Ottawa",0,20,2,0,16,1,75,0,2,64,0,0,180,376
35075,"Ottawa Centre/Ottawa-Centre"," 123","Ottawa",0,18,1,0,18,0,124,1,0,78,0,2,242,427
35075,"Ottawa Centre/Ottawa-Centre"," 124","Ottawa",0,14,0,0,4,0,62,0,0,31,0,0,111,269
35075,"Ottawa Centre/Ottawa-Centre"," 125","Ottawa",1,13,4,2,18,0,82,0,4,49,0,1,174,371
35075,"Ottawa Centre/Ottawa-Centre"," 126","Ottawa",1,42,2,1,19,0,163,0,5,125,0,3,361,673
35075,"Ottawa Centre/Ottawa-Centre"," 127","Ottawa",0,40,0,0,16,1,146,0,4,79,0,2,288,496
35075,"Ottawa Centre/Ottawa-Centre"," 128","Ottawa",1,44,1,0,21,1,142,1,4,81,1,0,297,548
35075,"Ottawa Centre/Ottawa-Centre"," 129","Ottawa",0,26,2,3,15,2,77,0,1,81,0,2,209,421
35075,"Ottawa Centre/Ottawa-Centre"," 130","Ottawa",0,34,0,1,17,1,148,1,2,101,0,1,306,666
35075,"Ottawa Centre/Ottawa-Centre"," 131","Ottawa",1,34,2,0,18,1,103,0,1,68,0,0,228,403
35075,"Ottawa Centre/Ottawa-Centre"," 132","Ottawa",0,46,0,0,12,2,124,0,2,50,1,1,238,457
35075,"Ottawa Centre/Ottawa-Centre"," 133","Ottawa",0,29,0,0,9,0,98,0,1,57,0,0,194,464
35075,"Ottawa Centre/Ottawa-Centre"," 134","Ottawa",0,39,3,0,17,1,107,1,3,86,0,1,258,468
35075,"Ottawa Centre/Ottawa-Centre"," 135","Ottawa",1,26,0,0,14,0,99,2,2,73,0,1,218,472
35075,"Ottawa Centre/Ottawa-Centre"," 136","Ottawa",0,17,1,1,23,1,93,0,7,104,0,0,247,433
35075,"Ottawa Centre/Ottawa-Centre"," 137","Ottawa",1,20,1,0,23,0,145,0,5,85,0,1,281,483
35075,"Ottawa Centre/Ottawa-Centre"," 138","Ottawa",0,17,2,0,22,0,104,0,0,83,0,3,231,443
35075,"Ottawa Centre/Ottawa-Centre"," 139","Ottawa",0,8,0,0,15,0,108,0,4,73,0,0,208,430
35075,"Ottawa Centre/Ottawa-Centre"," 140","Ottawa",0,15,0,0,18,0,85,0,5,73,0,0,196,413
35075,"Ottawa Centre/Ottawa-Centre"," 141","Ottawa",0,20,1,0,16,0,106,0,1,60,0,0,204,398
35075,"Ottawa Centre/Ottawa-Centre"," 142","Ottawa",0,23,0,0,16,0,122,0,0,70,0,0,231,392
35075,"Ottawa Centre/Ottawa-Centre"," 143","Ottawa",1,47,1,1,14,0,163,0,3,75,0,1,306,548
35075,"Ottawa Centre/Ottawa-Centre"," 144","Ottawa",0,39,1,0,17,0,142,0,2,64,1,0,266,437
35075,"Ottawa Centre/Ottawa-Centre"," 145","Ottawa",0,45,2,0,16,1,147,0,3,87,0,2,303,433
35075,"Ottawa Centre/Ottawa-Centre"," 146","Ottawa",4,47,2,0,19,1,125,0,3,60,0,0,261,493
35075,"Ottawa Centre/Ottawa-Centre"," 147","Ottawa",1,25,1,0,22,0,109,0,3,93,0,0,254,502
35075,"Ottawa Centre/Ottawa-Centre"," 148","Ottawa",0,18,1,0,16,0,111,0,1,55,0,0,202,401
35075,"Ottawa Centre/Ottawa-Centre"," 149","Ottawa",0,49,0,0,16,0,144,0,1,50,1,1,262,553
35075,"Ottawa Centre/Ottawa-Centre"," 150","Ottawa",1,48,1,1,22,0,138,0,1,65,0,1,278,527
35075,"Ottawa Centre/Ottawa-Centre"," 151","Ottawa",2,30,6,0,19,1,153,0,1,50,0,0,262,546
35075,"Ottawa Centre/Ottawa-Centre"," 152","Ottawa",0,24,0,0,22,1,137,0,1,84,0,0,269,446
35075,"Ottawa Centre/Ottawa-Centre"," 153","Ottawa",1,44,0,0,24,1,126,0,2,68,0,0,266,479
35075,"Ottawa Centre/Ottawa-Centre"," 154","Ottawa",0,27,0,3,19,0,137,1,0,64,0,0,251,480
35075,"Ottawa Centre/Ottawa-Centre"," 155","Ottawa",0,36,0,0,12,0,144,0,1,39,0,0,232,438
35075,"Ottawa Centre/Ottawa-Centre"," 156","Ottawa",0,39,0,0,33,3,161,0,1,97,0,2,336,635
35075,"Ottawa Centre/Ottawa-Centre"," 157","Ottawa",0,31,0,0,8,2,90,0,1,57,0,0,189,360
35075,"Ottawa Centre/Ottawa-Centre"," 158","Ottawa",0,11,1,0,11,0,27,0,0,31,0,0,81,530
35075,"Ottawa Centre/Ottawa-Centre"," 159","Ottawa",0,44,2,0,19,1,191,0,4,77,0,1,339,603
35075,"Ottawa Centre/Ottawa-Centre"," 160","Ottawa",1,38,0,1,15,0,126,1,2,100,2,3,289,516
35075,"Ottawa Centre/Ottawa-Centre"," 161","Ottawa",1,50,1,0,13,0,132,0,1,70,0,1,269,467
35075,"Ottawa Centre/Ottawa-Centre"," 162","Ottawa",1,39,2,1,17,0,156,1,1,60,0,0,278,512
35075,"Ottawa Centre/Ottawa-Centre"," 163","Ottawa",0,42,0,0,16,0,136,0,1,57,0,0,252,531
35075,"Ottawa Centre/Ottawa-Centre"," 164","Ottawa",0,41,0,1,12,0,104,1,2,60,0,1,222,415
35075,"Ottawa Centre/Ottawa-Centre"," 165","Ottawa",0,35,0,1,5,0,117,0,3,44,0,0,205,384
35075,"Ottawa Centre/Ottawa-Centre"," 166","Ottawa",0,26,0,1,13,2,106,0,1,64,0,0,213,405
35075,"Ottawa Centre/Ottawa-Centre"," 167","Ottawa",0,19,1,0,9,0,63,0,0,31,0,3,126,411
35075,"Ottawa Centre/Ottawa-Centre"," 168","Ottawa",0,48,1,0,15,2,141,1,0,86,0,0,294,563
