Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeffrey Barnes,Frédéric Beauchemin,Maxime Beaudoin,Michel Boudrias,France Gagnon,Jade Hébert,Réjean Monette,Paul Vézina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 103","Terrebonne",3,53,31,124,26,0,9,0,11,257,549
24075,"Terrebonne/Terrebonne"," 104","Terrebonne",1,48,18,100,9,1,4,0,6,187,507
24075,"Terrebonne/Terrebonne"," 105","Terrebonne",5,52,21,112,12,1,12,1,4,220,504
24075,"Terrebonne/Terrebonne"," 106","Terrebonne",2,62,24,92,21,1,11,1,6,220,487
24075,"Terrebonne/Terrebonne"," 107","Terrebonne",1,44,30,124,15,1,5,1,3,224,538
24075,"Terrebonne/Terrebonne"," 108","Terrebonne",3,47,22,121,7,1,10,0,3,214,511
24075,"Terrebonne/Terrebonne"," 109","Terrebonne",1,68,14,133,18,0,20,1,0,255,554
24075,"Terrebonne/Terrebonne"," 110","Terrebonne",2,46,12,102,15,1,5,1,3,187,480
24075,"Terrebonne/Terrebonne"," 111","Terrebonne",2,42,19,108,13,0,9,0,6,199,531
24075,"Terrebonne/Terrebonne"," 112","Terrebonne",1,91,28,146,15,0,6,2,10,299,522
24075,"Terrebonne/Terrebonne"," 113","Terrebonne",4,101,33,164,20,1,10,2,10,345,622
24075,"Terrebonne/Terrebonne"," 114","Terrebonne",0,67,16,139,26,1,10,1,8,268,531
24075,"Terrebonne/Terrebonne"," 115","Terrebonne",0,98,30,154,22,0,15,3,10,332,580
24075,"Terrebonne/Terrebonne"," 116","Terrebonne",0,68,26,131,24,0,4,0,5,258,484
24075,"Terrebonne/Terrebonne"," 117","Terrebonne",1,67,25,156,23,1,16,2,5,296,554
24075,"Terrebonne/Terrebonne"," 118","Terrebonne",0,86,16,125,20,0,16,2,7,272,462
24075,"Terrebonne/Terrebonne"," 119","Terrebonne",2,89,21,128,21,1,6,1,6,275,515
24075,"Terrebonne/Terrebonne"," 120","Terrebonne",1,97,26,121,8,1,7,0,4,265,505
24075,"Terrebonne/Terrebonne"," 121","Terrebonne",3,92,27,104,24,1,6,2,2,261,501
24075,"Terrebonne/Terrebonne"," 122","Terrebonne",5,46,25,127,11,0,9,1,4,228,463
24075,"Terrebonne/Terrebonne"," 123","Terrebonne",2,82,20,139,18,0,8,0,2,271,553
24075,"Terrebonne/Terrebonne"," 124","Terrebonne",0,89,22,134,17,2,14,2,8,288,521
24075,"Terrebonne/Terrebonne"," 125","Terrebonne",1,70,32,147,12,0,11,0,9,282,524
24075,"Terrebonne/Terrebonne"," 126","Terrebonne",0,63,21,130,9,2,10,1,3,239,455
24075,"Terrebonne/Terrebonne"," 127","Terrebonne",0,77,19,96,9,0,6,1,5,213,500
24075,"Terrebonne/Terrebonne"," 128","Terrebonne",0,94,18,124,11,0,8,0,2,257,525
24075,"Terrebonne/Terrebonne"," 129","Terrebonne",1,111,26,170,14,0,12,0,2,336,556
24075,"Terrebonne/Terrebonne"," 130","Terrebonne",3,80,20,156,19,0,13,0,6,297,474
24075,"Terrebonne/Terrebonne"," 131","Terrebonne",0,92,27,160,22,0,13,0,8,322,508
24075,"Terrebonne/Terrebonne"," 132","Terrebonne",2,61,28,171,25,0,13,1,4,305,521
24075,"Terrebonne/Terrebonne"," 133","Terrebonne",2,70,18,129,20,3,10,1,4,257,515
24075,"Terrebonne/Terrebonne"," 134","Terrebonne",1,48,19,115,22,0,7,2,3,217,498
24075,"Terrebonne/Terrebonne"," 135","Terrebonne",3,58,16,115,13,0,17,1,5,228,518
24075,"Terrebonne/Terrebonne"," 136","Terrebonne",1,58,13,126,14,0,10,5,4,231,505
24075,"Terrebonne/Terrebonne"," 137","Terrebonne",0,48,19,157,11,1,11,2,6,255,570
24075,"Terrebonne/Terrebonne"," 138","Terrebonne",0,56,22,123,12,0,20,0,2,235,534
24075,"Terrebonne/Terrebonne"," 139","Terrebonne",1,26,15,135,9,3,12,2,6,209,551
24075,"Terrebonne/Terrebonne"," 140","Terrebonne",1,38,13,144,7,0,17,2,6,228,608
24075,"Terrebonne/Terrebonne"," 141","Terrebonne",0,82,23,131,17,4,11,1,2,271,540
24075,"Terrebonne/Terrebonne"," 142","Terrebonne",5,64,17,141,18,0,13,1,10,269,548
24075,"Terrebonne/Terrebonne"," 143","Terrebonne",0,78,20,155,10,2,11,1,0,277,550
24075,"Terrebonne/Terrebonne"," 144","Terrebonne",1,80,18,145,26,0,11,0,7,288,548
