Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Susan Hayton,Jan Norris,Guto Penteado,Corey Tochor,Jeff Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 67B","Saskatoon",29,17,3,2,75,1,0,127,321
47011,"Saskatoon--University/Saskatoon--University"," 68A","Saskatoon",27,16,7,0,74,0,2,126,274
47011,"Saskatoon--University/Saskatoon--University"," 68B","Saskatoon",35,12,3,6,76,0,2,134,301
47011,"Saskatoon--University/Saskatoon--University"," 69A","Saskatoon",37,18,3,1,72,1,1,133,284
47011,"Saskatoon--University/Saskatoon--University"," 69B","Saskatoon",52,13,4,2,80,0,1,152,327
47011,"Saskatoon--University/Saskatoon--University"," 70","Saskatoon",46,16,4,3,140,0,2,211,495
47011,"Saskatoon--University/Saskatoon--University"," 71","Saskatoon",41,17,6,2,74,0,0,140,342
47011,"Saskatoon--University/Saskatoon--University"," 72","Saskatoon",61,24,4,1,142,0,0,232,480
47011,"Saskatoon--University/Saskatoon--University"," 73","Saskatoon",40,12,3,1,98,1,0,155,360
47011,"Saskatoon--University/Saskatoon--University"," 74","Saskatoon",34,18,4,3,86,0,2,147,367
47011,"Saskatoon--University/Saskatoon--University"," 75","Saskatoon",44,25,3,1,81,3,0,157,380
47011,"Saskatoon--University/Saskatoon--University"," 76","Saskatoon",38,16,5,3,81,2,0,145,345
47011,"Saskatoon--University/Saskatoon--University"," 77","Saskatoon",54,31,4,0,107,1,0,197,396
47011,"Saskatoon--University/Saskatoon--University"," 78","Saskatoon",45,21,4,0,152,0,1,223,474
47011,"Saskatoon--University/Saskatoon--University"," 79","Saskatoon",75,9,9,13,120,2,1,229,496
47011,"Saskatoon--University/Saskatoon--University"," 80","Saskatoon",84,25,4,6,79,0,1,199,450
47011,"Saskatoon--University/Saskatoon--University"," 81","Saskatoon",68,20,6,1,122,0,1,218,439
47011,"Saskatoon--University/Saskatoon--University"," 82","Saskatoon",71,24,6,1,137,0,1,240,436
47011,"Saskatoon--University/Saskatoon--University"," 83","Saskatoon",68,15,4,4,93,0,0,184,381
47011,"Saskatoon--University/Saskatoon--University"," 84","Saskatoon",50,43,4,5,79,1,0,182,411
47011,"Saskatoon--University/Saskatoon--University"," 85","Saskatoon",68,23,8,4,81,0,3,187,404
47011,"Saskatoon--University/Saskatoon--University"," 86","Saskatoon",84,26,7,3,92,3,1,216,427
47011,"Saskatoon--University/Saskatoon--University"," 87","Saskatoon",62,27,6,1,50,0,1,147,375
47011,"Saskatoon--University/Saskatoon--University"," 88","Saskatoon",86,25,10,7,111,4,1,244,496
47011,"Saskatoon--University/Saskatoon--University"," 89","Saskatoon",61,22,6,6,90,1,2,188,420
47011,"Saskatoon--University/Saskatoon--University"," 90","Saskatoon",73,19,4,2,92,0,2,192,438
47011,"Saskatoon--University/Saskatoon--University"," 91","Saskatoon",50,6,14,3,71,3,1,148,380
47011,"Saskatoon--University/Saskatoon--University"," 92","Saskatoon",78,25,8,6,102,5,0,224,440
47011,"Saskatoon--University/Saskatoon--University"," 93","Saskatoon",65,16,5,7,84,3,0,180,406
47011,"Saskatoon--University/Saskatoon--University"," 94","Saskatoon",57,19,7,0,112,0,2,197,419
47011,"Saskatoon--University/Saskatoon--University"," 95","Saskatoon",113,47,10,4,153,0,1,328,769
47011,"Saskatoon--University/Saskatoon--University"," 96","Saskatoon",85,41,7,1,80,1,3,218,335
47011,"Saskatoon--University/Saskatoon--University"," 97","Saskatoon",67,21,4,1,145,4,0,242,507
47011,"Saskatoon--University/Saskatoon--University"," 98","Saskatoon",44,27,7,0,116,1,1,196,394
47011,"Saskatoon--University/Saskatoon--University"," 99","Saskatoon",48,21,2,2,91,4,1,169,337
47011,"Saskatoon--University/Saskatoon--University"," 100","Saskatoon",63,25,0,2,140,2,2,234,483
47011,"Saskatoon--University/Saskatoon--University"," 101A","Saskatoon",39,22,3,2,96,2,0,164,301
47011,"Saskatoon--University/Saskatoon--University"," 101B","Saskatoon",48,12,4,0,86,2,0,152,318
47011,"Saskatoon--University/Saskatoon--University"," 102","Saskatoon",36,22,3,0,120,0,2,183,364
47011,"Saskatoon--University/Saskatoon--University"," 103","Saskatoon",29,22,1,7,94,1,0,154,348
47011,"Saskatoon--University/Saskatoon--University"," 104","Saskatoon",37,20,4,1,123,2,1,188,396
47011,"Saskatoon--University/Saskatoon--University"," 105","Saskatoon",46,25,0,1,136,0,0,208,406
47011,"Saskatoon--University/Saskatoon--University"," 106","Saskatoon",53,23,5,4,85,1,0,171,398
47011,"Saskatoon--University/Saskatoon--University"," 107","Saskatoon",47,15,5,2,70,3,0,142,330
47011,"Saskatoon--University/Saskatoon--University"," 108","Saskatoon",46,7,3,0,97,1,1,155,371
47011,"Saskatoon--University/Saskatoon--University"," 109","Saskatoon",53,22,2,3,128,1,1,210,388
47011,"Saskatoon--University/Saskatoon--University"," 110","Saskatoon",38,33,3,1,140,0,1,216,455
47011,"Saskatoon--University/Saskatoon--University"," 111A","Saskatoon",33,16,1,3,93,3,2,151,330
47011,"Saskatoon--University/Saskatoon--University"," 111B","Saskatoon",46,21,4,3,106,1,0,181,358
