Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Cole,Darren Fisher,Michelle Lindsay,Lil MacPherson,Emma Norton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 73","Halifax",17,64,1,16,48,1,147,442
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 74","Halifax",22,53,5,17,65,5,167,447
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 75","Halifax",12,43,2,9,54,2,122,385
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 76","Halifax",12,36,6,15,37,3,109,434
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 77","Halifax",17,48,3,19,41,0,128,437
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 78","Halifax",30,94,6,20,38,3,191,356
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 79","Halifax",32,88,5,16,40,1,182,329
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 80","Halifax",39,122,5,24,41,0,231,355
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81","Halifax",40,128,1,35,58,3,265,412
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 82","Halifax",32,93,6,22,53,3,209,364
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 83","Halifax",32,86,5,13,63,1,200,402
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 84","Halifax",30,95,6,19,56,2,208,377
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 85","Halifax",34,91,0,15,46,1,187,371
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 86","Halifax",33,87,1,5,40,0,166,402
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 87","Halifax",45,150,6,26,59,1,287,601
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 88","Halifax",34,135,3,28,62,1,263,573
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89","Halifax",28,107,0,18,33,2,188,403
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 90","Halifax",29,136,1,15,50,1,232,409
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 91","Halifax",24,111,0,23,70,3,231,475
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 92","Halifax",19,108,1,23,67,1,219,488
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 93","Halifax",23,103,3,28,86,1,244,459
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 94","Halifax",49,118,4,15,65,2,253,495
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 95","Halifax",35,124,7,24,82,0,272,483
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 96","Halifax",38,128,3,26,48,2,245,449
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 97","Halifax",53,101,5,22,67,0,248,475
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 98","Halifax",33,101,5,18,62,0,219,461
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 99","Halifax",58,85,6,14,50,4,217,455
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 100","Halifax",38,128,3,12,39,3,223,367
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 101","Halifax",44,102,5,22,56,2,231,417
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 102","Halifax",43,103,2,17,59,0,224,390
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 103","Halifax",35,71,2,13,21,1,143,297
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104","Halifax",43,111,2,21,55,0,232,413
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 105","Halifax",57,146,1,10,47,1,262,543
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 106","Halifax",61,98,1,12,27,1,200,427
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 107","Halifax",22,84,7,24,54,2,193,501
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 108","Halifax",7,47,1,10,31,0,96,261
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 109","Halifax",11,64,4,12,76,0,167,331
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 110","Halifax",32,91,2,23,38,1,187,324
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 111","Halifax",28,109,3,19,30,1,190,322
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 112","Halifax",17,105,1,24,77,3,227,409
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 113","Halifax",12,95,4,19,87,1,218,391
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 114","Halifax",21,99,5,29,118,2,274,452
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 115","Halifax",41,143,2,17,58,2,263,459
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 116","Halifax",64,138,5,15,54,0,276,463
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 117","Halifax",65,206,7,30,33,10,351,573
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 118","Halifax",59,162,1,28,54,4,308,538
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 119","Halifax",42,169,5,19,46,4,285,480
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 120","Halifax",59,92,0,11,52,1,215,391
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 121","Halifax",41,101,1,11,32,4,190,340
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 122","Halifax",47,82,3,17,55,0,204,384
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 123","Halifax",30,89,7,5,43,2,176,344
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 124","Halifax",22,98,1,17,38,4,180,373
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 125","Halifax",24,53,1,9,43,3,133,293
