Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Baljit Bawa,Jordan Boswell,David Gershuny,Pawanjit Gosal,Ramesh Sangha,Pauline Thornham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 136","Brampton",10,28,0,60,95,7,5,205,410
35008,"Brampton Centre/Brampton-Centre"," 137","Brampton",3,39,0,81,136,15,1,275,540
35008,"Brampton Centre/Brampton-Centre"," 138","Brampton",2,39,0,33,80,9,5,168,377
35008,"Brampton Centre/Brampton-Centre"," 139","Brampton",3,42,1,37,93,3,0,179,440
35008,"Brampton Centre/Brampton-Centre"," 140","Brampton",3,36,0,33,68,2,1,143,345
35008,"Brampton Centre/Brampton-Centre"," 141","Brampton",0,50,1,21,100,1,1,174,385
35008,"Brampton Centre/Brampton-Centre"," 142","Brampton",6,54,0,50,93,3,0,206,485
35008,"Brampton Centre/Brampton-Centre"," 143","Brampton",4,38,1,51,124,9,1,228,363
35008,"Brampton Centre/Brampton-Centre"," 400","Brampton",1,20,0,28,90,7,3,149,370
35008,"Brampton Centre/Brampton-Centre"," 401","Brampton",2,38,0,28,109,7,0,184,457
35008,"Brampton Centre/Brampton-Centre"," 402","Brampton",7,21,0,32,90,6,1,157,411
35008,"Brampton Centre/Brampton-Centre"," 403","Brampton",3,28,0,52,75,10,1,169,343
35008,"Brampton Centre/Brampton-Centre"," 404","Brampton",2,13,0,53,80,6,2,156,322
35008,"Brampton Centre/Brampton-Centre"," 405","Brampton",2,15,0,31,80,7,5,140,299
35008,"Brampton Centre/Brampton-Centre"," 406","Brampton",3,14,0,19,60,3,2,101,284
35008,"Brampton Centre/Brampton-Centre"," 407","Brampton",1,16,1,35,74,5,5,137,311
35008,"Brampton Centre/Brampton-Centre"," 408","Brampton",3,21,1,27,100,3,10,165,265
35008,"Brampton Centre/Brampton-Centre"," 409","Brampton",3,24,0,30,104,2,1,164,478
35008,"Brampton Centre/Brampton-Centre"," 410","Brampton",0,25,0,35,58,7,0,125,320
35008,"Brampton Centre/Brampton-Centre"," 411","Brampton",3,25,0,26,63,5,2,124,309
35008,"Brampton Centre/Brampton-Centre"," 412","Brampton",0,19,0,24,60,2,3,108,234
35008,"Brampton Centre/Brampton-Centre"," 413","Brampton",1,12,0,19,72,2,4,110,302
35008,"Brampton Centre/Brampton-Centre"," 414","Brampton",3,18,0,29,90,4,0,144,369
35008,"Brampton Centre/Brampton-Centre"," 415","Brampton",2,16,0,12,56,2,1,89,238
35008,"Brampton Centre/Brampton-Centre"," 416","Brampton",1,12,0,14,46,2,2,77,233
35008,"Brampton Centre/Brampton-Centre"," 417","Brampton",3,5,0,8,39,3,1,59,222
35008,"Brampton Centre/Brampton-Centre"," 418","Brampton",0,20,0,30,43,3,0,96,265
35008,"Brampton Centre/Brampton-Centre"," 419","Brampton",1,26,0,24,72,5,2,130,340
35008,"Brampton Centre/Brampton-Centre"," 420","Brampton",5,16,1,19,59,1,2,103,319
35008,"Brampton Centre/Brampton-Centre"," 421","Brampton",3,20,0,21,63,5,0,112,296
35008,"Brampton Centre/Brampton-Centre"," 422","Brampton",3,21,0,41,52,11,7,135,197
35008,"Brampton Centre/Brampton-Centre"," 423","Brampton",3,27,0,42,40,6,3,121,198
35008,"Brampton Centre/Brampton-Centre"," 424","Brampton",1,17,1,28,36,4,0,87,127
35008,"Brampton Centre/Brampton-Centre"," 600","Brampton",1,102,0,167,171,14,5,460,
35008,"Brampton Centre/Brampton-Centre"," 601","Brampton",9,104,2,196,294,24,10,639,
35008,"Brampton Centre/Brampton-Centre"," 602","Brampton",9,101,0,210,291,27,7,645,
35008,"Brampton Centre/Brampton-Centre"," 603","Brampton",15,116,3,186,378,24,5,727,
35008,"Brampton Centre/Brampton-Centre"," 604","Brampton",13,170,1,298,338,35,16,871,
35008,"Brampton Centre/Brampton-Centre"," 605","Brampton",13,125,0,164,242,20,3,567,
35008,"Brampton Centre/Brampton-Centre"," 606","Brampton",9,74,3,158,262,27,2,535,
35008,"Brampton Centre/Brampton-Centre"," 607","Brampton",11,122,1,196,296,28,3,657,
35008,"Brampton Centre/Brampton-Centre"," 608","Brampton",5,183,3,248,487,27,17,970,
35008,"Brampton Centre/Brampton-Centre"," 609","Brampton",1,89,2,141,268,17,3,521,
35008,"Brampton Centre/Brampton-Centre"," 610","Brampton",8,47,1,107,182,10,5,360,
35008,"Brampton Centre/Brampton-Centre"," 611","Brampton",7,124,5,148,323,22,6,635,
35008,"Brampton Centre/Brampton-Centre"," 612","Brampton",6,57,1,105,131,16,2,318,
35008,"Brampton Centre/Brampton-Centre"," 613","Brampton",11,127,2,185,416,22,16,779,
35008,"Brampton Centre/Brampton-Centre",,Group 1/Groupe 1, 2,14,0,18,39,6,7,86,108
35008,"Brampton Centre/Brampton-Centre",,Group 2/Groupe 2, 10,143,1,153,400,37,31,775,
