Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 45","Calgary",1,1,1,23,27,53,84,1,191,398
48005,"Calgary Confederation/Calgary Confederation"," 46","Calgary",1,6,0,20,31,46,70,1,175,391
48005,"Calgary Confederation/Calgary Confederation"," 47","Calgary",0,5,0,27,20,56,144,1,253,403
48005,"Calgary Confederation/Calgary Confederation"," 48","Calgary",0,3,0,22,11,55,160,0,251,457
48005,"Calgary Confederation/Calgary Confederation"," 49A","Calgary",0,3,1,5,10,33,33,0,85,254
48005,"Calgary Confederation/Calgary Confederation"," 49B","Mobile poll/Bureau itinérant",2,5,2,9,14,42,127,4,205,127
48005,"Calgary Confederation/Calgary Confederation"," 50","Calgary",0,12,1,17,34,36,108,1,209,431
48005,"Calgary Confederation/Calgary Confederation"," 51","Calgary",1,3,1,26,13,41,127,1,213,426
48005,"Calgary Confederation/Calgary Confederation"," 52","Calgary",1,4,1,19,34,49,129,2,239,450
48005,"Calgary Confederation/Calgary Confederation"," 53","Calgary",0,5,1,23,36,45,126,4,240,441
48005,"Calgary Confederation/Calgary Confederation"," 54","Calgary",0,8,2,19,24,71,87,3,214,450
48005,"Calgary Confederation/Calgary Confederation"," 55","Calgary",0,2,1,16,38,57,104,4,222,434
48005,"Calgary Confederation/Calgary Confederation"," 56","Calgary",1,4,2,16,30,60,137,1,251,462
48005,"Calgary Confederation/Calgary Confederation"," 57","Calgary",0,1,1,19,27,34,127,0,209,402
48005,"Calgary Confederation/Calgary Confederation"," 58","Calgary",2,6,2,28,29,61,89,0,217,497
48005,"Calgary Confederation/Calgary Confederation"," 59","Calgary",0,1,1,8,12,26,127,0,175,344
48005,"Calgary Confederation/Calgary Confederation"," 60","Calgary",0,8,1,6,14,40,118,0,187,380
48005,"Calgary Confederation/Calgary Confederation"," 61","Calgary",0,2,0,21,16,40,142,1,222,425
48005,"Calgary Confederation/Calgary Confederation"," 62","Calgary",0,5,2,20,23,29,114,0,193,358
48005,"Calgary Confederation/Calgary Confederation"," 63","Calgary",0,5,3,18,16,37,120,1,200,408
48005,"Calgary Confederation/Calgary Confederation"," 64","Calgary",1,4,2,25,38,50,138,4,262,457
48005,"Calgary Confederation/Calgary Confederation"," 65","Calgary",0,4,2,15,25,53,186,0,285,480
48005,"Calgary Confederation/Calgary Confederation"," 66","Calgary",0,4,0,23,14,23,120,1,185,369
48005,"Calgary Confederation/Calgary Confederation"," 67","Calgary",0,2,2,15,19,24,112,3,177,373
48005,"Calgary Confederation/Calgary Confederation"," 68","Calgary",0,9,0,14,41,52,126,0,242,504
48005,"Calgary Confederation/Calgary Confederation"," 69","Calgary",Merged with No./Fusionné avec le n°70,,,,,,,,,135
48005,"Calgary Confederation/Calgary Confederation"," 70","Calgary",0,6,3,25,75,69,104,1,283,496
48005,"Calgary Confederation/Calgary Confederation"," 71","Calgary",1,4,5,23,21,49,136,1,240,419
48005,"Calgary Confederation/Calgary Confederation"," 72","Calgary",0,1,2,17,23,59,151,4,257,418
48005,"Calgary Confederation/Calgary Confederation"," 73","Calgary",0,5,0,11,35,53,91,0,195,433
48005,"Calgary Confederation/Calgary Confederation"," 74","Calgary",1,2,1,12,29,53,63,2,163,474
48005,"Calgary Confederation/Calgary Confederation"," 75","Calgary",1,5,2,30,25,51,111,0,225,426
48005,"Calgary Confederation/Calgary Confederation"," 76","Calgary",0,1,3,19,23,31,96,2,175,414
48005,"Calgary Confederation/Calgary Confederation"," 77","Calgary",0,2,0,16,36,44,128,0,226,471
48005,"Calgary Confederation/Calgary Confederation"," 78","Calgary",1,5,0,13,23,41,85,0,168,395
48005,"Calgary Confederation/Calgary Confederation"," 79","Calgary",0,2,3,15,31,38,92,1,182,431
48005,"Calgary Confederation/Calgary Confederation"," 80","Calgary",0,4,1,23,39,32,106,0,205,425
48005,"Calgary Confederation/Calgary Confederation"," 81","Calgary",1,5,1,39,21,46,140,0,253,435
48005,"Calgary Confederation/Calgary Confederation"," 82","Calgary",0,8,2,21,24,34,108,3,200,375
48005,"Calgary Confederation/Calgary Confederation"," 83","Calgary",0,4,1,23,24,42,139,1,234,435
48005,"Calgary Confederation/Calgary Confederation"," 84","Calgary",0,2,1,15,19,41,99,3,180,403
48005,"Calgary Confederation/Calgary Confederation"," 85","Calgary",0,2,1,16,20,33,93,1,166,334
48005,"Calgary Confederation/Calgary Confederation"," 86","Calgary",0,0,0,15,17,39,137,1,209,417
48005,"Calgary Confederation/Calgary Confederation"," 87","Calgary",1,8,6,14,31,31,106,0,197,495
48005,"Calgary Confederation/Calgary Confederation"," 88","Calgary",0,8,0,16,23,33,104,0,184,434
48005,"Calgary Confederation/Calgary Confederation"," 89","Calgary",1,5,3,8,32,41,118,0,208,527
48005,"Calgary Confederation/Calgary Confederation"," 90","Calgary",1,4,3,12,22,29,93,0,164,413
48005,"Calgary Confederation/Calgary Confederation"," 91","Calgary",0,4,0,7,19,23,120,3,176,440
48005,"Calgary Confederation/Calgary Confederation"," 92","Calgary",1,7,2,22,21,33,132,1,219,454
48005,"Calgary Confederation/Calgary Confederation"," 93A","Calgary",1,6,3,17,36,24,107,1,195,510
