Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Navdeep Bains,Prudence Buchanan,Frank Chilelli,Nikki Clarke,Tahir Gora,Christina Porter,Tom Varughese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35062,"Mississauga--Malton/Mississauga--Malton"," 85","Mississauga",99,2,0,21,3,5,70,1,201,447
35062,"Mississauga--Malton/Mississauga--Malton"," 86","Mississauga",121,2,0,19,0,4,46,0,192,500
35062,"Mississauga--Malton/Mississauga--Malton"," 87","Mississauga",119,2,0,19,1,4,52,3,200,460
35062,"Mississauga--Malton/Mississauga--Malton"," 88","Mississauga",134,0,0,45,0,4,47,5,235,502
35062,"Mississauga--Malton/Mississauga--Malton"," 89","Mississauga",138,2,1,32,2,6,84,8,273,538
35062,"Mississauga--Malton/Mississauga--Malton"," 90","Mississauga",85,1,0,21,2,1,54,1,165,406
35062,"Mississauga--Malton/Mississauga--Malton"," 91","Mississauga",114,2,0,17,1,6,54,0,194,443
35062,"Mississauga--Malton/Mississauga--Malton"," 92","Mississauga",114,0,0,34,0,3,78,0,229,457
35062,"Mississauga--Malton/Mississauga--Malton"," 93","Mississauga",146,4,0,13,1,6,70,1,241,454
35062,"Mississauga--Malton/Mississauga--Malton"," 94","Mississauga",110,0,0,16,2,15,78,2,223,454
35062,"Mississauga--Malton/Mississauga--Malton"," 95","Mississauga",86,3,0,18,1,4,71,1,184,445
35062,"Mississauga--Malton/Mississauga--Malton"," 96","Mississauga",90,0,1,31,0,4,46,2,174,393
35062,"Mississauga--Malton/Mississauga--Malton"," 97","Mississauga",53,0,0,14,0,11,61,1,140,392
35062,"Mississauga--Malton/Mississauga--Malton"," 98","Mississauga",123,1,0,18,3,8,47,3,203,426
35062,"Mississauga--Malton/Mississauga--Malton"," 99","Mississauga",81,2,0,21,1,3,61,1,170,399
35062,"Mississauga--Malton/Mississauga--Malton"," 100","Mississauga",53,4,0,12,2,8,40,1,120,314
35062,"Mississauga--Malton/Mississauga--Malton"," 101","Mississauga",105,1,0,11,1,3,51,0,172,371
35062,"Mississauga--Malton/Mississauga--Malton"," 102","Mississauga",84,1,0,25,1,13,26,3,153,361
35062,"Mississauga--Malton/Mississauga--Malton"," 103","Mississauga",87,0,0,24,1,2,60,2,176,405
35062,"Mississauga--Malton/Mississauga--Malton"," 104","Mississauga",128,2,1,18,1,6,35,1,192,425
35062,"Mississauga--Malton/Mississauga--Malton"," 105","Mississauga",115,0,0,26,4,4,42,2,193,466
35062,"Mississauga--Malton/Mississauga--Malton"," 106","Mississauga",191,7,0,42,5,9,103,2,359,940
35062,"Mississauga--Malton/Mississauga--Malton"," 107","Mississauga",153,1,1,38,4,5,65,3,270,543
35062,"Mississauga--Malton/Mississauga--Malton"," 108","Mississauga",132,2,0,40,0,12,65,4,255,516
35062,"Mississauga--Malton/Mississauga--Malton"," 109","Mississauga",103,3,0,20,0,4,53,2,185,476
35062,"Mississauga--Malton/Mississauga--Malton"," 110","Mississauga",159,2,0,19,2,2,55,2,241,544
35062,"Mississauga--Malton/Mississauga--Malton"," 111","Mississauga",119,1,0,28,3,4,59,0,214,390
35062,"Mississauga--Malton/Mississauga--Malton"," 112","Mississauga",99,1,1,19,0,5,77,1,203,518
35062,"Mississauga--Malton/Mississauga--Malton"," 113","Mississauga",77,0,0,13,1,6,48,1,146,403
35062,"Mississauga--Malton/Mississauga--Malton"," 114","Mississauga",92,0,0,26,0,5,26,2,151,391
35062,"Mississauga--Malton/Mississauga--Malton"," 115","Mississauga",79,0,0,19,2,8,54,1,163,358
35062,"Mississauga--Malton/Mississauga--Malton"," 116","Mississauga",83,3,0,17,8,11,88,3,213,407
35062,"Mississauga--Malton/Mississauga--Malton"," 117","Mississauga",89,2,0,13,2,7,47,0,160,424
35062,"Mississauga--Malton/Mississauga--Malton"," 118","Mississauga",104,3,1,25,4,9,56,1,203,408
35062,"Mississauga--Malton/Mississauga--Malton"," 119","Mississauga",85,0,1,15,1,8,71,5,186,371
35062,"Mississauga--Malton/Mississauga--Malton"," 120","Mississauga",114,1,0,27,1,2,28,0,173,423
35062,"Mississauga--Malton/Mississauga--Malton"," 121","Mississauga",89,1,0,26,5,8,71,1,201,503
35062,"Mississauga--Malton/Mississauga--Malton"," 122","Mississauga",130,1,0,36,1,6,28,0,202,428
35062,"Mississauga--Malton/Mississauga--Malton"," 123","Mississauga",101,3,0,25,0,10,51,3,193,397
35062,"Mississauga--Malton/Mississauga--Malton"," 124A","Mississauga",97,2,3,14,3,2,46,2,169,324
35062,"Mississauga--Malton/Mississauga--Malton"," 124B","Mississauga",24,1,0,7,0,0,29,2,63,155
35062,"Mississauga--Malton/Mississauga--Malton"," 125","Mississauga",95,6,0,14,0,6,38,0,159,364
35062,"Mississauga--Malton/Mississauga--Malton"," 126","Mississauga",73,2,0,14,3,2,43,1,138,395
35062,"Mississauga--Malton/Mississauga--Malton"," 127","Mississauga",106,2,1,16,2,4,77,0,208,463
35062,"Mississauga--Malton/Mississauga--Malton"," 128","Mississauga",84,5,2,16,2,4,60,4,177,372
35062,"Mississauga--Malton/Mississauga--Malton"," 129","Mississauga",129,2,0,15,0,10,64,2,222,535
35062,"Mississauga--Malton/Mississauga--Malton"," 130","Mississauga",155,3,0,31,1,4,69,4,267,524
35062,"Mississauga--Malton/Mississauga--Malton"," 131","Mississauga",129,1,0,9,1,7,48,0,195,550
35062,"Mississauga--Malton/Mississauga--Malton"," 132","Mississauga",109,2,0,21,1,14,60,3,210,533
35062,"Mississauga--Malton/Mississauga--Malton"," 133","Mississauga",125,2,0,22,0,9,52,1,211,477
35062,"Mississauga--Malton/Mississauga--Malton"," 134","Mississauga",112,2,0,34,0,6,38,4,196,470
