Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guillaume Bourdeau,René-Paul Coly,Alain D'Eer,Samuel Moisan-Domm,Pierre Paul-Hus,Joey Pronovost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 192","Québec",13,23,35,3,40,3,2,119,271
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 193","Québec",20,36,45,5,36,0,3,145,360
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 194","Québec",11,33,28,7,38,0,3,120,307
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 195","Québec",12,34,34,4,35,2,2,123,284
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 196","Québec",10,30,45,10,36,5,4,140,400
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 197","Québec",16,45,54,4,49,3,8,179,352
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 198","Québec",8,21,26,2,27,6,1,91,273
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 199","Québec",9,35,50,4,63,3,2,166,432
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 200","Québec",22,22,34,6,46,3,3,136,356
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 201","Québec",8,29,23,10,26,2,3,101,277
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 202","Québec",12,25,31,6,25,3,3,105,322
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 203","Québec",20,28,27,4,24,5,4,112,342
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 400","Québec",1,39,20,3,27,0,6,96,169
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 500","Mobile poll/Bureau itinérant",2,11,9,0,21,0,4,47,119
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501A","Mobile poll/Bureau itinérant",0,68,24,0,28,1,10,131,222
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,21
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 502","Mobile poll/Bureau itinérant",3,65,36,0,30,0,15,149,231
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 503","Mobile poll/Bureau itinérant",4,26,20,1,9,0,4,64,101
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 600","Québec",57,145,254,39,510,23,14,1042,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 601","Québec",48,148,296,41,425,27,15,1000,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 602","Québec",66,227,370,31,422,22,18,1156,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 603","Québec",80,265,430,36,653,36,38,1538,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 604","Québec",62,318,495,45,487,25,26,1458,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 605","Québec",44,204,252,22,315,18,19,874,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 606","Québec",73,272,432,37,429,22,21,1286,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 607","Québec",67,225,275,26,306,21,27,947,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 608","Québec",34,200,222,21,276,18,14,785,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 609","Québec",82,202,374,24,342,25,24,1073,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 610","Québec",60,185,295,21,304,17,20,902,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 611","Québec",51,224,261,27,390,28,27,1008,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 612","Québec",90,276,391,54,544,28,28,1411,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 613","Québec",63,201,296,30,488,32,9,1119,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 614","Québec",51,168,222,33,552,17,34,1077,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 615","Québec",96,284,327,23,796,57,34,1617,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 616","Québec",91,172,277,29,711,31,23,1334,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 1/Groupe 1, 18,47,7,18,133,8,7,238,83
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 2/Groupe 2, 100,309,345,66,491,11,31,1353,
