Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaine Calkins,Sarah Palmer,Lauren Pezzella,Tiffany Rose,Laura Lynn Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 603","Ponoka",1043,17,88,50,51,4,1253,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 604","Ermineskin 138",40,16,176,32,5,1,270,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 605","Ponoka County",743,18,30,20,25,0,836,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 606","Lacombe",552,10,23,25,36,0,646,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 607","Lacombe",956,24,64,50,61,3,1158,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 608","Lacombe",1102,29,96,75,62,4,1368,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 609","Red Deer County",998,13,52,38,37,0,1138,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 610","Benalto",768,12,37,19,21,3,860,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 611","Benalto",778,21,48,40,16,2,905,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 612","Red Deer",1173,27,60,40,35,2,1337,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 613","Blackfalds",807,15,42,18,36,4,922,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 614","Blackfalds",1423,22,60,39,46,9,1599,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 615","Red Deer County",707,16,38,28,41,3,833,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 616","Red Deer",819,17,60,26,22,0,944,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 617","Red Deer",788,23,93,51,22,5,982,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 618","Red Deer",737,17,72,53,50,4,933,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 619","Red Deer",608,36,94,71,36,10,855,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 620","Red Deer",742,20,94,63,42,5,966,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 621","Red Deer",774,21,72,66,28,2,963,
48030,"Red Deer--Lacombe/Red Deer--Lacombe"," 622","Mirror",391,6,12,8,19,2,438,
48030,"Red Deer--Lacombe/Red Deer--Lacombe",,Group 1/Groupe 1, 55,19,19,45,2,9,149,166
48030,"Red Deer--Lacombe/Red Deer--Lacombe",,Group 2/Groupe 2, 2223,70,169,107,89,71,2729,
