Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Marc Bélanger,Vincent Cormier,Dominic LeBlanc,Nancy Mercier,Laura Reinsborough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 174","Sackville",17,36,45,2,50,2,152,403
13002,"Beauséjour/Beauséjour"," 175","Sackville",13,37,30,4,71,0,155,377
13002,"Beauséjour/Beauséjour"," 176","Sackville",38,30,53,1,85,0,207,504
13002,"Beauséjour/Beauséjour"," 177","Sackville",58,44,61,1,143,0,307,622
13002,"Beauséjour/Beauséjour"," 178","Sackville",79,24,46,4,138,0,291,548
13002,"Beauséjour/Beauséjour"," 179","Sackville",13,24,38,1,90,2,168,471
13002,"Beauséjour/Beauséjour"," 180","Sackville",22,39,53,1,64,3,182,510
13002,"Beauséjour/Beauséjour"," 181","Sackville",10,32,31,8,50,0,131,418
13002,"Beauséjour/Beauséjour"," 182","Sackville",16,31,29,4,71,3,154,385
13002,"Beauséjour/Beauséjour"," 183","Pré-d'en-Haut",12,26,120,10,71,0,239,428
13002,"Beauséjour/Beauséjour"," 184","Pré-d'en-Haut",7,14,105,4,38,1,169,316
13002,"Beauséjour/Beauséjour"," 185","Upper Dorchester",24,49,33,11,75,0,192,345
13002,"Beauséjour/Beauséjour"," 186","Upper Dorchester",21,58,48,3,86,0,216,367
13002,"Beauséjour/Beauséjour"," 187","British Settlement",18,41,25,3,44,1,132,212
13002,"Beauséjour/Beauséjour"," 188","British Settlement",8,59,33,4,60,1,165,300
13002,"Beauséjour/Beauséjour"," 500","Mobile poll/Bureau itinérant",2,17,73,2,23,13,130,189
13002,"Beauséjour/Beauséjour"," 501","Mobile poll/Bureau itinérant",3,17,67,2,10,6,105,148
13002,"Beauséjour/Beauséjour"," 502","Mobile poll/Bureau itinérant",0,17,65,3,9,9,103,144
13002,"Beauséjour/Beauséjour"," 503","Mobile poll/Bureau itinérant",1,10,32,0,4,4,51,80
13002,"Beauséjour/Beauséjour"," 504","Mobile poll/Bureau itinérant",2,14,51,2,8,5,82,218
13002,"Beauséjour/Beauséjour"," 505","Mobile poll/Bureau itinérant",4,13,99,2,5,4,127,161
13002,"Beauséjour/Beauséjour"," 506","Mobile poll/Bureau itinérant",4,16,54,3,12,15,104,282
13002,"Beauséjour/Beauséjour"," 507","Mobile poll/Bureau itinérant",4,18,77,3,2,2,106,169
13002,"Beauséjour/Beauséjour"," 600","Saint-Louis",19,94,357,6,285,10,771,
13002,"Beauséjour/Beauséjour"," 601","Richibucto",13,57,220,5,127,10,432,
13002,"Beauséjour/Beauséjour"," 602","Rexton",34,120,264,4,170,5,597,
13002,"Beauséjour/Beauséjour"," 603","Bouctouche",23,98,309,13,146,4,593,
13002,"Beauséjour/Beauséjour"," 604","Bouctouche",39,136,474,15,168,12,844,
13002,"Beauséjour/Beauséjour"," 605","Cocagne-Nord",38,112,391,12,184,10,747,
13002,"Beauséjour/Beauséjour"," 606","Grande-Digue",59,156,584,9,223,7,1038,
13002,"Beauséjour/Beauséjour"," 607","Shediac",58,163,537,25,214,5,1002,
13002,"Beauséjour/Beauséjour"," 608","Shediac",88,217,932,29,288,3,1557,
13002,"Beauséjour/Beauséjour"," 609","Grand-Barachois",48,120,622,16,246,6,1058,
13002,"Beauséjour/Beauséjour"," 610","Cap-Pele",31,115,562,21,443,7,1179,
13002,"Beauséjour/Beauséjour"," 611","Cape Tormentine",18,90,101,5,108,0,322,
13002,"Beauséjour/Beauséjour"," 612","Sackville",72,205,349,12,489,1,1128,
13002,"Beauséjour/Beauséjour"," 613","Sackville",39,107,155,8,267,2,578,
13002,"Beauséjour/Beauséjour"," 614","Memramcook",32,70,391,11,171,4,679,
13002,"Beauséjour/Beauséjour"," 615","Memramcook",26,59,537,18,203,1,844,
13002,"Beauséjour/Beauséjour"," 616","Dieppe",94,133,683,12,236,7,1165,
13002,"Beauséjour/Beauséjour"," 617","Dieppe",111,182,911,10,241,14,1469,
13002,"Beauséjour/Beauséjour"," 618","Dieppe",121,196,849,23,302,12,1503,
13002,"Beauséjour/Beauséjour"," 619","Lakeville",57,151,196,17,123,4,548,
13002,"Beauséjour/Beauséjour"," 620","Irishtown",88,268,264,30,218,4,872,
13002,"Beauséjour/Beauséjour"," 621","Saint-Antoine",66,174,403,20,255,7,925,
13002,"Beauséjour/Beauséjour"," 622","Sainte-Marie",22,109,295,10,145,5,586,
13002,"Beauséjour/Beauséjour",,Group 1/Groupe 1, 6,16,31,0,15,4,72,77
13002,"Beauséjour/Beauséjour",,Group 2/Groupe 2, 69,265,695,27,466,19,1541,
