Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randall Garrison,Fidelia Godron,Jeremy Gustafson,Jamie Hammond,Louis Lesosky,David Merner,Philip Ney,Randall Pewarchuk,Josh Steffler,Tyson Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 182","Esquimalt",81,0,7,32,1,53,0,28,1,1,2,206,521
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 183","Esquimalt",69,0,5,28,0,39,0,16,1,1,2,161,427
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 184","Esquimalt",67,0,6,25,0,59,0,22,0,0,0,179,514
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 185","Esquimalt",66,0,3,26,0,42,0,19,2,0,1,159,505
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 186","Esquimalt",74,0,3,31,1,45,0,28,0,1,2,185,427
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 187","Esquimalt",64,0,2,18,0,30,0,28,0,0,0,142,436
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 188","Esquimalt",73,0,2,32,0,51,0,21,0,0,1,180,466
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 189","Esquimalt",61,0,4,30,0,38,0,25,1,0,1,160,419
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 190","Happy Valley",56,0,4,30,0,36,0,40,2,1,1,170,395
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 191","Metchosin",63,0,5,33,0,51,0,51,0,3,1,207,428
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 192","Happy Valley",40,0,1,13,0,59,0,34,0,0,0,147,334
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 193","Metchosin",49,1,2,33,0,53,0,45,0,0,0,183,388
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 194","Metchosin",47,0,4,27,1,54,0,28,0,2,0,163,379
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 195","Esquimalt",66,0,4,23,0,34,0,11,0,0,1,139,398
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 196","Esquimalt",56,0,1,23,0,38,0,26,3,2,1,150,476
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 197","Esquimalt",62,1,2,20,0,31,0,11,1,0,1,129,433
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 198","Esquimalt",59,0,3,29,0,48,0,10,2,0,0,151,356
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 199","Esquimalt",60,0,3,35,0,66,0,45,1,1,0,211,595
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 200","Esquimalt",79,0,2,50,1,72,0,49,0,1,1,255,545
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 201","Esquimalt",64,1,2,31,0,60,0,27,0,0,0,185,536
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 202","East Sooke",111,0,4,42,1,66,1,49,0,2,0,276,437
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 203","East Sooke",80,0,3,25,0,53,0,57,0,0,0,218,377
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 204","East Sooke",72,1,1,40,0,53,0,46,0,0,0,213,377
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 205","Happy Valley",62,0,4,34,0,63,1,62,0,0,1,227,477
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 206","Metchosin",55,0,5,19,0,46,0,46,2,1,0,174,369
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 207","Metchosin",34,0,0,28,0,48,0,29,0,1,1,141,337
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 208","Metchosin",50,0,8,20,0,69,1,36,1,0,1,186,372
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 209","Metchosin",31,0,2,27,1,51,1,23,0,0,0,136,312
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 210","Metchosin",77,1,12,20,0,61,0,52,1,0,0,224,490
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 400","Saanich",29,0,1,58,0,47,0,65,2,0,1,203,257
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 500","Mobile poll/Bureau itinérant",16,1,1,28,1,9,0,11,0,0,6,73,120
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 600","Sooke",521,4,25,261,0,373,0,448,7,1,2,1642,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 601","Sooke",600,3,37,248,3,406,1,435,4,1,3,1741,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 602","Metchosin",301,0,15,189,2,366,1,250,7,4,3,1138,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 603","Colwood",533,2,34,465,0,445,3,526,3,2,6,2019,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 604","Colwood",306,1,16,187,0,241,2,242,1,0,1,997,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 605","Colwood",322,3,21,265,2,258,3,294,7,0,3,1178,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 606","Esquimalt",443,0,17,241,1,396,1,180,2,3,5,1289,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 607","Esquimalt",445,1,24,254,1,455,2,171,1,2,3,1359,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 608","Esquimalt",403,0,24,230,0,339,0,134,9,1,1,1141,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 609","Saanich",660,4,28,291,3,613,1,236,8,2,5,1851,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 610","View Royal",390,0,11,204,3,231,0,189,2,1,1,1032,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 611","View Royal",307,0,14,238,1,300,3,234,5,1,5,1108,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 612","Saanich",408,1,8,234,2,389,2,236,7,1,1,1289,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 613","Saanich",373,1,14,145,2,245,3,145,6,1,1,936,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 614","Saanich",375,3,16,212,0,467,1,134,5,2,3,1218,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 615","Saanich",285,2,6,188,1,387,3,197,3,1,8,1081,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 616","Saanich",398,3,11,229,0,367,0,264,6,0,5,1283,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 617","Saanich",370,1,21,284,2,505,2,412,3,0,1,1601,
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke",,Group 1/Groupe 1, 142,3,39,91,2,127,0,217,3,4,48,676,231
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke",,Group 2/Groupe 2, 616,1,26,419,0,713,2,418,4,3,60,2262,
