Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 415","Guelph",0,16,10,0,36,0,4,0,0,1,67,108
35032,"Guelph/Guelph"," 416","Guelph",1,18,8,1,59,0,28,2,1,0,118,91
35032,"Guelph/Guelph"," 417","Guelph",Merged with No./Fusionné avec le n°416,,,,,,,,,,,96
35032,"Guelph/Guelph"," 418","Guelph",1,23,29,0,56,1,28,2,1,0,141,213
35032,"Guelph/Guelph"," 500","Mobile poll/Bureau itinérant",0,16,5,0,44,3,25,0,0,1,94,231
35032,"Guelph/Guelph"," 501","Mobile poll/Bureau itinérant",0,31,14,2,21,0,18,2,0,2,90,162
35032,"Guelph/Guelph"," 502","Mobile poll/Bureau itinérant",0,22,8,1,44,1,14,4,0,0,94,187
35032,"Guelph/Guelph"," 503","Mobile poll/Bureau itinérant",0,17,12,0,23,1,10,3,1,0,67,157
35032,"Guelph/Guelph"," 504","Mobile poll/Bureau itinérant",3,24,13,1,30,1,9,0,1,1,83,189
35032,"Guelph/Guelph"," 505","Mobile poll/Bureau itinérant",0,16,5,1,62,0,22,3,0,6,115,219
35032,"Guelph/Guelph"," 506","Mobile poll/Bureau itinérant",0,10,9,0,50,0,22,0,1,7,99,166
35032,"Guelph/Guelph"," 600","Guelph",1,149,53,0,258,4,143,4,0,4,616,
35032,"Guelph/Guelph"," 601","Guelph",1,210,84,0,379,9,226,8,2,5,924,
35032,"Guelph/Guelph"," 602","Guelph",0,172,50,0,276,4,146,3,2,0,653,
35032,"Guelph/Guelph"," 603","Guelph",2,274,84,0,491,12,204,12,5,15,1099,
35032,"Guelph/Guelph"," 604","Guelph",1,279,56,2,284,7,73,2,1,2,707,
