Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Ibrahim El-Khoury,Edline Henri,Mariam Ishak,Shahid Khan,Lisa Mintz,Martin Plante,Lee Weishar,Sameer Zuberi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 199","Dollard-Des Ormeaux",28,9,31,2,12,0,3,121,1,207,323
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 200","Dollard-Des Ormeaux",19,6,37,0,9,1,0,125,1,198,341
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 201","Dollard-Des Ormeaux",30,1,25,0,4,1,3,144,0,208,347
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 202","Dollard-Des Ormeaux",25,11,29,0,13,4,3,141,1,227,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 500","Mobile poll/Bureau itinérant",4,8,18,0,3,1,1,90,9,134,199
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 501","Mobile poll/Bureau itinérant",1,11,2,0,1,1,0,40,2,58,169
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 502","Mobile poll/Bureau itinérant",1,6,2,0,1,0,0,24,5,39,76
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 503","Mobile poll/Bureau itinérant",3,2,14,0,0,2,0,78,6,105,187
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 504","Mobile poll/Bureau itinérant",1,4,13,0,1,0,1,54,9,83,133
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 600","Pierrefonds",88,59,74,1,46,7,6,487,21,789,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 601","Montréal",74,116,92,6,53,8,6,464,13,832,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 602","Montréal",71,85,124,6,51,2,9,496,8,852,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 603","Montréal",63,38,176,8,34,5,19,641,13,997,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 604","Pierrefonds",44,37,108,3,31,5,9,454,8,699,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 605","Roxboro",51,98,67,1,46,5,8,316,8,600,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 606","Dollard-des-Ormeaux",70,63,157,4,44,6,9,513,7,873,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 607","Pierrefonds",89,139,191,2,43,9,14,775,22,1284,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 608","Saint-Raphaël-de-l'Île-Bizard",61,169,135,2,43,5,10,408,9,842,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 609","Saint-Raphaël-de-l'Île-Bizard",65,196,149,0,37,7,7,334,6,801,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 610","Saint-Raphaël-de-l'Île-Bizard",57,160,129,3,36,4,18,354,7,768,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 611","Pierrefonds",38,57,112,1,35,3,10,361,7,624,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 612","Dollard-des-Ormeaux",102,61,249,7,44,7,12,619,5,1106,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 613","Dollard-des-Ormeaux",69,17,272,1,62,1,9,386,5,822,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 614","Dollard-des-Ormeaux",49,17,245,4,48,8,9,430,5,815,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 615","Dollard-des-Ormeaux",69,21,153,5,20,5,7,372,0,652,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 616","Dollard-des-Ormeaux",72,25,355,1,54,5,8,514,10,1044,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 617","Dollard-des-Ormeaux",59,33,110,7,32,4,16,404,1,666,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 618","Dollard-des-Ormeaux",53,18,87,3,31,7,7,336,4,546,
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,Group 1/Groupe 1, 12,4,19,0,9,2,3,79,6,134,206
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard",,Group 2/Groupe 2, 202,102,365,2,139,4,24,877,23,1738,
