Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Ayas,Zahia El-Masri,Mélanie Joly,Kathy Laframboise,Jean-Michel Lavarenne,André Parizeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 56","Montréal",4,46,89,6,40,118,1,304,449
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 57","Montréal",0,60,113,11,16,66,7,273,512
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 58","Montréal",0,29,85,7,17,75,1,214,420
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 59","Montréal",3,30,94,13,13,43,3,199,455
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 60","Montréal",2,50,89,8,12,40,0,201,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 61","Montréal",0,39,80,9,24,47,0,199,407
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 62","Montréal",1,40,106,10,22,48,7,234,428
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 63","Montréal",0,22,58,8,11,32,4,135,319
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 64","Montréal",0,37,48,4,16,62,0,167,313
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 65","Montréal",0,42,152,9,26,86,8,323,583
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 66","Montréal",0,45,79,1,17,52,2,196,415
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 67","Montréal",2,44,46,3,11,41,3,150,342
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 68","Montréal",1,27,98,14,21,30,5,196,419
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 69","Montréal",0,18,77,6,9,40,1,151,295
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 70","Montréal",1,33,78,10,18,52,4,196,374
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 71","Montréal",1,30,126,11,14,74,4,260,424
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 72","Montréal",0,44,113,14,16,78,3,268,512
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 73","Montréal",2,28,80,15,15,47,0,187,414
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 74","Montréal",2,27,121,8,8,41,2,209,442
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 75","Montréal",1,27,92,8,9,52,3,192,365
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 76","Montréal",4,45,85,13,20,54,2,223,488
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 77","Montréal",1,53,93,5,17,50,2,221,418
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 78","Montréal",3,51,75,8,15,46,0,198,429
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 79","Montréal",2,24,127,14,18,70,3,258,409
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 80","Montréal",0,40,128,11,36,100,4,319,503
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 81","Montréal",0,26,91,7,28,79,1,232,407
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 82","Montréal",1,28,103,13,15,44,1,205,380
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 83","Montréal",0,37,107,13,22,63,2,244,503
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 84","Montréal",3,48,111,6,9,97,4,278,432
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 85","Montréal",5,25,114,23,11,22,2,202,402
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 86","Montréal",0,15,125,17,10,17,1,185,381
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 87","Montréal",2,11,119,11,7,19,7,176,332
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 88","Montréal",5,27,121,18,14,19,3,207,378
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 89","Montréal",3,11,134,14,4,16,4,186,363
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 90","Montréal",4,39,81,10,20,47,1,202,337
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 91","Montréal",2,59,118,7,26,80,3,295,411
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 92","Montréal",1,35,132,6,30,46,6,256,460
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 93","Montréal",1,43,124,12,44,93,2,319,480
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 94","Montréal",0,36,142,17,14,28,3,240,389
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 95","Montréal",1,29,131,13,10,62,3,249,540
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 96","Montréal",3,16,171,23,4,17,4,238,434
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 97","Montréal",1,27,181,18,11,11,7,256,428
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 98","Montréal",1,23,204,13,8,11,3,263,486
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 99","Montréal",1,29,164,19,4,16,6,239,425
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 100","Montréal",0,19,77,10,19,62,1,188,314
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 101","Montréal",0,39,131,17,23,97,4,311,458
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 102","Montréal",1,27,78,13,23,64,1,207,356
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 103","Montréal",1,13,70,10,15,51,3,163,298
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 104","Montréal",5,22,135,14,11,68,1,256,530
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 105","Montréal",0,26,102,15,10,63,5,221,434
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 106","Montréal",0,18,106,18,11,40,5,198,388
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 107","Montréal",1,47,112,17,26,69,2,274,487
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 108","Montréal",3,11,81,15,13,46,5,174,345
