Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Breton,Nathalie Clermont,Darlène Daviault,Andréanne Larouche,Raymonde Plamondon,Mariam Sabbagh,Katherine Turgeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 117B","Granby",54,22,1,52,9,1,5,5,149,301
24072,"Shefford/Shefford"," 118","Shefford",97,22,0,59,18,2,7,2,207,460
24072,"Shefford/Shefford"," 119","Shefford",65,18,1,79,16,0,9,2,190,418
24072,"Shefford/Shefford"," 120","Granby",119,24,1,86,16,3,13,2,264,499
24072,"Shefford/Shefford"," 121","Granby",93,22,0,64,12,4,9,1,205,414
24072,"Shefford/Shefford"," 122","Granby",61,30,2,102,10,2,10,3,220,446
24072,"Shefford/Shefford"," 123","Granby",73,22,2,91,4,2,14,6,214,398
24072,"Shefford/Shefford"," 124","Granby",59,21,2,121,4,2,6,6,221,390
24072,"Shefford/Shefford"," 125","Granby",42,35,1,92,8,2,8,4,192,407
24072,"Shefford/Shefford"," 126","Granby",89,29,2,93,15,2,3,4,237,442
24072,"Shefford/Shefford"," 127","Granby",54,22,0,74,8,1,5,4,168,324
24072,"Shefford/Shefford"," 128","Granby",74,19,0,65,7,1,8,2,176,378
24072,"Shefford/Shefford"," 129","Granby",78,28,2,83,11,0,8,4,214,418
24072,"Shefford/Shefford"," 130","Granby",66,29,0,56,16,3,5,6,181,441
24072,"Shefford/Shefford"," 131","Granby",88,11,1,61,5,2,9,2,179,379
24072,"Shefford/Shefford"," 132","Granby",101,35,1,88,21,1,11,2,260,516
24072,"Shefford/Shefford"," 133","Granby",51,24,0,57,4,3,10,4,153,504
24072,"Shefford/Shefford"," 134","Granby",38,22,1,58,13,4,11,10,157,453
24072,"Shefford/Shefford"," 135","Granby",91,21,3,63,13,3,14,3,211,464
24072,"Shefford/Shefford"," 136","Granby",70,29,1,82,28,3,10,6,229,457
24072,"Shefford/Shefford"," 137","Granby",29,11,0,38,5,1,3,2,89,315
24072,"Shefford/Shefford"," 138","Granby",107,14,2,93,14,0,12,8,250,423
24072,"Shefford/Shefford"," 139A","Granby",34,7,1,63,7,1,4,4,121,329
24072,"Shefford/Shefford"," 139B","Granby",35,12,0,42,9,1,5,2,106,288
24072,"Shefford/Shefford"," 140","Granby",55,12,0,54,13,0,9,4,147,305
24072,"Shefford/Shefford"," 141","Granby",82,20,0,100,16,0,16,4,238,421
24072,"Shefford/Shefford"," 142","Granby",82,24,1,69,11,3,8,7,205,388
24072,"Shefford/Shefford"," 143A","Granby",61,19,2,54,8,0,4,3,151,314
24072,"Shefford/Shefford"," 143B","Granby",65,12,0,52,6,0,4,2,141,287
24072,"Shefford/Shefford"," 144","Granby",91,16,0,85,10,0,5,4,211,408
24072,"Shefford/Shefford"," 145","Granby",65,15,0,53,13,1,8,3,158,367
24072,"Shefford/Shefford"," 146","Granby",57,17,0,46,12,2,4,2,140,358
24072,"Shefford/Shefford"," 147","Granby",30,20,0,46,11,0,13,2,122,335
24072,"Shefford/Shefford"," 148","Shefford",41,18,0,47,11,2,5,0,124,315
24072,"Shefford/Shefford"," 149","Waterloo",44,21,1,37,12,3,4,3,125,335
24072,"Shefford/Shefford"," 150","Shefford",46,28,2,36,13,1,4,2,132,295
24072,"Shefford/Shefford"," 151","Waterloo",35,12,0,31,4,1,4,0,87,333
24072,"Shefford/Shefford"," 152","Waterloo",41,12,1,39,11,2,7,1,114,289
24072,"Shefford/Shefford"," 153","Waterloo",44,26,1,31,16,2,9,2,131,332
24072,"Shefford/Shefford"," 154","Shefford",44,17,0,39,8,3,9,1,121,311
24072,"Shefford/Shefford"," 155","Shefford",52,21,1,40,3,5,5,3,130,345
24072,"Shefford/Shefford"," 156","Saint-Paul-d'Abbotsford",71,19,0,74,19,4,12,2,201,433
24072,"Shefford/Shefford"," 157","Saint-Paul-d'Abbotsford",53,17,0,70,10,0,8,3,161,321
24072,"Shefford/Shefford"," 158","Saint-Paul-d'Abbotsford",52,23,1,74,15,0,10,4,179,404
24072,"Shefford/Shefford"," 159","Saint-Paul-d'Abbotsford",67,24,0,86,11,0,4,2,194,395
24072,"Shefford/Shefford"," 160","Saint-Paul-d'Abbotsford",63,26,1,57,18,3,9,1,178,384
24072,"Shefford/Shefford"," 161","Ange-Gardien",41,43,1,55,8,1,4,3,156,303
24072,"Shefford/Shefford"," 162","Ange-Gardien",52,31,0,59,7,2,12,2,165,324
24072,"Shefford/Shefford"," 163","Granby",38,11,0,57,12,1,7,5,131,411
24072,"Shefford/Shefford"," 164","Granby",37,27,0,53,9,2,5,1,134,425
24072,"Shefford/Shefford"," 165","Granby",74,31,0,73,5,0,11,2,196,512
24072,"Shefford/Shefford"," 166","Granby",58,18,0,61,8,1,6,7,159,360
24072,"Shefford/Shefford"," 167","Granby",56,26,1,54,7,0,14,7,165,409
24072,"Shefford/Shefford"," 168","Granby",42,21,0,47,15,1,6,6,138,406
24072,"Shefford/Shefford"," 169A","Granby",54,11,0,44,3,2,2,6,122,267
24072,"Shefford/Shefford"," 169B","Granby",51,15,1,52,6,1,0,1,127,290
24072,"Shefford/Shefford"," 170","Granby",53,18,0,70,9,1,14,3,168,378
24072,"Shefford/Shefford"," 171","Granby",65,16,1,72,13,0,8,4,179,351
24072,"Shefford/Shefford"," 172","Rougemont",59,12,0,64,7,1,4,2,149,242
24072,"Shefford/Shefford"," 173","Rougemont",43,19,2,92,18,1,8,5,188,368
24072,"Shefford/Shefford"," 174","Rougemont",51,25,2,86,10,1,8,3,186,335
24072,"Shefford/Shefford"," 175","Rougemont",49,16,0,76,4,2,8,10,165,397
24072,"Shefford/Shefford"," 176","Rougemont",39,16,2,78,12,3,4,0,154,329
24072,"Shefford/Shefford"," 177","Rougemont",26,23,2,62,9,1,7,5,135,294
24072,"Shefford/Shefford"," 178","Rougemont",54,24,2,76,10,3,10,4,183,311
24072,"Shefford/Shefford"," 179","Shefford",62,24,0,80,11,1,23,3,204,387
24072,"Shefford/Shefford"," 180","Waterloo",80,33,1,61,15,2,15,2,209,439
24072,"Shefford/Shefford"," 181","Shefford",73,9,0,78,8,1,8,2,179,355
24072,"Shefford/Shefford"," 182","Waterloo",50,18,0,62,12,2,12,2,158,333
24072,"Shefford/Shefford"," 183","Waterloo",65,15,0,68,10,2,6,1,167,402
24072,"Shefford/Shefford"," 184","Shefford",100,10,2,82,12,0,18,1,225,446
24072,"Shefford/Shefford"," 185","Shefford",67,18,0,85,8,1,10,4,193,426
24072,"Shefford/Shefford"," 186","Waterloo",77,26,0,43,12,3,5,4,170,434
