Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Alderson,Bill Capes,Audrey Festeryga,Chris Lewis,Tracey Ramsey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35026,"Essex/Essex"," 64","LaSalle",3,4,56,83,35,0,181,420
35026,"Essex/Essex"," 65","LaSalle",9,2,79,114,69,0,273,543
35026,"Essex/Essex"," 66","LaSalle",4,3,68,136,87,1,299,528
35026,"Essex/Essex"," 67","LaSalle",9,7,38,79,87,1,221,406
35026,"Essex/Essex"," 68","LaSalle",8,2,38,90,67,1,206,420
35026,"Essex/Essex"," 69","LaSalle",4,10,40,72,81,6,213,477
35026,"Essex/Essex"," 70","LaSalle",5,2,50,82,132,0,271,544
35026,"Essex/Essex"," 71","LaSalle",4,4,70,78,95,0,251,470
35026,"Essex/Essex"," 72","LaSalle",14,5,41,60,127,0,247,507
35026,"Essex/Essex"," 73","LaSalle",9,11,54,87,89,0,250,471
35026,"Essex/Essex"," 74","LaSalle",13,2,49,78,103,0,245,452
35026,"Essex/Essex"," 75","LaSalle",10,2,38,73,69,0,192,429
35026,"Essex/Essex"," 76","LaSalle",5,3,39,73,57,0,177,406
35026,"Essex/Essex"," 77","LaSalle",5,3,58,112,120,2,300,532
35026,"Essex/Essex"," 78","LaSalle",14,1,67,86,110,0,278,549
35026,"Essex/Essex"," 79A","LaSalle",3,4,29,59,31,2,128,323
35026,"Essex/Essex"," 79B","LaSalle",3,2,24,53,52,1,135,309
35026,"Essex/Essex"," 80","LaSalle",5,6,49,61,93,1,215,479
35026,"Essex/Essex"," 81","LaSalle",4,5,64,68,93,0,234,436
35026,"Essex/Essex"," 82","LaSalle",9,2,62,80,53,1,207,378
35026,"Essex/Essex"," 83","LaSalle",6,3,94,98,70,1,272,569
35026,"Essex/Essex"," 84A","LaSalle",5,2,59,57,56,3,182,318
35026,"Essex/Essex"," 84B","LaSalle",2,0,31,81,55,1,170,308
35026,"Essex/Essex"," 85A","LaSalle",3,4,54,105,59,3,228,399
35026,"Essex/Essex"," 85B","LaSalle",4,2,56,90,61,1,214,428
35026,"Essex/Essex"," 86","LaSalle",8,3,28,63,82,0,184,523
35026,"Essex/Essex"," 87","LaSalle",5,4,53,78,58,0,198,507
35026,"Essex/Essex"," 88","LaSalle",8,7,38,76,76,0,205,455
35026,"Essex/Essex"," 89","LaSalle",4,2,35,78,69,3,191,558
35026,"Essex/Essex"," 90","LaSalle",9,4,52,65,55,1,186,463
35026,"Essex/Essex"," 91","LaSalle",4,2,26,67,69,4,172,457
35026,"Essex/Essex"," 92","LaSalle",8,5,32,86,56,0,187,490
35026,"Essex/Essex"," 93","LaSalle",9,4,57,73,83,0,226,423
35026,"Essex/Essex"," 94","LaSalle",7,5,68,80,95,2,257,432
35026,"Essex/Essex"," 95","LaSalle",13,3,47,98,59,3,223,438
35026,"Essex/Essex"," 96","Essex",5,8,28,85,116,1,243,538
