Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Jacques Desgranges,Darcy Neal Donnelly,Francis Drouin,Daniel John Fey,Marc-Antoine Gagnier,Pierre Lemieux,Marthe Lépine,Konstantine Malakos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 80","Clarence-Rockland",1,0,56,0,0,28,5,26,3,119,310
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 81","Clarence-Rockland",2,0,83,0,0,49,9,13,0,156,445
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 82","Clarence-Rockland",7,2,94,1,2,45,2,28,4,185,489
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 83","Clarence-Rockland",1,1,113,3,0,46,5,29,1,199,501
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 84","Clarence-Rockland",6,1,93,0,1,60,10,32,1,204,404
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 85","Clarence-Rockland",3,1,85,3,0,64,6,31,3,196,423
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 86","Clarence-Rockland",3,2,90,0,1,45,9,25,4,179,451
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 87","Clarence-Rockland",4,1,97,1,0,54,7,26,1,191,428
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88","Clarence-Rockland",3,0,109,2,0,44,7,26,4,195,431
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 89","Clarence-Rockland",5,2,75,0,2,39,4,15,2,144,337
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 90","Glen Sandfield",7,1,44,0,1,110,6,17,2,188,297
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 91","Glen Robertson",4,0,86,0,2,84,16,36,4,232,373
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 92","Glen Robertson",2,0,50,1,1,46,3,9,5,117,228
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 93","Clarence-Rockland",7,1,115,1,1,69,11,20,7,232,390
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 94","Clarence-Rockland",6,3,198,1,0,94,9,42,7,360,602
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 95","Clarence-Rockland",5,1,110,1,0,67,10,36,1,231,359
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 96","Clarence-Rockland",10,1,141,1,0,82,9,24,0,268,417
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 97","Clarence-Rockland",5,2,135,2,1,97,9,25,4,280,447
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 98","Pine Grove",1,2,58,2,0,84,2,13,0,162,246
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 99","Curran",9,1,105,0,1,76,11,22,4,229,360
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 100","Alfred and Plantagenet",4,0,72,1,0,76,5,26,0,184,340
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 101","Clarence-Rockland",4,1,113,0,1,59,7,38,0,223,492
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 102","Clarence-Rockland",0,2,140,2,1,52,7,26,3,233,467
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 103","Clarence-Rockland",1,0,83,0,0,42,9,29,1,165,323
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 104","Clarence-Rockland",1,1,123,0,0,62,7,30,2,226,484
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 105","Clarence-Rockland",3,1,115,0,0,67,4,20,0,210,431
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 106","Clarence-Rockland",2,0,180,1,0,111,9,45,3,351,767
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 107","Clarence-Rockland",4,1,84,2,0,61,6,28,0,186,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 108","Clarence-Rockland",2,0,69,0,0,62,3,37,0,173,393
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 109","Riceville",5,0,78,0,2,138,11,19,3,256,499
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 110","Fournier",7,5,137,0,1,137,7,32,0,326,511
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111","Lochiel",5,1,35,0,2,59,4,13,1,120,215
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 112","Cumberland",0,3,108,3,0,76,17,21,1,229,429
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 113","Cumberland",1,2,95,0,0,85,8,28,0,219,426
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 114","Cumberland",5,0,77,0,0,51,8,19,2,162,313
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 115","Cumberland",5,0,105,1,0,68,10,22,1,212,411
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 116","Cumberland",5,0,101,0,1,64,5,27,0,203,377
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 117","Cumberland",3,1,106,0,0,82,5,21,2,220,460
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 118","Cumberland",2,2,92,1,0,78,5,25,0,205,440
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119","Cumberland",5,1,97,1,0,94,7,24,0,229,442
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120","Cumberland",3,1,61,0,0,68,14,10,0,157,365
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 121","Clarence-Rockland",6,3,116,1,2,77,6,34,4,249,520
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 122","Clarence-Rockland",1,1,104,0,1,90,3,19,0,219,413
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 123","Clarence-Rockland",3,1,103,1,1,91,12,32,1,245,425
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 124","Clarence-Rockland",3,0,112,1,0,86,3,12,0,217,402
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 125","Clarence-Rockland",1,2,86,0,0,60,3,28,3,183,378
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 126","Clarence-Rockland",2,1,78,1,1,62,6,25,3,179,386
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 127","Dunvegan",3,2,77,1,1,121,10,32,2,249,460
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 128","St-Amour",0,2,80,2,1,86,1,18,2,192,290
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 129","St. Isidore",7,0,126,3,6,95,11,23,3,274,408
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130","Ste-Rose-de-Prescott",3,0,123,2,2,76,13,16,1,236,356
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 131","Ste-Rose-de-Prescott",1,1,83,0,3,65,5,15,1,174,355
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 132","Clarence-Rockland",2,0,118,1,0,113,9,29,2,274,476
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 133","Clarence-Rockland",2,1,119,1,0,88,5,27,2,245,385
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 134","Clarence-Rockland",6,0,99,0,0,72,12,22,4,215,381
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 135","Clarence-Rockland",2,0,159,2,0,88,8,25,7,291,557
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 136","Clarence-Rockland",2,2,110,1,1,100,9,29,2,256,535
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 137","Cumberland",2,0,93,1,0,129,12,22,4,263,438
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 138","Cumberland",4,1,109,0,1,106,7,15,7,250,423
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 139","McCormick",2,0,54,1,1,53,5,14,0,130,311
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 140","McCormick",3,0,53,1,0,59,4,22,1,143,412
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 141","Alexandria",7,2,88,1,0,68,5,23,1,195,453
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 142","Alexandria",2,0,58,0,1,56,3,20,4,144,377
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 143","McCormick",5,0,66,0,0,50,5,15,1,142,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144","Alexandria",3,0,32,0,0,52,1,10,2,100,291
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 145","Alexandria",2,1,69,0,0,62,6,22,0,162,332
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146","North Glengarry",2,1,53,0,0,52,8,11,1,128,359
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 147","Greenfield",5,0,62,1,0,78,9,26,0,181,434
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 148","North Glengarry",7,1,57,0,0,57,4,14,1,141,362
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 149","North Glengarry",7,1,80,3,0,80,3,18,1,193,456
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 150","Cambridge",7,1,86,0,0,71,6,13,1,185,432
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 151","Cambridge",7,0,110,0,0,52,5,15,0,189,395
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 152","Casselman",8,1,134,1,0,69,13,24,9,259,542
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 153","Casselman",6,4,109,0,2,52,2,29,5,209,471
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154","Casselman",2,0,102,1,2,32,3,12,0,154,299
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 155","St. Elmo",0,0,31,0,0,128,9,23,1,192,296
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 156","Maxville",3,2,40,1,0,112,3,27,1,189,282
