Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Fortin,Sylvie Fréchette,Florence Gagnon,Joey Leckman,Normand Michaud,Myriam Ouellette,Nicolas Riqueur-Lainé,Lucie St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 197B","Saint-Jérôme",77,14,29,2,0,2,0,0,3,127,369
24063,"Rivière-du-Nord/Rivière-du-Nord"," 198","Saint-Jérôme",83,20,52,7,1,17,1,1,5,187,462
24063,"Rivière-du-Nord/Rivière-du-Nord"," 199","Saint-Jérôme",84,18,25,7,0,4,0,0,5,143,387
24063,"Rivière-du-Nord/Rivière-du-Nord"," 200","Saint-Jérôme",104,18,44,11,3,14,1,0,1,196,399
24063,"Rivière-du-Nord/Rivière-du-Nord"," 201","Saint-Jérôme",95,21,57,12,1,17,0,0,1,204,402
24063,"Rivière-du-Nord/Rivière-du-Nord"," 202","Saint-Jérôme",105,7,66,12,1,14,0,2,3,210,434
24063,"Rivière-du-Nord/Rivière-du-Nord"," 203","Saint-Jérôme",117,17,51,10,1,18,0,1,2,217,443
24063,"Rivière-du-Nord/Rivière-du-Nord"," 204A","Saint-Jérôme",80,7,37,9,4,8,0,0,1,146,360
24063,"Rivière-du-Nord/Rivière-du-Nord"," 204B","Saint-Jérôme",69,16,49,8,0,18,1,0,1,162,330
24063,"Rivière-du-Nord/Rivière-du-Nord"," 205","Saint-Jérôme",113,36,31,18,1,12,2,0,8,221,542
24063,"Rivière-du-Nord/Rivière-du-Nord"," 206A","Saint-Jérôme",68,18,23,6,1,13,1,0,0,130,309
24063,"Rivière-du-Nord/Rivière-du-Nord"," 206B","Saint-Jérôme",55,11,34,9,1,8,1,1,2,122,325
24063,"Rivière-du-Nord/Rivière-du-Nord"," 207","Saint-Jérôme",87,28,35,10,3,10,0,2,1,176,413
24063,"Rivière-du-Nord/Rivière-du-Nord"," 208","Saint-Jérôme",93,19,47,7,2,16,1,1,2,188,407
24063,"Rivière-du-Nord/Rivière-du-Nord"," 209","Saint-Jérôme",141,36,64,20,1,24,1,1,1,289,558
24063,"Rivière-du-Nord/Rivière-du-Nord"," 210","Saint-Jérôme",71,13,38,8,3,13,0,0,4,150,334
24063,"Rivière-du-Nord/Rivière-du-Nord"," 211","Saint-Jérôme",115,28,30,8,2,18,0,0,1,202,419
24063,"Rivière-du-Nord/Rivière-du-Nord"," 212","Saint-Jérôme",141,25,61,17,1,21,0,0,2,268,519
24063,"Rivière-du-Nord/Rivière-du-Nord"," 213","Saint-Jérôme",79,23,21,6,0,11,2,0,6,148,337
24063,"Rivière-du-Nord/Rivière-du-Nord"," 214","Saint-Jérôme",118,11,23,6,0,17,1,0,5,181,371
24063,"Rivière-du-Nord/Rivière-du-Nord"," 215A","Saint-Jérôme",65,11,16,9,0,10,1,0,1,113,335
24063,"Rivière-du-Nord/Rivière-du-Nord"," 215B","Saint-Jérôme",27,14,16,3,0,4,0,0,2,66,336
24063,"Rivière-du-Nord/Rivière-du-Nord"," 216","Saint-Jérôme",97,14,33,13,3,15,2,0,2,179,378
24063,"Rivière-du-Nord/Rivière-du-Nord"," 217","Saint-Jérôme",41,10,20,4,1,12,1,0,1,90,318
24063,"Rivière-du-Nord/Rivière-du-Nord"," 218","Saint-Jérôme",79,17,39,15,0,10,1,1,1,163,426
24063,"Rivière-du-Nord/Rivière-du-Nord"," 219","Saint-Jérôme",72,7,22,7,0,8,0,0,3,119,455
24063,"Rivière-du-Nord/Rivière-du-Nord"," 220","Saint-Jérôme",77,17,38,1,0,8,0,0,2,143,404
24063,"Rivière-du-Nord/Rivière-du-Nord"," 400A","Saint-Jérôme",65,33,77,0,2,3,2,1,7,190,315
24063,"Rivière-du-Nord/Rivière-du-Nord"," 400B","Saint-Jérôme",53,20,73,2,1,0,0,0,13,162,280
24063,"Rivière-du-Nord/Rivière-du-Nord"," 401","Saint-Jérôme",166,38,106,1,2,1,1,1,5,321,476
24063,"Rivière-du-Nord/Rivière-du-Nord"," 402","Saint-Jérôme",66,13,45,0,1,1,1,0,7,134,171
24063,"Rivière-du-Nord/Rivière-du-Nord"," 403","Saint-Jérôme",83,11,70,2,0,2,0,0,4,172,242
24063,"Rivière-du-Nord/Rivière-du-Nord"," 500","Mobile poll/Bureau itinérant",17,17,33,2,0,2,0,0,9,80,143
24063,"Rivière-du-Nord/Rivière-du-Nord"," 501","Mobile poll/Bureau itinérant",18,12,36,2,0,3,0,0,8,79,163
24063,"Rivière-du-Nord/Rivière-du-Nord"," 502","Mobile poll/Bureau itinérant",5,7,12,0,0,2,1,0,1,28,134
24063,"Rivière-du-Nord/Rivière-du-Nord"," 503","Mobile poll/Bureau itinérant",21,14,24,0,0,2,0,1,3,65,16
24063,"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Hippolyte",360,81,168,36,2,38,4,0,12,701,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 601","Prévost",699,136,279,78,7,61,2,1,12,1275,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 602","Saint-Hippolyte",294,66,110,25,2,30,2,1,2,532,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 603","Saint-Hippolyte",342,54,99,17,6,29,1,1,9,558,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 604","Sainte-Sophie",331,62,87,29,3,37,1,0,13,563,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 605","Sainte-Sophie",269,74,93,26,4,20,1,1,11,499,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 606","Sainte-Sophie",391,81,104,26,3,37,2,2,8,654,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 607","Sainte-Sophie",255,78,88,28,4,14,4,0,12,483,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 608","Saint-Jérôme",454,102,160,28,1,46,4,2,12,809,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 609","Saint-Jérôme",497,128,188,37,8,58,5,0,11,932,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 610","Prévost",665,141,284,88,7,61,1,1,20,1268,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 611","Saint-Jérôme",620,160,250,43,16,58,0,2,22,1171,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 612","Saint-Jérôme",645,159,308,35,9,63,7,1,29,1256,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 613","Saint-Jérôme",589,135,233,26,3,24,4,3,20,1037,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 614","Saint-Jérôme",465,123,195,51,8,57,4,2,33,938,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 615","Saint-Jérôme",293,114,202,29,11,38,5,3,29,724,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 616","Saint-Jérôme",498,90,180,22,7,37,4,5,15,858,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 617","Saint-Jérôme",527,142,207,37,8,36,3,1,32,993,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 618","Saint-Jérôme",587,131,238,30,4,44,1,2,26,1063,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 619","Saint-Jérôme",519,130,190,42,1,42,4,2,17,947,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 620","Saint-Jérôme",568,170,264,53,2,49,1,1,26,1134,
24063,"Rivière-du-Nord/Rivière-du-Nord",,Group 1/Groupe 1, 7,7,44,4,0,3,0,1,6,72,73
24063,"Rivière-du-Nord/Rivière-du-Nord",,Group 2/Groupe 2, 684,215,410,117,13,93,5,5,45,1587,
