Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Michelle Boileau,Kraymr Grenke,Max Kennedy,Renaud Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 93","Timmins",69,27,44,5,8,5,158,386
35107,"Timmins--James Bay/Timmins--Baie James"," 94","Timmins",50,63,63,8,2,0,186,398
35107,"Timmins--James Bay/Timmins--Baie James"," 95","Timmins",46,89,104,2,1,0,242,452
35107,"Timmins--James Bay/Timmins--Baie James"," 96","Timmins",42,75,60,5,5,0,187,363
35107,"Timmins--James Bay/Timmins--Baie James"," 97","Timmins",42,61,29,6,2,0,140,387
35107,"Timmins--James Bay/Timmins--Baie James"," 98","Timmins",54,79,45,1,4,0,183,388
35107,"Timmins--James Bay/Timmins--Baie James"," 99","Timmins",56,85,46,2,3,3,195,430
35107,"Timmins--James Bay/Timmins--Baie James"," 100","Timmins",48,85,53,7,4,4,201,426
35107,"Timmins--James Bay/Timmins--Baie James"," 101","Timmins",70,74,82,11,4,6,247,543
35107,"Timmins--James Bay/Timmins--Baie James"," 102","Star--Kamiskotia Lake",65,83,76,4,9,0,237,601
35107,"Timmins--James Bay/Timmins--Baie James"," 103","Sesekinika",53,30,32,5,3,2,125,211
35107,"Timmins--James Bay/Timmins--Baie James"," 104","Timmins",62,75,65,9,6,3,220,566
35107,"Timmins--James Bay/Timmins--Baie James"," 105","Timmins",83,72,54,10,3,0,222,471
35107,"Timmins--James Bay/Timmins--Baie James"," 106","Timmins",47,57,38,5,1,6,154,345
35107,"Timmins--James Bay/Timmins--Baie James"," 107","Timmins",76,44,47,10,6,0,183,431
35107,"Timmins--James Bay/Timmins--Baie James"," 108","Timmins",75,55,48,8,4,3,193,492
35107,"Timmins--James Bay/Timmins--Baie James"," 109","Kirkland Lake",131,34,40,6,3,2,216,521
35107,"Timmins--James Bay/Timmins--Baie James"," 110","Kirkland Lake",150,40,37,7,10,0,244,554
35107,"Timmins--James Bay/Timmins--Baie James"," 111","Kirkland Lake",75,31,18,4,3,2,133,413
35107,"Timmins--James Bay/Timmins--Baie James"," 112","Kirkland Lake",52,16,29,2,3,0,102,324
35107,"Timmins--James Bay/Timmins--Baie James"," 113","Kirkland Lake",54,8,16,3,4,3,88,347
35107,"Timmins--James Bay/Timmins--Baie James"," 114","Kirkland Lake",115,29,34,3,5,2,188,468
