Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Eyolfson,Steven Fletcher,Brian Ho,Kristin Lauhn-Jensen,Marty Morantz,Melissa Penner,Ken St. George,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 602","Winnipeg",372,40,3,31,409,2,106,5,968,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 603","Winnipeg",275,24,0,24,310,5,84,4,726,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 604","Winnipeg",230,26,1,27,248,2,58,4,596,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 605","Winnipeg",252,30,4,36,247,0,105,2,676,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 606","Winnipeg",322,22,5,50,255,2,102,2,760,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 607","Winnipeg",209,13,1,23,178,2,36,1,463,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 608","Winnipeg",247,20,0,26,292,0,38,2,625,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 609","Winnipeg",244,18,2,27,395,3,45,0,734,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 610","Winnipeg",343,41,3,36,429,4,88,7,951,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 611","Winnipeg",400,33,2,44,500,1,95,4,1079,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 612","Winnipeg",57,6,0,15,188,0,15,0,281,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 613","Winnipeg",340,24,2,48,432,2,91,2,941,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 614","Winnipeg",418,27,2,36,606,2,84,0,1175,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 615","Winnipeg",385,19,0,47,440,1,72,2,966,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley",,Group 1/Groupe 1, 96,18,2,24,145,0,32,13,330,175
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley",,Group 2/Groupe 2, 496,57,6,77,497,7,145,26,1311,
