Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Janssen,Brian Kalliecharan,Marty Lancaster,David Patterson,Doug Shipley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 134","Barrie",47,81,21,4,97,5,255,524
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 135","Barrie",55,63,36,6,83,2,245,596
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 136","Barrie",45,82,15,2,85,1,230,511
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 137","Barrie",31,28,17,2,37,1,116,372
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 138","Barrie",40,50,28,2,52,0,172,401
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 139","Barrie",26,61,16,0,72,0,175,459
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 140","Barrie",23,103,30,2,96,6,260,372
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 141","Barrie",58,71,29,4,55,1,218,451
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 142","Barrie",33,89,24,8,94,2,250,580
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 143","Barrie",40,46,20,4,48,1,159,453
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 144","Barrie",37,49,24,3,52,0,165,449
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 145","Barrie",26,125,24,3,130,3,311,447
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 146","Barrie",33,106,20,2,73,0,234,389
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 147","Barrie",66,61,32,5,80,3,247,606
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 148","Barrie",58,76,30,8,50,2,224,589
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 149","Barrie",51,62,17,5,71,1,207,557
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 150","Barrie",79,44,29,1,66,4,223,588
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 151","Springwater",28,61,18,3,96,2,208,576
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 152","Springwater",23,53,21,3,119,10,229,499
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 153","Springwater",15,50,17,1,72,0,155,393
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 154","Springwater",14,71,12,4,141,2,244,565
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 155A","Springwater",22,53,21,2,84,0,182,442
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 155B","Springwater",22,53,20,2,88,1,186,402
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 156","Springwater",20,46,6,6,68,0,146,314
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 157","Springwater",26,48,27,4,92,0,197,499
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 158","Springwater",31,53,21,6,115,0,226,495
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 159","Barrie",39,49,18,2,51,2,161,412
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 160","Barrie",29,41,23,4,66,0,163,373
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 161","Barrie",37,39,14,4,51,1,146,355
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 162","Barrie",53,67,28,4,94,1,247,563
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 163","Barrie",37,73,13,4,72,0,199,555
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 164","Barrie",32,91,25,6,103,1,258,530
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 165","Barrie",54,67,15,6,91,2,235,511
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 166","Barrie",23,57,17,4,81,0,182,409
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 400","Barrie",5,40,11,0,34,5,95,124
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 401","Barrie",5,14,4,2,20,0,45,152
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 402","Barrie",22,46,14,3,39,3,127,195
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 403","Barrie",8,30,6,0,24,4,72,158
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 404","Barrie",3,51,13,2,50,0,119,164
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 405","Barrie",17,56,14,1,51,1,140,170
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 406","Barrie",20,38,13,2,39,1,113,170
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 407","Barrie",42,47,22,3,33,1,148,296
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 408","Barrie",21,27,14,4,32,4,102,156
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 409","Barrie",3,79,10,0,46,1,139,183
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 500","Mobile poll/Bureau itinérant",3,13,2,3,21,4,46,85
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 501","Mobile poll/Bureau itinérant",8,32,14,2,43,4,103,176
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 502","Mobile poll/Bureau itinérant",8,40,11,3,38,0,100,161
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 503","Mobile poll/Bureau itinérant",6,28,2,1,30,5,72,133
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 600","Springwater",64,148,57,5,265,4,543,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 601","Springwater",62,127,52,8,239,4,492,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 602","Oro-Medonte",51,92,53,9,166,2,373,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 603","Oro-Medonte",57,240,174,8,304,0,783,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 604","Springwater",31,70,50,7,172,2,332,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 605","Springwater",72,153,57,7,332,4,625,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 606","Springwater",82,287,66,10,516,2,963,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 607","Springwater",40,200,118,9,335,1,703,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 608","Oro-Medonte",32,102,63,5,219,1,422,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 609","Oro-Medonte",62,188,112,9,358,0,729,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 610","Barrie",114,240,84,10,241,4,693,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 611","Barrie",98,279,115,19,400,5,916,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 612","Barrie",135,331,104,21,424,6,1021,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 613","Barrie",122,285,100,18,394,7,926,
