Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Campbell,Bardish Chagger,Erika Traub,Kirsten Wright,Jerry Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 80","Waterloo",53,150,4,36,58,2,303,568
35112,"Waterloo/Waterloo"," 81","Waterloo",43,105,3,33,48,3,235,450
35112,"Waterloo/Waterloo"," 82","Waterloo",33,81,3,25,48,3,193,352
35112,"Waterloo/Waterloo"," 83","Waterloo",49,94,6,23,44,1,217,577
35112,"Waterloo/Waterloo"," 84","Waterloo",19,83,3,21,66,0,192,401
35112,"Waterloo/Waterloo"," 85","Waterloo",60,85,3,20,58,0,226,519
35112,"Waterloo/Waterloo"," 86","Waterloo",61,120,5,24,49,0,259,530
35112,"Waterloo/Waterloo"," 87A","Waterloo",57,103,1,16,41,2,220,388
35112,"Waterloo/Waterloo"," 87B","Waterloo",71,114,1,14,50,1,251,414
35112,"Waterloo/Waterloo"," 88","Waterloo",114,130,3,21,50,4,322,615
35112,"Waterloo/Waterloo"," 89A","Waterloo",41,73,2,16,25,0,157,401
35112,"Waterloo/Waterloo"," 89B","Waterloo",62,104,2,15,35,2,220,431
35112,"Waterloo/Waterloo"," 90","Waterloo",45,67,1,24,43,1,181,393
35112,"Waterloo/Waterloo"," 91","Waterloo",39,121,8,27,72,0,267,450
35112,"Waterloo/Waterloo"," 92","Waterloo",30,111,4,33,51,2,231,388
35112,"Waterloo/Waterloo"," 93","Waterloo",45,111,2,31,50,1,240,461
35112,"Waterloo/Waterloo"," 94","Waterloo",47,92,2,19,34,1,195,308
35112,"Waterloo/Waterloo"," 95","Waterloo",56,70,4,38,43,3,214,437
35112,"Waterloo/Waterloo"," 96","Waterloo",51,76,4,18,33,2,184,411
35112,"Waterloo/Waterloo"," 97","Waterloo",39,131,3,33,75,0,281,467
35112,"Waterloo/Waterloo"," 98","Waterloo",43,85,4,26,29,1,188,381
35112,"Waterloo/Waterloo"," 99A","Waterloo",61,101,2,16,39,0,219,313
35112,"Waterloo/Waterloo"," 99B","Waterloo",67,83,3,9,42,1,205,322
35112,"Waterloo/Waterloo"," 100A","Waterloo",64,130,0,27,52,0,273,289
35112,"Waterloo/Waterloo"," 100B","Waterloo",87,114,1,25,48,0,275,383
35112,"Waterloo/Waterloo"," 101A","Waterloo",52,87,1,16,32,1,189,374
35112,"Waterloo/Waterloo"," 101B","Waterloo",63,93,2,15,35,2,210,378
35112,"Waterloo/Waterloo"," 102","Waterloo",25,111,2,16,69,1,224,477
35112,"Waterloo/Waterloo"," 103","Waterloo",34,113,4,21,50,1,223,471
35112,"Waterloo/Waterloo"," 104","Waterloo",17,114,6,15,70,0,222,428
35112,"Waterloo/Waterloo"," 105","Waterloo",24,97,3,17,70,0,211,439
35112,"Waterloo/Waterloo"," 106","Waterloo",14,81,0,15,81,0,191,349
35112,"Waterloo/Waterloo"," 107","Waterloo",92,147,6,33,42,0,320,522
35112,"Waterloo/Waterloo"," 108","Waterloo",52,113,3,36,30,0,234,450
35112,"Waterloo/Waterloo"," 109","Waterloo",89,134,6,41,43,0,313,499
35112,"Waterloo/Waterloo"," 110","Waterloo",49,70,4,26,15,2,166,319
35112,"Waterloo/Waterloo"," 111","Waterloo",99,106,5,19,48,1,278,348
35112,"Waterloo/Waterloo"," 112A","Waterloo",61,76,1,9,34,1,182,266
35112,"Waterloo/Waterloo"," 112B","Waterloo",52,76,7,13,22,0,170,275
35112,"Waterloo/Waterloo"," 113","Waterloo",69,108,2,31,29,0,239,424
35112,"Waterloo/Waterloo"," 114","Waterloo",66,135,2,39,32,3,277,482
35112,"Waterloo/Waterloo"," 115","Waterloo",32,122,3,28,43,2,230,368
35112,"Waterloo/Waterloo"," 116","Waterloo",40,126,9,34,31,0,240,438
35112,"Waterloo/Waterloo"," 117","Waterloo",21,117,4,21,32,1,196,326
35112,"Waterloo/Waterloo"," 118","Waterloo",52,125,7,44,44,0,272,485
35112,"Waterloo/Waterloo"," 119","Waterloo",34,116,2,21,32,1,206,397
35112,"Waterloo/Waterloo"," 120","Waterloo",13,158,2,12,53,6,244,284
35112,"Waterloo/Waterloo"," 121","Waterloo",34,109,4,18,52,2,219,429
35112,"Waterloo/Waterloo"," 122","Waterloo",30,164,5,27,82,3,311,545
35112,"Waterloo/Waterloo"," 123","Waterloo",7,90,4,12,59,0,172,361
35112,"Waterloo/Waterloo"," 124","Waterloo",19,125,10,21,87,0,262,463
35112,"Waterloo/Waterloo"," 125","Waterloo",23,128,5,28,65,1,250,469
35112,"Waterloo/Waterloo"," 126","Waterloo",34,157,0,43,47,0,281,522
35112,"Waterloo/Waterloo"," 127","Waterloo",29,162,9,35,57,1,293,538
35112,"Waterloo/Waterloo"," 128","Waterloo",22,146,3,17,57,1,246,430
35112,"Waterloo/Waterloo"," 129","Waterloo",22,129,1,20,43,1,216,393
