Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 38B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,62
35080,"Oxford/Oxford"," 38C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,118
35080,"Oxford/Oxford"," 38D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,113
35080,"Oxford/Oxford"," 38E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,121
35080,"Oxford/Oxford"," 39A","Woodstock",Merged with No./Fusionné avec le n°33A,,,,,,,,26
35080,"Oxford/Oxford"," 39B","Woodstock",Merged with No./Fusionné avec le n°33B,,,,,,,,30
35080,"Oxford/Oxford"," 39C","Woodstock",Merged with No./Fusionné avec le n°33C,,,,,,,,33
35080,"Oxford/Oxford"," 39D","Woodstock",Merged with No./Fusionné avec le n°33D,,,,,,,,59
35080,"Oxford/Oxford"," 39E","Woodstock",Merged with No./Fusionné avec le n°33E,,,,,,,,40
35080,"Oxford/Oxford"," 40","Woodstock",3,15,72,79,147,7,0,323,552
35080,"Oxford/Oxford"," 41","Woodstock",4,13,44,54,114,1,0,230,450
35080,"Oxford/Oxford"," 42","Woodstock",7,17,57,67,89,8,3,248,543
35080,"Oxford/Oxford"," 43","Willow Lake",2,15,20,47,147,2,2,235,431
35080,"Oxford/Oxford"," 44A","East Zorra-Tavistock",0,13,54,43,54,6,0,170,392
35080,"Oxford/Oxford"," 44B","East Zorra-Tavistock",2,3,38,36,62,7,0,148,346
35080,"Oxford/Oxford"," 45","Woodstock",6,9,51,63,138,4,1,272,514
35080,"Oxford/Oxford"," 46A","Tollgate",0,11,33,56,86,8,0,194,346
35080,"Oxford/Oxford"," 46B","Tollgate",0,8,21,46,62,11,3,151,329
35080,"Oxford/Oxford"," 46C","Tollgate",0,1,14,12,28,1,0,56,111
35080,"Oxford/Oxford"," 47A","Tollgate",0,14,30,28,91,5,2,170,332
35080,"Oxford/Oxford"," 47B","Tollgate",2,18,24,44,88,6,2,184,348
35080,"Oxford/Oxford"," 48A","Lakeside",5,30,55,63,173,13,0,339,204
35080,"Oxford/Oxford"," 48B","Lakeside",1,41,43,61,168,1,0,315,193
35080,"Oxford/Oxford"," 49A","Uniondale",Merged with No./Fusionné avec le n°48A,,,,,,,,166
35080,"Oxford/Oxford"," 49B","Uniondale",Merged with No./Fusionné avec le n°48B,,,,,,,,173
35080,"Oxford/Oxford"," 50A","Kintore",Merged with No./Fusionné avec le n°48A,,,,,,,,172
35080,"Oxford/Oxford"," 50B","Kintore",Merged with No./Fusionné avec le n°48B,,,,,,,,147
35080,"Oxford/Oxford"," 51","Woodstock",1,19,59,61,94,12,0,246,479
35080,"Oxford/Oxford"," 52","Woodstock",1,14,79,36,104,6,2,242,598
35080,"Oxford/Oxford"," 53","Woodstock",1,15,43,37,98,7,1,202,422
35080,"Oxford/Oxford"," 54","Woodstock",4,13,43,40,81,5,3,189,445
35080,"Oxford/Oxford"," 55","Woodstock",3,13,38,41,72,5,2,174,383
35080,"Oxford/Oxford"," 56A","Woodstock",6,28,87,53,129,6,0,309,116
35080,"Oxford/Oxford"," 56B","Woodstock",5,20,80,63,127,15,0,310,139
35080,"Oxford/Oxford"," 56C","Woodstock",3,29,72,74,148,12,1,339,132
35080,"Oxford/Oxford"," 57A","Woodstock",Merged with No./Fusionné avec le n°56A,,,,,,,,127
35080,"Oxford/Oxford"," 57B","Woodstock",Merged with No./Fusionné avec le n°56B,,,,,,,,102
35080,"Oxford/Oxford"," 57C","Woodstock",Merged with No./Fusionné avec le n°56C,,,,,,,,131
35080,"Oxford/Oxford"," 58A","Woodstock",Merged with No./Fusionné avec le n°56A,,,,,,,,146
