Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Barrett,Brian Deheer,Maggie Farrington,Matthew Gilks,David Yurdiga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 165B","Happy Hollow",Merged with No./Fusionné avec le n°164,,,,,,,139
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 166","Glendon",3,6,3,2,219,1,234,339
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 167A","Happy Hollow",4,5,7,13,134,1,164,402
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 167B","Happy Hollow",Merged with No./Fusionné avec le n°173B,,,,,,,102
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 168","Cold Lake",6,5,15,8,134,2,170,389
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 169","Cold Lake",2,5,13,22,180,2,224,474
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 170A","Cold Lake",4,1,9,13,161,4,192,445
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 170B","Cold Lake",Merged with No./Fusionné avec le n°173B,,,,,,,131
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 171","Cold Lake",4,5,22,15,179,2,227,528
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 172","Cold Lake",8,6,11,15,118,0,158,404
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 173A","Cold Lake",2,4,15,14,115,2,152,371
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 173B","Cold Lake",8,3,10,12,109,0,142,157
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 174","Cold Lake",7,2,11,11,187,3,221,399
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 175A","Cold Lake",7,4,19,19,147,1,197,549
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 175B","Cold Lake",5,3,15,10,144,4,181,253
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 176","Cold Lake",5,2,8,16,155,0,186,468
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 177","Cold Lake",11,2,8,24,145,0,190,406
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 178A","Cold Lake",7,6,15,24,142,0,194,446
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 178B","Cold Lake",Merged with No./Fusionné avec le n°175B,,,,,,,206
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 179","Cold Lake",6,10,17,13,188,0,234,480
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 180A","Cold Lake",6,4,11,14,143,1,179,470
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 180B","Cold Lake",Merged with No./Fusionné avec le n°175B,,,,,,,54
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 181","Bonnyville",Merged with No./Fusionné avec le n°183,,,,,,,187
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 182","Bonnyville",1,2,2,0,147,0,152,280
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 183","Ardmore",6,2,6,6,201,0,221,254
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 184","Fort Kent",9,4,11,6,278,0,308,524
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 185","Ardmore",3,0,6,5,145,0,159,374
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 186","Cold Lake",15,16,32,54,240,0,357,1022
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 187","Cold Lake",11,5,20,26,250,0,312,362
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 188","Cold Lake",6,4,15,24,126,1,176,380
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 189","Cold Lake",1,1,10,17,116,1,146,430
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 190","Cold Lake",2,10,10,18,129,1,170,476
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 191","Cold Lake",8,10,18,17,133,1,187,477
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 192","Cold Lake",4,7,22,12,115,2,162,404
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 193","Cold Lake",5,3,10,13,141,0,172,423
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 194","Cold Lake",3,1,3,23,117,0,147,499
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 195","Cold Lake",Merged with No./Fusionné avec le n°187,,,,,,,308
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 196","Cherry Grove",12,6,6,9,187,1,221,409
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 197","Cherry Grove",5,3,7,13,202,0,230,375
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 198","Cold Lake 149",2,11,43,40,42,3,141,416
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 199","Beaverdam",1,1,0,2,9,0,13,125
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 500","Mobile poll/Bureau itinérant",4,5,19,4,55,0,87,90
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 501","Mobile poll/Bureau itinérant",6,6,25,4,76,2,119,108
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 502","Mobile poll/Bureau itinérant",1,4,7,6,38,1,57,69
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 600","Fort Chipewyan",1,0,24,14,12,0,51,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 601","Fort McMurray",1,0,0,0,1,0,2,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 602","Fort McMurray",16,2,16,13,418,2,467,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 603","Wood Buffalo",34,5,100,20,797,2,958,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 604","Wood Buffalo",21,12,92,28,639,1,793,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 605","Wood Buffalo",31,5,83,29,679,4,831,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 606","Fort McMurray",26,6,36,12,628,1,709,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 607","Fort McMurray",20,1,42,20,584,0,667,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 608","Fort McMurray",19,7,55,35,647,0,763,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 609","Wood Buffalo",19,6,115,27,661,0,828,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 610","Wood Buffalo",12,4,94,16,204,1,331,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 611","Wood Buffalo",24,6,91,38,378,0,537,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 612","Fort McMurray",30,14,68,32,555,0,699,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 613","Fort McMurray",30,5,93,38,639,0,805,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 614","Fort McMurray",14,8,43,20,386,0,471,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 615","Fort McMurray",29,6,29,20,440,0,524,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 616","Fort McMurray",1,0,4,4,28,1,38,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 617","Wabasca",0,13,37,51,50,0,151,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 618","Calling Lake ",0,0,0,0,0,0,0,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 619","Fort McMurray",0,2,3,1,1,0,7,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 620","Fort McMurray",0,2,13,0,11,0,26,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 621","Lac La Biche",21,40,61,40,958,1,1121,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 622","Fort Kent",14,8,17,14,575,0,628,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 623","Cold Lake",19,8,34,49,600,4,714,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 624","Cold Lake",24,15,53,51,719,4,866,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 625","Cold Lake",18,18,34,43,571,1,685,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,Group 1/Groupe 1, 26,35,76,35,314,23,509,134
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,Group 2/Groupe 2, 93,57,311,144,2108,76,2789,
