Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Hartnell,Amanda Moddejonge,Marcus Powlowski,Linda Rydholm,Yuk-Sem Won,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 171","Hymers",1,14,25,46,33,2,121,185
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 172","Scoble",6,11,59,69,62,0,207,539
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 173","South Gillies",2,11,37,47,51,0,148,236
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 174","Nolalu",9,15,75,68,56,2,225,470
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 175","Moose Hill",3,15,64,105,65,0,252,405
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 176","Moose Hill",8,12,78,79,53,4,234,437
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 177","Pardee",4,7,25,40,22,1,99,199
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 400","Thunder Bay",0,7,49,29,7,2,94,119
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 500","Mobile poll/Bureau itinérant",3,3,12,41,79,1,139,556
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 501","Mobile poll/Bureau itinérant",3,3,40,26,19,6,97,219
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 600","Rainy River",7,3,51,131,45,3,240,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 601","Fort Frances",12,8,74,187,88,1,370,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 602","Fort Frances",9,32,165,274,199,3,682,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 603","Atikokan",6,14,131,125,98,3,377,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 604","Kakabeka Falls",17,59,269,315,152,0,812,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 605","Thunder Bay",9,29,382,303,177,2,902,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 606","Thunder Bay",8,36,528,230,206,10,1018,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 607","Thunder Bay",5,23,223,104,168,1,524,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 608","Thunder Bay",10,47,324,167,210,3,761,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 609","Thunder Bay",13,48,545,262,254,10,1132,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 610","Thunder Bay",10,42,343,196,176,1,768,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 611","Thunder Bay",10,11,80,99,57,0,257,
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 1/Groupe 1, 2,9,60,12,27,9,119,129
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",,Group 2/Groupe 2, 25,93,535,392,355,27,1427,
