Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monique Allard,Lyne Bessette,Steeve Cloutier,Bruno Côté,Lawrence Cotton,Normand Dallaire,Sylvie Jetté,François Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 221","Noyan",68,53,1,25,0,2,10,3,6,168,348
24016,"Brome--Missisquoi/Brome--Missisquoi"," 222","Noyan",70,70,1,33,1,12,10,2,5,204,432
24016,"Brome--Missisquoi/Brome--Missisquoi"," 500A","Mobile poll/Bureau itinérant",22,45,1,5,0,0,0,1,8,82,129
24016,"Brome--Missisquoi/Brome--Missisquoi"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,,,57
24016,"Brome--Missisquoi/Brome--Missisquoi"," 501","Mobile poll/Bureau itinérant",39,61,1,21,0,1,4,2,7,136,274
24016,"Brome--Missisquoi/Brome--Missisquoi"," 502","Mobile poll/Bureau itinérant",15,47,0,6,1,5,1,1,7,83,157
24016,"Brome--Missisquoi/Brome--Missisquoi"," 503","Magog",45,134,4,17,1,3,6,1,12,223,226
24016,"Brome--Missisquoi/Brome--Missisquoi"," 504A","Mobile poll/Bureau itinérant",21,35,2,6,2,1,0,0,8,75,68
24016,"Brome--Missisquoi/Brome--Missisquoi"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,32
24016,"Brome--Missisquoi/Brome--Missisquoi"," 505","Mobile poll/Bureau itinérant",30,76,0,9,1,6,2,2,13,139,211
24016,"Brome--Missisquoi/Brome--Missisquoi"," 506A","Mobile poll/Bureau itinérant",1,46,0,10,0,1,1,0,6,65,110
24016,"Brome--Missisquoi/Brome--Missisquoi"," 506B","Lac-Brome",Merged with No./Fusionné avec le n°103,,,,,,,,,,7
24016,"Brome--Missisquoi/Brome--Missisquoi"," 506C","Potton",Merged with No./Fusionné avec le n°165,,,,,,,,,,15
24016,"Brome--Missisquoi/Brome--Missisquoi"," 507A","Mobile poll/Bureau itinérant",18,30,0,13,0,3,1,0,1,66,126
24016,"Brome--Missisquoi/Brome--Missisquoi"," 507B","Farnham",Merged with No./Fusionné avec le n°128,,,,,,,,,,1
24016,"Brome--Missisquoi/Brome--Missisquoi"," 508","Mobile poll/Bureau itinérant",72,151,1,34,1,5,5,1,22,292,163
24016,"Brome--Missisquoi/Brome--Missisquoi"," 509","Mobile poll/Bureau itinérant",7,31,0,1,0,1,1,0,3,44,113
24016,"Brome--Missisquoi/Brome--Missisquoi"," 510","Mobile poll/Bureau itinérant",17,16,0,1,0,1,1,1,2,39,65
24016,"Brome--Missisquoi/Brome--Missisquoi"," 511A","Mobile poll/Bureau itinérant",4,36,2,8,0,0,1,2,11,64,121
24016,"Brome--Missisquoi/Brome--Missisquoi"," 511B","Bedford",Merged with No./Fusionné avec le n°200,,,,,,,,,,7
24016,"Brome--Missisquoi/Brome--Missisquoi"," 600","Venise-en-Québec",98,78,0,53,0,20,4,0,4,257,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 601","Venise-en-Québec",209,152,1,72,3,8,23,8,11,487,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 602","Venise-en-Québec",130,106,2,51,2,4,26,6,8,335,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 603","Bedford",157,228,1,77,4,13,34,9,3,526,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 604","Bedford",109,100,3,59,2,11,36,9,5,334,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 605","Farnham",296,255,3,112,6,24,52,1,16,765,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 606","Farnham",302,238,7,118,2,33,58,15,18,791,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 607","Dunham",288,299,5,111,5,66,78,4,7,863,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 608","Cowansville",327,341,4,141,13,54,73,7,10,970,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 609","Cowansville",365,378,2,147,2,51,73,10,7,1035,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 610","Cowansville",284,422,2,144,6,29,60,12,15,974,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 611","Bromont",253,376,4,66,1,34,62,7,5,808,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 612","Bromont",451,660,5,96,5,62,96,4,12,1391,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 613","Lac-Brome",127,563,2,110,1,50,69,8,7,937,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 614","Sutton",275,624,3,138,5,111,91,5,10,1262,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 615","Lac-Brome",188,429,3,97,2,50,33,3,6,811,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 616","Sutton",125,189,1,139,0,25,20,5,4,508,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 617","Magog",527,476,3,161,3,51,87,5,13,1326,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 618","Magog",525,501,3,161,1,44,69,5,6,1315,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 619","Orford",227,191,1,41,0,24,47,2,6,539,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 620","Orford",409,361,3,94,1,42,76,1,10,997,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 621","Magog",577,460,10,150,2,52,91,9,25,1376,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 622","Magog",348,237,3,111,1,19,49,6,19,793,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 623","Magog",384,261,3,129,1,20,46,3,31,878,
24016,"Brome--Missisquoi/Brome--Missisquoi",,Group 1/Groupe 1, 4,51,0,18,1,12,10,0,5,101,116
24016,"Brome--Missisquoi/Brome--Missisquoi",,Group 2/Groupe 2, 237,439,7,126,2,104,109,8,25,1057,
