Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jack Harris,David Peters,Joedy Wall,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 140","Portugal Cove-St. Philip's",87,3,56,74,1,221,459
10006,"St. John's East/St. John's-Est"," 141","Portugal Cove-St. Philip's",60,3,38,65,3,169,339
10006,"St. John's East/St. John's-Est"," 142","Portugal Cove-St. Philip's",88,3,51,65,1,208,415
10006,"St. John's East/St. John's-Est"," 143","Portugal Cove-St. Philip's",75,2,42,47,2,168,322
10006,"St. John's East/St. John's-Est"," 144","Paradise",90,5,38,92,0,225,457
10006,"St. John's East/St. John's-Est"," 145","Paradise",135,4,59,91,0,289,607
10006,"St. John's East/St. John's-Est"," 146","Paradise",85,3,42,43,1,174,354
10006,"St. John's East/St. John's-Est"," 147","Paradise",111,0,38,74,0,223,405
10006,"St. John's East/St. John's-Est"," 148","Paradise",88,0,28,61,0,177,389
10006,"St. John's East/St. John's-Est"," 149","Paradise",79,3,34,60,1,177,347
10006,"St. John's East/St. John's-Est"," 150","Paradise",71,4,22,39,1,137,312
10006,"St. John's East/St. John's-Est"," 151","Paradise",99,2,43,56,1,201,413
10006,"St. John's East/St. John's-Est"," 152","Paradise",92,2,28,57,0,179,370
10006,"St. John's East/St. John's-Est"," 153","Wabana",42,0,31,16,0,89,276
10006,"St. John's East/St. John's-Est"," 154","Wabana",37,1,52,28,0,118,306
10006,"St. John's East/St. John's-Est"," 155","Freshwater",34,1,39,22,0,96,278
10006,"St. John's East/St. John's-Est"," 156","Paradise",148,5,36,83,1,273,536
10006,"St. John's East/St. John's-Est"," 157","Paradise",186,2,57,90,0,335,569
10006,"St. John's East/St. John's-Est"," 158","St. John's",108,4,50,66,2,230,500
10006,"St. John's East/St. John's-Est"," 400","St. John's",Merged with No./Fusionné avec le n°116,,,,,,34
10006,"St. John's East/St. John's-Est"," 500A","Portugal Cove-St. Philip's",Merged with No./Fusionné avec le n°139,,,,,,13
10006,"St. John's East/St. John's-Est"," 500B","Mobile poll/Bureau itinérant",23,0,17,35,4,79,65
10006,"St. John's East/St. John's-Est"," 501","Mobile poll/Bureau itinérant",35,2,20,27,6,90,146
10006,"St. John's East/St. John's-Est"," 502A","Mobile poll/Bureau itinérant",35,1,10,37,10,93,144
10006,"St. John's East/St. John's-Est"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,30
10006,"St. John's East/St. John's-Est"," 503","Mobile poll/Bureau itinérant",32,2,23,63,7,127,157
10006,"St. John's East/St. John's-Est"," 504","Mobile poll/Bureau itinérant",42,4,33,65,9,153,214
10006,"St. John's East/St. John's-Est"," 600","Pouch Cove",80,2,161,63,7,313,
10006,"St. John's East/St. John's-Est"," 601","Logy Bay—Middle Cove—Outer Cove—Flatrock",128,3,116,71,10,328,
10006,"St. John's East/St. John's-Est"," 602","Torbay",198,5,146,142,11,502,
10006,"St. John's East/St. John's-Est"," 603","Logy Bay—Middle Cove—Outer Cove—Flatrock",190,9,135,172,9,515,
10006,"St. John's East/St. John's-Est"," 604","St. John's",285,13,55,223,9,585,
10006,"St. John's East/St. John's-Est"," 605","St. John's",464,31,54,218,13,780,
10006,"St. John's East/St. John's-Est"," 606","St. John's",321,12,46,205,7,591,
10006,"St. John's East/St. John's-Est"," 607","St. John's",395,21,98,369,14,897,
10006,"St. John's East/St. John's-Est"," 608","St. John's",332,8,99,354,13,806,
10006,"St. John's East/St. John's-Est"," 609","St. John's",358,11,174,432,17,992,
10006,"St. John's East/St. John's-Est"," 610","St. John's",240,7,71,239,8,565,
10006,"St. John's East/St. John's-Est"," 611","St. John's",172,2,40,157,2,373,
10006,"St. John's East/St. John's-Est"," 612","St. John's",210,12,85,164,3,474,
10006,"St. John's East/St. John's-Est"," 613","St. John's",221,7,72,189,7,496,
10006,"St. John's East/St. John's-Est"," 614","Portugal Cove-St. Philips",234,7,100,220,6,567,
10006,"St. John's East/St. John's-Est"," 615","Portugal Cove-St. Philips",109,5,39,49,2,204,
10006,"St. John's East/St. John's-Est"," 616","Wabana",121,4,82,83,0,290,
10006,"St. John's East/St. John's-Est",,Group 1/Groupe 1, 64,5,28,61,2,160,186
10006,"St. John's East/St. John's-Est",,Group 2/Groupe 2, 953,59,384,800,22,2218,
