Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angelique Belcourt,Chris Brown,Gerry Hawes,Stephen Makk,Valerie Powell,Bruce Stanton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 180","Orillia",27,2,26,1,10,33,0,99,284
35100,"Simcoe North/Simcoe-Nord"," 181A","Orillia",45,0,53,3,21,82,0,204,458
35100,"Simcoe North/Simcoe-Nord"," 181B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°128B,,,,,,,,57
35100,"Simcoe North/Simcoe-Nord"," 182","Orillia",42,0,60,3,21,60,3,189,468
35100,"Simcoe North/Simcoe-Nord"," 183","Orillia",39,2,46,3,13,71,4,178,495
35100,"Simcoe North/Simcoe-Nord"," 184","Orillia",41,1,52,5,21,81,0,201,503
35100,"Simcoe North/Simcoe-Nord"," 185","Orillia",33,1,67,9,16,93,0,219,511
35100,"Simcoe North/Simcoe-Nord"," 186","Orillia",50,1,85,3,25,98,1,263,539
35100,"Simcoe North/Simcoe-Nord"," 187","Orillia",33,2,60,7,10,74,1,187,498
35100,"Simcoe North/Simcoe-Nord"," 188","Orillia",21,2,106,3,20,121,3,276,720
35100,"Simcoe North/Simcoe-Nord"," 189","Ramara",33,3,93,2,23,148,0,302,562
35100,"Simcoe North/Simcoe-Nord"," 190","Ramara",33,2,72,5,12,115,1,240,454
35100,"Simcoe North/Simcoe-Nord"," 191","Tiny",23,0,92,7,15,98,1,236,448
35100,"Simcoe North/Simcoe-Nord"," 192","Tiny",42,1,59,3,12,62,1,180,401
35100,"Simcoe North/Simcoe-Nord"," 193","Tiny",17,1,91,1,18,73,0,201,374
35100,"Simcoe North/Simcoe-Nord"," 194","Tiny",21,2,61,1,20,85,0,190,366
35100,"Simcoe North/Simcoe-Nord"," 195","Tiny",25,0,72,3,21,83,0,204,379
35100,"Simcoe North/Simcoe-Nord"," 196","Tiny",20,0,51,2,19,62,2,156,385
35100,"Simcoe North/Simcoe-Nord"," 197","Tiny",23,0,61,2,21,70,0,177,393
35100,"Simcoe North/Simcoe-Nord"," 198","Tiny",19,0,76,3,9,69,2,178,340
35100,"Simcoe North/Simcoe-Nord"," 199","Orillia",25,1,61,4,18,60,0,169,417
35100,"Simcoe North/Simcoe-Nord"," 200","Orillia",38,1,59,0,19,61,2,180,414
35100,"Simcoe North/Simcoe-Nord"," 201","Orillia",47,1,51,1,19,82,1,202,477
35100,"Simcoe North/Simcoe-Nord"," 202","Orillia",48,2,55,5,13,49,1,173,368
35100,"Simcoe North/Simcoe-Nord"," 203","Orillia",26,0,40,3,12,65,0,146,402
35100,"Simcoe North/Simcoe-Nord"," 204","Orillia",33,1,65,5,10,70,0,184,457
35100,"Simcoe North/Simcoe-Nord"," 205A","Orillia",64,2,94,8,24,140,0,332,581
35100,"Simcoe North/Simcoe-Nord"," 205B","Orillia",47,1,72,6,24,155,0,305,586
35100,"Simcoe North/Simcoe-Nord"," 206","Orillia",51,1,50,2,19,52,0,175,488
