Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Bridges,Winter Fedyk,Naomi Hunter,Don Morgan,Jigar Patel,Warren Steinley,Trevor Wowk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 119","Regina",0,24,20,1,88,66,0,0,199,382
47007,"Regina--Lewvan/Regina--Lewvan"," 120","Regina",0,53,7,0,70,61,0,0,191,368
47007,"Regina--Lewvan/Regina--Lewvan"," 121","Regina",0,41,10,1,79,66,1,0,198,353
47007,"Regina--Lewvan/Regina--Lewvan"," 122","Regina",0,43,12,2,95,71,0,0,223,429
47007,"Regina--Lewvan/Regina--Lewvan"," 123","Regina",0,49,7,1,93,88,5,0,243,435
47007,"Regina--Lewvan/Regina--Lewvan"," 124","Regina",0,31,11,3,100,97,0,0,242,447
47007,"Regina--Lewvan/Regina--Lewvan"," 125","Regina",1,40,9,0,73,106,1,0,230,467
47007,"Regina--Lewvan/Regina--Lewvan"," 126","Regina",0,42,4,2,53,159,5,2,267,640
47007,"Regina--Lewvan/Regina--Lewvan"," 127","Regina",0,35,7,0,73,94,1,3,213,517
47007,"Regina--Lewvan/Regina--Lewvan"," 128","Regina",0,27,2,0,54,104,1,0,188,463
47007,"Regina--Lewvan/Regina--Lewvan"," 129","Regina",0,27,7,0,45,49,1,3,132,347
47007,"Regina--Lewvan/Regina--Lewvan"," 130","Regina",0,37,5,0,50,98,1,1,192,385
47007,"Regina--Lewvan/Regina--Lewvan"," 131","Regina",0,50,5,0,46,45,0,4,150,337
47007,"Regina--Lewvan/Regina--Lewvan"," 132","Regina",0,44,5,3,60,121,1,1,235,382
47007,"Regina--Lewvan/Regina--Lewvan"," 133","Regina",0,30,13,1,54,63,1,4,166,401
47007,"Regina--Lewvan/Regina--Lewvan"," 134A","Regina",0,38,6,0,42,63,2,0,151,360
47007,"Regina--Lewvan/Regina--Lewvan"," 134B","Regina",3,33,3,1,52,63,1,1,157,352
47007,"Regina--Lewvan/Regina--Lewvan"," 135","Regina",0,54,3,1,64,141,4,1,268,587
47007,"Regina--Lewvan/Regina--Lewvan"," 136","Regina",0,57,9,0,101,147,4,4,322,681
47007,"Regina--Lewvan/Regina--Lewvan"," 137","Regina",0,38,10,3,59,132,6,2,250,587
47007,"Regina--Lewvan/Regina--Lewvan"," 138","Regina",0,44,6,0,84,126,3,0,263,560
47007,"Regina--Lewvan/Regina--Lewvan"," 139","Regina",0,32,13,0,76,119,0,1,241,469
47007,"Regina--Lewvan/Regina--Lewvan"," 140A","Regina",0,25,2,2,64,108,1,0,202,424
47007,"Regina--Lewvan/Regina--Lewvan"," 140B","Regina",0,22,5,0,57,78,0,0,162,376
47007,"Regina--Lewvan/Regina--Lewvan"," 141","Regina",0,48,2,1,81,115,4,2,253,474
47007,"Regina--Lewvan/Regina--Lewvan"," 142","Regina",0,37,8,0,72,77,0,3,197,358
47007,"Regina--Lewvan/Regina--Lewvan"," 143","Regina",0,21,4,0,55,64,2,1,147,294
47007,"Regina--Lewvan/Regina--Lewvan"," 144","Regina",0,31,10,0,35,53,5,0,134,319
47007,"Regina--Lewvan/Regina--Lewvan"," 145","Regina",0,34,12,1,54,68,1,0,170,342
47007,"Regina--Lewvan/Regina--Lewvan"," 146","Regina",1,40,0,0,54,117,1,0,213,373
47007,"Regina--Lewvan/Regina--Lewvan"," 147","Regina",0,31,10,0,51,66,4,0,162,333
47007,"Regina--Lewvan/Regina--Lewvan"," 148","Regina",0,33,3,0,43,74,4,0,157,359
47007,"Regina--Lewvan/Regina--Lewvan"," 149","Regina",0,35,5,2,43,101,1,0,187,403
47007,"Regina--Lewvan/Regina--Lewvan"," 150","Regina",0,27,8,2,39,76,1,0,153,390
47007,"Regina--Lewvan/Regina--Lewvan"," 151","Regina",0,31,3,1,37,70,2,0,144,337
47007,"Regina--Lewvan/Regina--Lewvan"," 152A","Regina",0,19,11,0,48,94,2,0,174,374
47007,"Regina--Lewvan/Regina--Lewvan"," 152B","Regina",0,22,5,0,36,71,1,2,137,323
47007,"Regina--Lewvan/Regina--Lewvan"," 153","Regina",1,37,7,1,62,102,2,2,214,401
47007,"Regina--Lewvan/Regina--Lewvan"," 154","Regina",0,39,7,0,29,82,4,0,161,358
47007,"Regina--Lewvan/Regina--Lewvan"," 155","Regina",0,28,14,0,49,78,2,0,171,369
47007,"Regina--Lewvan/Regina--Lewvan"," 156","Regina",0,30,5,0,50,80,2,1,168,350
47007,"Regina--Lewvan/Regina--Lewvan"," 400","Mobile poll/Bureau itinérant",0,11,2,2,18,6,1,6,46,173
47007,"Regina--Lewvan/Regina--Lewvan"," 401","Mobile poll/Bureau itinérant",2,62,8,1,45,89,0,15,222,136
47007,"Regina--Lewvan/Regina--Lewvan"," 402","Mobile poll/Bureau itinérant",4,33,8,3,28,41,0,3,120,122
47007,"Regina--Lewvan/Regina--Lewvan"," 403","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°402,,,,,,,,,193
47007,"Regina--Lewvan/Regina--Lewvan"," 404","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°401,,,,,,,,,114
47007,"Regina--Lewvan/Regina--Lewvan"," 500A","Mobile poll/Bureau itinérant",0,4,4,3,8,7,0,2,28,45
47007,"Regina--Lewvan/Regina--Lewvan"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,,,12
47007,"Regina--Lewvan/Regina--Lewvan"," 501","Mobile poll/Bureau itinérant",2,18,5,2,17,29,2,5,80,112
47007,"Regina--Lewvan/Regina--Lewvan"," 502","Mobile poll/Bureau itinérant",0,13,5,4,7,13,2,3,47,70
47007,"Regina--Lewvan/Regina--Lewvan"," 503","Mobile poll/Bureau itinérant",0,10,0,1,6,10,0,0,27,141
47007,"Regina--Lewvan/Regina--Lewvan"," 504","Mobile poll/Bureau itinérant",0,10,3,2,11,17,0,0,43,44
47007,"Regina--Lewvan/Regina--Lewvan"," 505","Mobile poll/Bureau itinérant",2,9,1,1,6,16,0,3,38,84
47007,"Regina--Lewvan/Regina--Lewvan"," 600","Regina",1,126,27,5,221,943,17,1,1341,
47007,"Regina--Lewvan/Regina--Lewvan"," 601","Regina",1,166,33,4,228,791,8,1,1232,
47007,"Regina--Lewvan/Regina--Lewvan"," 602","Regina",3,103,29,3,233,732,13,5,1121,
47007,"Regina--Lewvan/Regina--Lewvan"," 603","Regina",1,102,22,4,224,616,16,2,987,
47007,"Regina--Lewvan/Regina--Lewvan"," 604","Regina",0,109,41,2,251,951,8,4,1366,
47007,"Regina--Lewvan/Regina--Lewvan"," 605","Regina",3,119,36,2,237,627,6,8,1038,
47007,"Regina--Lewvan/Regina--Lewvan"," 606","Regina",2,94,24,4,198,415,12,3,752,
47007,"Regina--Lewvan/Regina--Lewvan"," 607","Regina",2,92,53,1,264,556,19,8,995,
47007,"Regina--Lewvan/Regina--Lewvan"," 608","Regina",0,154,83,1,402,261,7,2,910,
47007,"Regina--Lewvan/Regina--Lewvan"," 609","Regina",0,228,78,1,403,481,9,12,1212,
47007,"Regina--Lewvan/Regina--Lewvan"," 610","Regina",1,203,47,4,211,581,7,10,1064,
47007,"Regina--Lewvan/Regina--Lewvan"," 611","Regina",3,218,53,2,303,639,8,2,1228,
47007,"Regina--Lewvan/Regina--Lewvan"," 612","Regina",1,201,49,5,378,833,20,8,1495,
47007,"Regina--Lewvan/Regina--Lewvan",,Group 1/Groupe 1, 1,58,12,0,43,18,0,15,147,172
47007,"Regina--Lewvan/Regina--Lewvan",,Group 2/Groupe 2, 2,304,106,8,491,902,20,22,1855,
