Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Bernier,Sylvie Boucher,Gérard Briand,Caroline Desbiens,Manon Fortin,Richard Guertin,Jean-Claude Parent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 46","Saint-Urbain",0,24,0,38,22,2,3,2,91,221
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 47","Saint-Urbain",0,45,4,72,42,3,0,0,166,368
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 48","Saint-Urbain",1,28,1,55,38,2,1,0,126,297
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 49","Saint-Urbain",1,28,6,40,15,4,0,3,97,227
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 50","Les Éboulements",0,25,9,61,20,6,2,1,124,244
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 51","Les Éboulements",2,17,4,55,45,1,2,6,132,264
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 52","Les Éboulements",2,29,5,74,41,5,0,2,158,338
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 53","Les Éboulements",5,14,4,66,34,7,2,0,132,259
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 54","Baie-Saint-Paul",1,25,5,69,24,1,2,2,129,379
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 55","Baie-Saint-Paul",0,25,12,90,43,0,0,3,173,401
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 56","Baie-Saint-Paul",0,27,10,81,44,2,0,0,164,429
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 57","Baie-Saint-Paul",0,14,8,75,40,4,1,2,144,397
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 58","Baie-Saint-Paul",1,27,10,86,34,6,0,3,167,401
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 59A","Saint-Bernard-sur-Mer",0,42,5,67,26,1,1,0,142,370
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 59B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17B,,,,,,,,,14
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 60","Cap-à-la-Branche",2,25,4,50,22,3,0,2,108,306
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 61","Pointe-des-Roches",6,23,5,54,23,1,0,1,113,315
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 62A","Baie-Saint-Paul",0,10,8,58,23,0,0,1,100,368
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 62B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,67
24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix/Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix"," 63","Baie-Saint-Paul",2,15,4,73,28,2,0,0,124,363
