Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Jasmine Calix,Dean Gibson,Rebecca Malo,Cody Payant,Glenn Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 127","Delisle",170,23,2,5,3,10,1,214,471
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 128","Delisle",104,26,3,7,2,4,0,146,354
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 129","Dixon",165,21,3,5,2,0,0,196,297
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 130","Humboldt",148,26,4,11,2,1,1,193,438
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 131","Humboldt",136,27,3,12,0,0,1,179,411
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 132","Humboldt",183,25,3,9,1,3,1,225,456
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 133","Dixon",193,18,4,7,4,4,1,231,483
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 134","Herschel",113,4,5,2,1,3,0,128,262
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 135","Humboldt",231,37,6,17,4,2,1,298,584
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 136","Humboldt",203,31,3,17,2,0,6,262,488
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 137","Humboldt",233,24,4,12,1,1,0,275,484
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 138","Humboldt",263,41,3,21,9,2,0,339,676
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 139","Muenster",176,20,5,12,2,0,1,216,457
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 140","Humboldt",169,30,5,15,0,1,3,223,457
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 141","St. Gregor",128,12,2,1,4,0,1,148,194
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 142","Englefeld",181,21,1,7,2,0,0,212,271
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 143","Harris",171,34,6,5,3,7,0,226,377
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 144","Pike Lake",119,22,5,10,2,1,0,159,248
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 145","Pike Lake",260,75,15,15,5,7,0,377,572
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 146","Donovan",135,13,4,2,1,1,0,156,259
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 147","Marriott",110,11,0,2,3,1,1,128,270
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 148","Rosetown",136,12,0,6,1,1,0,156,331
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 149","Rosetown",149,15,1,6,2,3,1,177,311
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 150","Rosetown",123,13,1,5,5,1,1,149,317
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 151","Rosetown",179,11,5,9,0,3,0,207,409
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 152","Carlton",101,16,2,6,1,2,2,130,325
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 153","McGee",149,7,3,3,0,0,0,162,345
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 154","Sovereign",131,12,2,2,3,0,0,150,331
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 155","Milden",151,12,3,12,10,2,0,190,333
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 156","Conquest",150,26,6,9,4,1,0,196,300
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 157","Dinsmore",143,12,1,4,2,1,0,163,348
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 158","Macrorie",119,8,5,12,8,0,0,152,255
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 500","Mobile poll/Bureau itinérant",5,4,1,0,1,0,0,11,18
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 501","Mobile poll/Bureau itinérant",57,7,1,11,0,1,4,81,94
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 502","Mobile poll/Bureau itinérant",22,7,2,6,1,0,0,38,62
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 503","Mobile poll/Bureau itinérant",45,9,2,7,0,3,0,66,46
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 504A","Mobile poll/Bureau itinérant",79,13,2,18,0,1,4,117,101
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,42
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 505","Mobile poll/Bureau itinérant",44,7,3,14,5,1,1,75,49
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 506","Mobile poll/Bureau itinérant",38,0,1,2,2,0,2,45,87
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 600","Blaine Lake",325,26,9,22,4,1,0,387,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 601","Rosthern",505,83,24,36,18,0,8,674,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 602","Wakaw",298,41,7,16,3,1,0,366,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 603","Middle Lake",273,15,5,6,3,0,0,302,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 604","Humboldt",1016,125,18,60,17,12,14,1262,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 605","Aberdeen",283,49,8,25,7,4,0,376,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 606","Warman",1041,123,5,35,16,7,3,1230,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 607","Warman",1123,136,17,52,13,7,0,1348,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 608","Martensville",865,115,16,46,21,2,2,1067,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 609","Martensville",857,127,21,45,25,3,2,1080,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 610","Dalmeny",602,74,12,31,13,2,2,736,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 611","Hafford",196,30,7,11,4,3,0,251,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 612","Biggar",588,87,19,23,8,12,4,741,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 613","Saskatoon-District",374,76,20,21,14,2,1,508,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 614","Delisle",577,83,15,21,15,18,3,732,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 615","Rosetown",480,35,4,13,5,9,3,549,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 616","Dinsmore",123,9,7,11,5,0,0,155,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,Group 1/Groupe 1, 21,11,4,26,1,1,7,71,77
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,Group 2/Groupe 2, 1369,190,45,82,39,14,43,1782,
