Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Taylor Bachrach,Dave Birdi,Jody Craven,Danny Nunes,Claire Rattée,Merv Ritchie,Mike Sawyer,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 606","Bulkley-Nechako A",220,60,22,1,258,0,65,50,3,679,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 607","Smithers",273,61,32,1,258,0,43,38,4,710,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 608","Fort St. James",118,98,11,0,198,0,30,22,3,480,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 609","Fraser Lake",103,46,15,2,194,2,24,9,1,396,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 610","Burns Lake",113,60,16,0,376,1,31,19,2,618,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 611","Houston",88,54,17,1,287,1,19,45,0,512,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 612","Telkwa",206,39,10,0,276,1,45,51,1,629,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Terrace",193,77,28,4,217,3,36,11,2,571,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Terrace",293,108,23,1,244,3,39,17,8,736,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Terrace",264,92,21,2,230,4,30,12,3,658,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Kitimat",169,71,15,1,169,1,13,10,6,455,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Kitimat",145,37,9,1,164,1,17,6,5,385,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 618","Prince Rupert",230,58,4,1,101,1,43,10,0,448,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 619","Prince Rupert",209,69,6,1,99,2,30,9,1,426,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 620","Masset",67,15,6,1,41,0,44,0,1,175,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 621","Queen Charlotte",125,15,2,0,17,1,67,2,0,229,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 622","Prince Rupert",166,49,5,0,94,3,34,2,1,354,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 623","Bella Bella",60,5,0,1,0,1,5,0,0,72,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 624","Hagensborg",80,15,5,0,40,3,18,2,1,164,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1, 34,35,0,0,3,0,8,3,7,90,105
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2, 710,163,39,4,449,4,143,28,20,1560,
