Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 121","Québec",4,1,19,27,71,27,126,3,278,502
24044,"Louis-Hébert/Louis-Hébert"," 122","Québec",4,0,8,23,58,28,77,4,202,412
24044,"Louis-Hébert/Louis-Hébert"," 123","Québec",5,2,11,36,81,18,134,2,289,506
24044,"Louis-Hébert/Louis-Hébert"," 124","Québec",2,2,9,18,27,20,57,2,137,366
24044,"Louis-Hébert/Louis-Hébert"," 125","Québec",0,0,15,41,49,12,115,5,237,442
24044,"Louis-Hébert/Louis-Hébert"," 126","Québec",0,0,0,16,30,10,55,1,112,288
24044,"Louis-Hébert/Louis-Hébert"," 127","Québec",4,2,6,38,48,12,75,4,189,464
24044,"Louis-Hébert/Louis-Hébert"," 128","Québec",4,0,6,83,48,8,32,1,182,442
24044,"Louis-Hébert/Louis-Hébert"," 129","Québec",4,1,11,49,41,19,85,5,215,457
24044,"Louis-Hébert/Louis-Hébert"," 130","Québec",4,0,5,57,66,14,66,0,212,417
24044,"Louis-Hébert/Louis-Hébert"," 131","Québec",4,0,8,56,50,12,49,3,182,355
24044,"Louis-Hébert/Louis-Hébert"," 132","Québec",3,3,7,53,55,24,70,4,219,428
24044,"Louis-Hébert/Louis-Hébert"," 133","Québec",10,0,4,73,67,15,61,1,231,458
24044,"Louis-Hébert/Louis-Hébert"," 134","Québec",4,1,9,61,55,17,61,2,210,473
24044,"Louis-Hébert/Louis-Hébert"," 135","Québec",5,1,5,17,52,6,69,0,155,391
24044,"Louis-Hébert/Louis-Hébert"," 136","Québec",5,1,3,19,39,9,53,0,129,409
24044,"Louis-Hébert/Louis-Hébert"," 137","Québec",3,0,4,25,50,7,68,3,160,524
24044,"Louis-Hébert/Louis-Hébert"," 138","Québec",1,1,4,19,54,19,92,2,192,408
