Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Conner Borlé,Earl Dreeshen,Logan Garbanewski,Paul Mitchell,Gary Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 38","Red Deer",2,133,23,5,20,0,183,354
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 39","Red Deer",6,141,13,5,21,0,186,362
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 40","Red Deer",9,136,15,5,12,3,180,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 41","Red Deer",8,169,20,3,18,0,218,399
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 42","Red Deer",5,188,22,7,17,0,239,487
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 43","Red Deer",9,166,25,7,15,0,222,399
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 44","Red Deer",3,160,22,4,18,1,208,373
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 45","Red Deer",7,143,15,13,17,0,195,333
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 46","Red Deer",11,171,33,11,20,0,246,427
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 47","Red Deer",11,158,16,1,19,0,205,376
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 48","Red Deer",6,110,23,6,15,1,161,331
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 49","Red Deer",3,45,17,2,8,0,75,148
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 50","Red Deer",8,125,32,11,30,0,206,423
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 51","Red Deer",19,163,41,13,31,2,269,445
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 52","Red Deer",11,187,26,12,21,2,259,428
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 53","Red Deer",3,189,23,5,20,0,240,425
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 54","Red Deer",7,158,28,9,18,1,221,423
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 55","Red Deer",5,159,21,0,20,0,205,388
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 56","Red Deer",11,154,31,10,24,0,230,432
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 57","Red Deer",11,179,30,3,24,0,247,410
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 58","Red Deer",6,168,17,6,22,2,221,409
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 59","Red Deer",15,154,15,4,17,2,207,359
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 60","Red Deer",6,158,15,2,18,1,200,355
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 61","Red Deer",10,142,20,6,8,0,186,348
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 62","Red Deer",6,145,18,4,14,2,189,354
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 63","Red Deer",5,191,15,4,16,0,231,448
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 64","Red Deer",10,164,19,8,14,0,215,396
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 65","Red Deer",9,188,16,10,24,1,248,532
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 66","Red Deer",4,86,31,6,14,2,143,496
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 67","Red Deer",6,115,30,17,14,2,184,435
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 68","Red Deer",10,136,30,13,25,1,215,387
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 69","Red Deer",7,158,28,10,21,1,225,412
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 70","Red Deer",5,186,25,6,23,0,245,483
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 71","Red Deer",5,166,24,3,34,0,232,428
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 72","Red Deer",6,163,30,2,22,0,223,370
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 73","Red Deer",13,146,27,10,21,0,217,427
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 74","Red Deer",9,138,27,11,5,0,190,364
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 75","Red Deer",2,193,32,2,16,1,246,427
