Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gaël Chantrel,Claude Dufour,Richard Evanko,Marie-Hélène Gaudreau,David Graham,Serge Grégoire,Michel Leclerc,Ludovic Schneider,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 210","Weir",7,9,0,82,96,18,2,2,2,218,394
24038,"Laurentides--Labelle/Laurentides--Labelle"," 211","Saint-Sauveur",10,7,2,100,72,14,1,0,0,206,582
24038,"Laurentides--Labelle/Laurentides--Labelle"," 212","Saint-Sauveur",7,14,5,87,82,16,0,2,0,213,527
24038,"Laurentides--Labelle/Laurentides--Labelle"," 213","Saint-Sauveur",10,21,1,114,64,14,3,1,5,233,587
24038,"Laurentides--Labelle/Laurentides--Labelle"," 214","Saint-Sauveur",6,19,1,85,83,22,0,1,3,220,536
24038,"Laurentides--Labelle/Laurentides--Labelle"," 215","Saint-Sauveur",8,19,0,88,83,22,2,1,6,229,538
24038,"Laurentides--Labelle/Laurentides--Labelle"," 216","Saint-Sauveur",6,10,3,89,61,20,0,0,2,191,463
24038,"Laurentides--Labelle/Laurentides--Labelle"," 217","Saint-Sauveur",12,17,3,81,76,10,2,1,2,204,545
24038,"Laurentides--Labelle/Laurentides--Labelle"," 218","Saint-Sauveur",6,8,0,74,82,6,2,0,2,180,530
24038,"Laurentides--Labelle/Laurentides--Labelle"," 219","Sainte-Anne-des-Lacs",5,8,3,69,67,15,1,1,1,170,374
24038,"Laurentides--Labelle/Laurentides--Labelle"," 220","Sainte-Anne-des-Lacs",11,8,2,56,52,8,0,2,1,140,328
24038,"Laurentides--Labelle/Laurentides--Labelle"," 221","Sainte-Anne-des-Lacs",10,10,1,75,42,9,3,0,1,151,356
24038,"Laurentides--Labelle/Laurentides--Labelle"," 222","Sainte-Anne-des-Lacs",14,20,2,83,59,5,0,1,1,185,417
24038,"Laurentides--Labelle/Laurentides--Labelle"," 223","Sainte-Anne-des-Lacs",11,8,0,86,72,14,0,0,2,193,384
24038,"Laurentides--Labelle/Laurentides--Labelle"," 224","Sainte-Anne-des-Lacs",19,9,0,89,41,9,0,1,1,169,404
24038,"Laurentides--Labelle/Laurentides--Labelle"," 225","Sainte-Anne-des-Lacs",14,21,5,74,50,16,2,2,1,185,458
24038,"Laurentides--Labelle/Laurentides--Labelle"," 226","Sainte-Anne-des-Lacs",18,13,1,85,41,9,0,0,2,169,408
24038,"Laurentides--Labelle/Laurentides--Labelle"," 227","Notre-Dame-du-Laus",4,4,0,51,33,14,0,0,1,107,292
24038,"Laurentides--Labelle/Laurentides--Labelle"," 228","Notre-Dame-du-Laus",3,1,0,49,38,18,1,0,3,113,391
24038,"Laurentides--Labelle/Laurentides--Labelle"," 229","Notre-Dame-du-Laus",2,1,0,48,41,22,0,1,2,117,372
24038,"Laurentides--Labelle/Laurentides--Labelle"," 230","Notre-Dame-du-Laus",0,6,0,41,61,18,1,0,0,127,330
24038,"Laurentides--Labelle/Laurentides--Labelle"," 500","Mobile poll/Bureau itinérant",2,4,0,17,19,5,1,0,1,49,82
24038,"Laurentides--Labelle/Laurentides--Labelle"," 501A","Mont-Laurier",Merged with No./Fusionné avec le n°23,,,,,,,,,,10
24038,"Laurentides--Labelle/Laurentides--Labelle"," 501B","Mobile poll/Bureau itinérant",2,6,2,67,78,12,2,2,8,179,163
24038,"Laurentides--Labelle/Laurentides--Labelle"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,,84
24038,"Laurentides--Labelle/Laurentides--Labelle"," 502B","Mont-Laurier",Merged with No./Fusionné avec le n°27,,,,,,,,,,9
24038,"Laurentides--Labelle/Laurentides--Labelle"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,,,125
24038,"Laurentides--Labelle/Laurentides--Labelle"," 504","Mobile poll/Bureau itinérant",1,5,2,36,34,14,1,0,0,93,79
24038,"Laurentides--Labelle/Laurentides--Labelle"," 505A","Mobile poll/Bureau itinérant",2,1,0,20,53,5,0,0,9,90,39
24038,"Laurentides--Labelle/Laurentides--Labelle"," 505B","Saint-Jovite",Merged with No./Fusionné avec le n°134,,,,,,,,,,32
24038,"Laurentides--Labelle/Laurentides--Labelle"," 506A","Mobile poll/Bureau itinérant",1,0,0,8,13,0,0,0,1,23,70
24038,"Laurentides--Labelle/Laurentides--Labelle"," 506B","Labelle",Merged with No./Fusionné avec le n°86,,,,,,,,,,33
24038,"Laurentides--Labelle/Laurentides--Labelle"," 507","Mobile poll/Bureau itinérant",3,2,1,34,47,9,1,1,1,99,155
24038,"Laurentides--Labelle/Laurentides--Labelle"," 508A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°101B,,,,,,,,,,95
24038,"Laurentides--Labelle/Laurentides--Labelle"," 508B","Mobile poll/Bureau itinérant",4,3,0,40,42,9,3,0,6,107,64
24038,"Laurentides--Labelle/Laurentides--Labelle"," 509A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508B,,,,,,,,,,111
24038,"Laurentides--Labelle/Laurentides--Labelle"," 509B","Sainte-Agathe-des-Monts",Merged with No./Fusionné avec le n°122,,,,,,,,,,9
24038,"Laurentides--Labelle/Laurentides--Labelle"," 510A","Mobile poll/Bureau itinérant",2,2,0,11,20,2,1,0,1,39,70
24038,"Laurentides--Labelle/Laurentides--Labelle"," 510B","Sainte-Adèle",Merged with No./Fusionné avec le n°174,,,,,,,,,,7
24038,"Laurentides--Labelle/Laurentides--Labelle"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,,93
24038,"Laurentides--Labelle/Laurentides--Labelle"," 512","Mobile poll/Bureau itinérant",2,0,2,14,38,3,0,1,3,63,157
24038,"Laurentides--Labelle/Laurentides--Labelle"," 513A","Mobile poll/Bureau itinérant",2,2,1,44,115,8,0,1,10,183,260
24038,"Laurentides--Labelle/Laurentides--Labelle"," 513B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513A,,,,,,,,,,17
24038,"Laurentides--Labelle/Laurentides--Labelle"," 513C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513A,,,,,,,,,,17
24038,"Laurentides--Labelle/Laurentides--Labelle"," 600","Mont-Saint-Michel",10,27,1,113,47,18,0,0,3,219,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 601","Rivière-Rouge",24,34,8,415,244,76,0,2,7,810,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 602","Beaux-Rivages",14,19,4,305,188,68,0,2,5,605,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 603","Ferme-Neuve",6,84,2,195,140,41,1,4,11,484,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 604","Mont-Laurier",9,30,4,182,115,46,1,1,4,392,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 605","Mont-Laurier",28,39,1,325,181,53,2,0,12,641,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 606","Mont-Laurier",10,41,5,293,189,70,3,2,8,621,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 607","Mont-Laurier",15,46,1,279,206,45,1,1,10,604,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 608","Lac-du-Cerf",3,11,0,113,85,21,0,1,2,236,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 609","Notre-Dame-du-Laus",10,18,5,198,166,79,5,1,12,494,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 610","Rivière-Rouge",22,31,4,327,240,56,1,3,12,696,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 611","Labelle",19,21,3,305,199,52,1,2,12,614,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 612","Mont-Tremblant",40,30,5,223,309,65,1,0,7,680,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 613","Mont-Tremblant",33,30,2,299,270,53,1,1,10,699,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 614","Mont-Tremblant",34,26,4,332,266,65,1,1,10,739,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 615","Saint-Faustin",27,32,7,278,184,52,1,0,8,589,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 616","Huberdeau",19,15,2,179,209,33,1,2,16,476,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 617","Sainte-Agathe-des-Monts",33,58,3,339,276,67,4,0,12,792,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 618","Sainte-Agathe-des-Monts",27,39,15,413,280,69,3,2,21,869,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 619","Sainte-Agathe-des-Monts",29,42,6,376,288,61,2,7,13,824,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 620","Val-Morin",30,35,2,272,206,30,1,1,6,583,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 621","Val-David",44,24,4,236,173,28,1,1,6,517,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 622","Val-David",30,25,3,220,146,19,1,1,4,449,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 623","Lantier",18,33,4,198,139,25,0,1,7,425,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 624","Sainte-Marguerite-du-Lac-Masson",26,36,1,366,268,48,0,3,7,755,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 625","Sainte-Adèle",25,36,11,414,279,60,1,3,6,835,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 626","Sainte-Adèle",39,40,5,399,266,51,2,2,10,814,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 627","Sainte-Adèle",30,40,6,336,250,56,1,1,4,724,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 628","Sainte-Adèle",25,29,5,312,208,49,1,2,8,639,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 629","Piedmont",17,18,0,172,169,38,0,0,7,421,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 630","Saint-Sauveur",24,24,3,290,318,54,4,2,5,724,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 631","Saint-Sauveur",29,27,1,269,188,48,2,1,3,568,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 632","Saint-Sauveur",26,33,4,229,232,59,3,0,3,589,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 633","Saint-Sauveur",15,27,5,417,325,54,4,4,11,862,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 634","Piedmont",19,8,2,215,160,38,1,0,2,445,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 635","Sainte-Anne-des-Lacs",15,25,2,239,140,36,1,0,3,461,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 636","Sainte-Anne-des-Lacs",28,32,6,229,184,71,0,0,6,556,
24038,"Laurentides--Labelle/Laurentides--Labelle",,Group 1/Groupe 1, 5,6,1,9,67,4,0,0,8,100,115
24038,"Laurentides--Labelle/Laurentides--Labelle",,Group 2/Groupe 2, 140,140,15,827,799,155,5,8,38,2127,
