Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raquel Dancho,Martin Deck,Eduard Hiebert,Spencer Katerynuk,Evan Krosney,MaryAnn Mihychuk,Rylan Reed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 609","Winnipeg",80,3,0,3,47,73,6,0,212,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 610","Winnipeg",335,5,1,8,141,271,28,2,791,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 611","Winnipeg",142,2,1,0,85,113,18,0,361,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 612","Winnipeg",130,5,1,2,93,92,9,1,333,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 613","Winnipeg",134,4,1,5,103,106,15,1,369,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 614","Winnipeg",126,1,1,6,116,91,16,1,358,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 615","Winnipeg",194,6,1,5,110,140,18,3,477,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 616","Winnipeg",149,7,0,1,60,78,8,3,306,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 617","Winnipeg",134,4,0,0,29,61,6,0,234,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 618","Winnipeg",275,3,1,3,78,145,28,4,537,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 619","Winnipeg",337,6,1,2,78,128,24,1,577,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 620","Winnipeg",146,4,1,0,66,80,11,0,308,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 621","Winnipeg",131,5,1,5,67,81,17,0,307,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 622","Winnipeg",252,0,1,3,72,135,14,2,479,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 623","Winnipeg",292,2,1,5,67,142,18,2,529,
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 624","Winnipeg",388,6,2,2,72,173,17,2,662,
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 1/Groupe 1, 18,4,0,0,27,55,8,6,118,126
46006,"Kildonan--St. Paul/Kildonan--St. Paul",,Group 2/Groupe 2, 581,17,6,18,284,446,62,40,1454,
