Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Deschênes,Mike Duggan,Greg Fergus,Sébastien Grenier,Josée Poirier Defoy,Joanie Riopel,Rowen Tanguay,Nicolas Thibodeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 90","Gatineau",0,4,50,2,14,3,3,24,2,102,322
24030,"Hull--Aylmer/Hull--Aylmer"," 91","Gatineau",3,11,70,1,17,31,1,29,3,166,372
24030,"Hull--Aylmer/Hull--Aylmer"," 92","Gatineau",1,18,74,2,14,21,1,22,0,153,432
24030,"Hull--Aylmer/Hull--Aylmer"," 93","Gatineau",0,5,61,0,0,13,1,7,2,89,324
24030,"Hull--Aylmer/Hull--Aylmer"," 94","Gatineau",0,17,79,2,10,23,0,25,0,156,365
24030,"Hull--Aylmer/Hull--Aylmer"," 95","Gatineau",2,17,91,2,15,25,2,37,0,191,369
24030,"Hull--Aylmer/Hull--Aylmer"," 96","Gatineau",0,17,88,0,6,23,0,39,3,176,470
24030,"Hull--Aylmer/Hull--Aylmer"," 97","Gatineau",0,17,108,0,20,32,4,36,2,219,425
24030,"Hull--Aylmer/Hull--Aylmer"," 98","Gatineau",0,15,123,0,19,28,1,33,1,220,548
24030,"Hull--Aylmer/Hull--Aylmer"," 99","Gatineau",1,25,115,0,18,35,5,46,3,248,566
24030,"Hull--Aylmer/Hull--Aylmer"," 100","Gatineau",0,11,129,1,12,17,2,23,2,197,360
24030,"Hull--Aylmer/Hull--Aylmer"," 101","Gatineau",0,12,143,0,2,37,2,13,1,210,349
24030,"Hull--Aylmer/Hull--Aylmer"," 102","Gatineau",0,4,60,0,8,21,0,18,1,112,297
24030,"Hull--Aylmer/Hull--Aylmer"," 103","Gatineau",0,18,85,0,10,18,2,34,0,167,420
24030,"Hull--Aylmer/Hull--Aylmer"," 104","Gatineau",0,19,106,0,18,29,3,24,2,201,436
24030,"Hull--Aylmer/Hull--Aylmer"," 105","Gatineau",0,5,103,5,18,19,2,39,2,193,454
24030,"Hull--Aylmer/Hull--Aylmer"," 106","Gatineau",0,3,83,0,14,17,3,42,2,164,437
