Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Peter Forint,Eileen Higdon,Cyma Musarat,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 24","Uxbridge",3,17,26,58,61,1,166,325
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 25","Uxbridge",2,17,18,63,69,0,169,319
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 26","Uxbridge",1,15,18,70,63,1,168,313
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 27","Uxbridge",5,24,25,56,72,0,182,360
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 28","Uxbridge",5,14,36,70,79,0,204,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 29","Uxbridge",4,17,29,106,63,3,222,437
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 30","Uxbridge",3,7,14,53,51,2,130,240
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 31","Uxbridge",4,20,13,92,64,0,193,354
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 32","Uxbridge",2,17,16,89,40,1,165,341
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 33A","Uxbridge",2,17,17,53,48,0,137,319
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 33B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°39B,,,,,,,43
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 34","Uxbridge",7,21,25,62,76,1,192,381
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 35","Uxbridge",3,21,16,70,108,3,221,400
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 36","Uxbridge",3,17,19,50,50,1,140,245
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 37","Uxbridge",6,6,12,70,66,2,162,352
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 38","Uxbridge",2,14,20,43,68,1,148,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 39A","Uxbridge",1,9,8,52,54,1,125,238
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 39B","Mobile poll/Bureau itinérant",4,15,18,27,56,0,120,162
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 40","Uxbridge",4,25,18,79,59,2,187,373
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 41","Uxbridge",0,24,24,92,95,0,235,473
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 42","Uxbridge",3,7,8,66,27,3,114,259
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 43","Uxbridge",0,10,11,64,36,1,122,239
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 44","Uxbridge",0,20,10,79,63,1,173,358
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 45","Uxbridge",6,6,19,75,78,2,186,430
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 46","Uxbridge",6,16,16,55,43,0,136,295
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 47","Uxbridge",7,24,15,98,54,0,198,476
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 48","Uxbridge",2,13,8,97,57,3,180,408
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 49","Pickering",11,33,19,95,118,0,276,428
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 50","Pickering",2,21,19,115,100,0,257,371
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 51","Pickering",5,19,21,87,81,0,213,391
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 52","Pickering",1,20,25,81,105,1,233,398
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 53","Pickering",1,11,37,105,84,0,238,481
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 54","Pickering",2,26,17,85,113,1,244,438
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 55","Pickering",4,21,15,56,102,1,199,346
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 56A","Pickering",0,0,15,13,64,0,92,274
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 56B","Pickering",1,3,19,24,65,1,113,299
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 57","Pickering",2,6,26,48,123,0,205,524
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 58A","Pickering",2,4,22,31,103,0,162,371
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 58B","Pickering",3,5,19,37,89,0,153,401
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 58C","Pickering",1,1,17,15,94,2,130,324
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 59A","Pickering",0,3,14,82,85,1,185,298
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 59B","Pickering",1,9,15,53,81,1,160,266
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60A","Pickering",0,5,15,33,93,0,146,350
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60B","Pickering",1,4,15,26,97,2,145,323
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60C","Pickering",0,4,23,28,63,0,118,273
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 60D","Pickering",0,0,27,26,79,0,132,297
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 61","Pickering",3,9,38,70,151,2,273,524
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 62","Pickering",3,9,29,62,131,1,235,506
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 63A","Pickering",3,3,22,24,82,0,134,291
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 63B","Pickering",6,6,12,29,85,0,138,281
