Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réal Batrhino,Frédérik Bernier,Martin Champoux,François Choquette,Jessica Ebacher,William Morales,Lucas Munger,Steeve Paquet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Drummond/Drummond"," 180","Saint-Germain-de-Grantham",3,4,115,39,28,48,1,2,2,242,397
24025,"Drummond/Drummond"," 181","Saint-Germain-de-Grantham",0,3,118,46,54,30,2,2,5,260,451
24025,"Drummond/Drummond"," 182","Saint-Germain-de-Grantham",0,5,77,26,32,35,0,0,5,180,318
24025,"Drummond/Drummond"," 183","Saint-Germain-de-Grantham",0,3,136,31,39,29,3,10,4,255,454
24025,"Drummond/Drummond"," 184","L'Avenir",0,3,120,26,42,32,1,3,1,228,386
24025,"Drummond/Drummond"," 185","L'Avenir",0,11,112,45,62,31,2,2,5,270,414
24025,"Drummond/Drummond"," 186","L'Avenir",0,7,91,21,34,23,0,1,0,177,292
24025,"Drummond/Drummond"," 187","Wickham",2,2,66,14,30,25,0,0,5,144,285
24025,"Drummond/Drummond"," 188","Wickham",2,9,110,31,21,22,0,4,3,202,390
24025,"Drummond/Drummond"," 189","Wickham",0,10,91,34,29,40,1,5,4,214,340
24025,"Drummond/Drummond"," 190","Wickham",1,8,94,20,18,31,1,1,6,180,313
24025,"Drummond/Drummond"," 191","Wickham",2,13,87,25,46,36,1,1,4,215,377
24025,"Drummond/Drummond"," 192","Wickham",1,6,74,23,28,24,0,1,1,158,290
24025,"Drummond/Drummond"," 193","Saint-Eugène",1,5,108,34,35,31,0,3,1,218,343
24025,"Drummond/Drummond"," 194","Saint-Eugène",2,4,102,10,20,22,0,2,3,165,269
24025,"Drummond/Drummond"," 195","Saint-Eugène",2,3,98,23,27,17,0,0,2,172,297
24025,"Drummond/Drummond"," 196","Lefebvre",2,7,84,22,39,35,0,5,3,197,345
24025,"Drummond/Drummond"," 197","Lefebvre",1,5,93,23,40,40,3,3,1,209,380
24025,"Drummond/Drummond"," 198","Durham-Sud",2,16,104,47,29,54,0,3,0,255,371
24025,"Drummond/Drummond"," 199","Durham-Sud",1,13,95,47,47,44,2,1,3,253,431
24025,"Drummond/Drummond"," 400","Drummondville",7,4,95,30,44,151,2,0,29,362,485
24025,"Drummond/Drummond"," 401","Drummondville",5,3,117,19,42,160,1,0,24,371,467
24025,"Drummond/Drummond"," 500","Mobile poll/Bureau itinérant",2,1,18,9,8,20,0,0,7,65,139
24025,"Drummond/Drummond"," 501","Mobile poll/Bureau itinérant",3,2,11,10,6,19,0,0,5,56,131
24025,"Drummond/Drummond"," 502","Mobile poll/Bureau itinérant",1,1,74,23,19,63,1,2,11,195,291
24025,"Drummond/Drummond"," 503","Mobile poll/Bureau itinérant",1,2,19,15,7,31,4,1,12,92,182
24025,"Drummond/Drummond"," 504","Mobile poll/Bureau itinérant",3,2,37,23,18,68,3,2,26,182,309
24025,"Drummond/Drummond"," 600","Notre-Dame-du-Bon-Conseil",1,19,220,76,133,73,1,4,14,541,
24025,"Drummond/Drummond"," 601","Saint-Cyrille-de-Wendover",2,23,172,53,64,38,0,6,4,362,
24025,"Drummond/Drummond"," 602","Drummondville",4,28,371,136,132,152,3,9,7,842,
24025,"Drummond/Drummond"," 603","Drummondville",1,25,280,98,128,116,0,5,4,657,
24025,"Drummond/Drummond"," 604","Saint-Pie-de-Guire",1,4,179,70,79,55,1,5,7,401,
24025,"Drummond/Drummond"," 605","Drummondville",4,26,421,178,164,144,4,13,8,962,
24025,"Drummond/Drummond"," 606","Drummondville",2,37,461,175,130,160,2,8,16,991,
24025,"Drummond/Drummond"," 607","Drummondville",1,26,523,168,219,263,5,3,21,1229,
24025,"Drummond/Drummond"," 608","Saint-Pie-de-Guire",2,26,475,124,142,222,2,6,18,1017,
24025,"Drummond/Drummond"," 609","Drummondville",1,18,257,88,77,131,2,2,12,588,
24025,"Drummond/Drummond"," 610","Drummondville",1,15,307,122,97,121,8,4,17,692,
24025,"Drummond/Drummond"," 611","Drummondville",4,14,305,127,116,142,5,12,20,745,
24025,"Drummond/Drummond"," 612","Drummondville",1,20,352,112,115,147,4,4,20,775,
24025,"Drummond/Drummond"," 613","Drummondville",1,10,172,65,63,90,1,5,14,421,
24025,"Drummond/Drummond"," 614","Drummondville",3,26,423,109,140,141,4,6,12,864,
24025,"Drummond/Drummond"," 615","Drummondville",3,23,262,98,117,91,3,4,10,611,
24025,"Drummond/Drummond"," 616","Drummondville",4,49,472,156,145,133,2,15,21,997,
24025,"Drummond/Drummond"," 617","Drummondville",3,9,332,115,129,125,0,6,11,730,
24025,"Drummond/Drummond"," 618","Wickham",3,14,176,79,52,65,0,2,4,395,
24025,"Drummond/Drummond",,Group 1/Groupe 1, 1,5,10,3,2,35,1,2,5,64,64
24025,"Drummond/Drummond",,Group 2/Groupe 2, 6,61,464,302,188,217,11,9,18,1276,
