Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Cook-Searson,Georgina Jolibois,Sarah Kraynick,Jerome Perrault,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102A","Leoville",21,27,1,0,129,3,181,79
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102B","Leoville",Merged with No./Fusionné avec le n°103B,,,,,,,55
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103A","Leoville",Merged with No./Fusionné avec le n°102A,,,,,,,266
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103B","Leoville",23,17,4,2,78,0,124,215
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104","Chitek Lake ",83,68,2,0,1,1,155,304
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 105","Ranger",6,10,2,0,40,0,58,88
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 106","Sturgeon Landing",10,4,0,0,0,0,14,50
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107A","Big River 118",119,60,3,0,3,1,186,357
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107B","Big River 118",129,73,2,0,3,0,207,431
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108A","Christopher Lake",32,26,4,2,74,0,138,99
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108B","Christopher Lake",Merged with No./Fusionné avec le n°109B,,,,,,,140
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108C","Christopher Lake",Merged with No./Fusionné avec le n°110C,,,,,,,141
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109A","Christopher Lake",Merged with No./Fusionné avec le n°108A,,,,,,,190
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109B","Christopher Lake",26,31,8,1,144,0,210,240
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109C","Christopher Lake",Merged with No./Fusionné avec le n°110C,,,,,,,208
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110A","Christopher Lake",Merged with No./Fusionné avec le n°108A,,,,,,,57
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110B","Christopher Lake",Merged with No./Fusionné avec le n°109B,,,,,,,62
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110C","Christopher Lake",34,42,12,3,111,0,202,54
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111A","Candle Lake",16,28,1,0,177,0,222,113
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111B","Candle Lake",Merged with No./Fusionné avec le n°112B,,,,,,,132
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112A","Candle Lake",Merged with No./Fusionné avec le n°111A,,,,,,,212
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112B","Candle Lake",18,29,3,1,192,0,243,211
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 113","Debden",12,14,6,3,185,0,220,434
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 114","Debden",13,11,2,3,76,0,105,308
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 115","Witchekan Lake 117",103,52,1,1,3,1,161,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116","Victoire",6,8,0,0,37,0,51,152
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117","Laventure",4,22,2,1,201,2,232,367
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 118","Spiritwood",10,13,4,2,99,0,128,283
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 119","Laventure",8,8,3,2,119,0,140,283
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120","Spiritwood",6,6,0,2,89,0,103,171
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121","Ahtahkakoop 104",196,58,7,2,2,3,268,913
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Deer Ridge",3,13,8,1,135,1,161,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Little Red River 106C",104,40,8,0,2,3,157,277
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124A","Shell Lake",11,36,4,5,158,0,214,136
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124B","Shell Lake",Merged with No./Fusionné avec le n°125B,,,,,,,99
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125A","Shell Lake",Merged with No./Fusionné avec le n°124A,,,,,,,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125B","Shell Lake",9,28,13,6,132,0,188,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Candle Lake",2,5,2,2,36,2,49,110
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127","Love",10,16,4,1,206,1,238,359
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Canwood",10,24,4,3,188,1,230,356
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129","Canwood",3,14,1,7,195,1,221,319
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130A","Sturgeon Lake 101",106,52,1,0,1,0,160,425
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130B","Sturgeon Lake 101",104,50,0,0,6,0,160,393
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131A","Cumberland House",192,45,1,0,8,2,248,313
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131B","Cumberland House",Merged with No./Fusionné avec le n°132B,,,,,,,262
