Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Danny Boudreault,Alexis Brunelle-Duceppe,Jean-Simon Fortin,Jocelyn Fradette,Julie Gagnon-Bond,Richard Hébert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 100","Alma",0,86,11,26,3,26,4,156,327
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 101","Alma",1,78,18,19,5,22,0,143,359
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 102","Alma",2,97,10,46,5,34,4,198,457
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 103","Alma",0,75,11,41,7,38,2,174,389
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 104","Alma",2,105,20,30,3,39,6,205,444
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 105","Alma",5,97,23,30,4,23,3,185,368
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 106","Alma",0,100,17,49,1,34,2,203,347
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 107","La Doré",1,59,9,31,2,45,4,151,301
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 108","La Doré",2,52,5,29,2,30,1,121,246
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 109","La Doré",1,56,7,49,4,35,0,152,297
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 110","La Doré",1,71,8,38,2,30,4,154,272
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 111","Alma",4,111,11,44,4,25,3,202,391
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 112","Alma",3,132,17,53,2,50,2,259,423
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 113","Alma",0,91,20,37,3,22,3,176,353
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 114","Alma",1,152,23,65,7,74,8,330,499
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 115","Alma",3,113,20,74,5,42,8,265,456
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 116","Alma",0,80,15,35,3,21,3,157,323
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 117","Alma",1,90,13,41,2,35,2,184,343
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 118","Alma",2,89,18,32,12,38,2,193,402
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 119","Alma",0,137,13,52,4,53,2,261,416
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 120","Alma",0,100,10,53,2,41,4,210,365
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 121","Alma",0,120,12,46,2,44,3,227,416
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 122","Alma",1,147,15,43,4,52,3,265,513
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 123","Alma",2,126,19,46,4,52,5,254,463
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 124","Alma",0,93,9,54,4,42,1,203,413
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 125","Alma",1,96,20,37,1,38,4,197,354
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 126","Alma",0,118,23,59,5,49,3,257,419
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 127","Alma",0,97,14,33,1,26,2,173,317
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 128","Alma",0,105,7,39,3,37,1,192,408
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 129","Alma",4,90,13,58,1,42,9,217,389
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 130","Alma",2,98,11,52,9,45,3,220,428
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 131","Alma",2,107,9,51,2,35,3,209,392
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 132","Alma",1,92,17,49,2,43,1,205,385
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 133","Alma",0,104,9,54,3,30,0,200,463
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 134","Alma",1,117,18,55,4,33,1,229,412
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 135","Saint-Félicien",3,64,8,40,6,44,0,165,413
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 136","Saint-Félicien",2,98,8,18,5,54,2,187,367
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 137","Saint-Félicien",0,76,14,25,6,42,1,164,358
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 138","Saint-Félicien",0,75,11,53,7,48,4,198,406
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 139","Mashteuiatsh",0,34,8,16,4,45,3,110,396
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 140","Mashteuiatsh",0,10,3,12,1,30,0,56,373
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 141","Mashteuiatsh",1,21,6,9,1,45,1,84,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 142","Mashteuiatsh",1,18,5,12,5,50,1,92,524
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 143","Saint-Félicien",2,63,6,20,1,43,1,136,400
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 144","Saint-Félicien",0,68,11,33,6,63,2,183,453
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 145","Saint-Félicien",2,73,7,45,2,47,7,183,448
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 146","Saint-Gédéon",4,145,12,56,7,64,6,294,448
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 147","Saint-Gédéon",1,98,9,49,9,37,4,207,339
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 148","Saint-Gédéon",4,99,8,55,4,30,5,205,325
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 149","Saint-Gédéon",2,89,12,55,7,24,7,196,350
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 150","Saint-Gédéon",3,70,3,27,5,25,2,135,262
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 151","Saint-Bruno",1,93,18,73,4,56,3,248,396
