Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julie Benoît,Gary Charles,Dana Chevalier,Ralston Coelho,Victoria de Martigny,Ann Francis,Milan Kona-Mancini,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 601","Montréal",115,13,86,0,7,129,34,560,8,952,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 602","Montréal",92,30,90,1,6,173,32,488,10,922,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 603","Kirkland",34,14,94,0,3,203,79,769,7,1203,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 604","Pointe-Claire",42,20,84,0,4,147,55,796,3,1151,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 605","Pointe-Claire",62,12,169,1,8,127,121,723,18,1241,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 606","Pointe-Claire",40,22,157,0,9,186,111,781,2,1308,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 607","Montréal",104,24,96,0,6,241,46,798,3,1318,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 608","Montréal",106,12,117,0,3,295,47,685,6,1271,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 609","Kirkland",55,6,123,0,3,204,55,795,9,1250,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 610","Kirkland",36,16,121,1,2,202,77,810,6,1271,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 611","Beaconsfield",43,21,128,1,4,170,99,744,2,1212,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 612","Pointe-Claire",42,11,66,1,3,98,67,394,6,688,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 613","Beaconsfield",55,12,108,0,6,210,122,642,5,1160,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 614","Beaconsfield",26,17,96,0,10,166,95,694,9,1113,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 615","Senneville--Sainte-Anne-de-Bellevue",122,10,113,1,7,120,96,478,8,955,
24036,"Lac-Saint-Louis/Lac-Saint-Louis"," 616","Baie-d'Urfé",34,8,96,0,2,136,48,482,4,810,
24036,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 1/Groupe 1, 3,2,30,0,1,15,18,109,12,190,302
24036,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 2/Groupe 2, 51,25,251,1,10,254,171,798,31,1592,
