Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Archer,Scott Armstrong,Jason Blanch,Larry Duchesne,Stephen J Garvey,Jody O'Blenis,Matthew V. Rushton,Lenore Zann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 85","Debert",6,76,27,43,0,0,2,100,0,254,429
12003,"Cumberland--Colchester/Cumberland--Colchester"," 86","Belmont",3,63,20,26,0,1,1,60,2,176,383
12003,"Cumberland--Colchester/Cumberland--Colchester"," 87","Belmont",3,60,27,38,1,0,1,58,1,189,388
12003,"Cumberland--Colchester/Cumberland--Colchester"," 88","Belmont",4,71,16,18,0,0,1,64,0,174,436
12003,"Cumberland--Colchester/Cumberland--Colchester"," 89","Glenholme",1,75,15,29,0,1,2,65,0,188,340
12003,"Cumberland--Colchester/Cumberland--Colchester"," 90","Masstown",2,46,13,23,0,1,0,38,2,125,261
12003,"Cumberland--Colchester/Cumberland--Colchester"," 91","Lower Debert",2,67,16,21,1,0,1,69,1,178,338
12003,"Cumberland--Colchester/Cumberland--Colchester"," 92","Colchester, Subd. B",1,49,13,25,0,0,1,70,1,160,381
12003,"Cumberland--Colchester/Cumberland--Colchester"," 93","Bible Hill",1,77,13,19,1,0,0,84,2,197,427
12003,"Cumberland--Colchester/Cumberland--Colchester"," 94","Bible Hill",2,46,10,12,0,1,2,52,1,126,273
12003,"Cumberland--Colchester/Cumberland--Colchester"," 95","Bible Hill",0,69,17,25,0,0,0,80,0,191,410
12003,"Cumberland--Colchester/Cumberland--Colchester"," 96","Bible Hill",1,45,12,15,0,0,1,54,0,128,296
12003,"Cumberland--Colchester/Cumberland--Colchester"," 97","Londonderry",0,87,15,21,1,1,1,75,1,202,385
12003,"Cumberland--Colchester/Cumberland--Colchester"," 98","Bible Hill",3,38,36,59,2,0,1,62,0,201,380
12003,"Cumberland--Colchester/Cumberland--Colchester"," 99","Valley",2,46,15,16,1,1,0,36,0,117,256
12003,"Cumberland--Colchester/Cumberland--Colchester"," 100","Greenfield",1,64,27,14,0,1,1,49,1,158,315
12003,"Cumberland--Colchester/Cumberland--Colchester"," 101","Salmon River",0,72,18,32,2,0,0,97,0,221,516
12003,"Cumberland--Colchester/Cumberland--Colchester"," 102","Salmon River",1,50,13,23,0,1,0,58,1,147,309
12003,"Cumberland--Colchester/Cumberland--Colchester"," 103","Salmon River",3,50,23,40,0,0,1,40,1,158,356
12003,"Cumberland--Colchester/Cumberland--Colchester"," 104","Salmon River",0,78,22,13,1,0,1,46,2,163,365
12003,"Cumberland--Colchester/Cumberland--Colchester"," 105","Salmon River",3,59,12,34,0,0,0,79,0,187,352
12003,"Cumberland--Colchester/Cumberland--Colchester"," 106","Salmon River",1,49,16,21,0,0,1,69,1,158,376
12003,"Cumberland--Colchester/Cumberland--Colchester"," 107","Athol",3,96,33,20,0,1,0,33,0,186,422
12003,"Cumberland--Colchester/Cumberland--Colchester"," 108","Springhill",4,37,19,19,2,0,1,38,1,121,296
12003,"Cumberland--Colchester/Cumberland--Colchester"," 109","Springhill",1,38,19,8,0,3,1,29,2,101,278
12003,"Cumberland--Colchester/Cumberland--Colchester"," 110","Springhill",0,44,22,9,0,0,1,31,0,107,274
12003,"Cumberland--Colchester/Cumberland--Colchester"," 111","Springhill",0,51,21,19,0,0,2,41,0,134,305
12003,"Cumberland--Colchester/Cumberland--Colchester"," 112","Springhill",4,54,12,10,0,0,0,31,1,112,272
12003,"Cumberland--Colchester/Cumberland--Colchester"," 113","Rodney",4,71,14,14,0,1,0,42,4,150,319
12003,"Cumberland--Colchester/Cumberland--Colchester"," 114","Springhill",3,39,18,17,2,1,1,46,1,128,318
12003,"Cumberland--Colchester/Cumberland--Colchester"," 115","Springhill",3,62,27,11,0,0,0,37,0,140,337
12003,"Cumberland--Colchester/Cumberland--Colchester"," 116","Springhill",2,61,23,12,0,1,1,26,0,126,328
12003,"Cumberland--Colchester/Cumberland--Colchester"," 117","Truro",2,63,23,28,0,0,0,77,6,199,487
12003,"Cumberland--Colchester/Cumberland--Colchester"," 118","Truro",4,31,13,30,1,0,0,79,2,160,409
12003,"Cumberland--Colchester/Cumberland--Colchester"," 119","Truro",2,19,12,32,0,1,1,46,2,115,306
12003,"Cumberland--Colchester/Cumberland--Colchester"," 120","Truro",1,47,18,33,0,1,0,46,2,148,364
12003,"Cumberland--Colchester/Cumberland--Colchester"," 121","Truro",0,21,22,23,0,0,0,49,0,115,347
12003,"Cumberland--Colchester/Cumberland--Colchester"," 122","Truro",0,57,16,43,3,1,2,77,2,201,460
12003,"Cumberland--Colchester/Cumberland--Colchester"," 123","Truro",5,43,21,53,3,0,1,111,1,238,524
12003,"Cumberland--Colchester/Cumberland--Colchester"," 124","Truro",1,44,20,40,0,1,0,78,0,184,436
12003,"Cumberland--Colchester/Cumberland--Colchester"," 125","Truro",0,50,21,34,1,0,0,99,1,206,407
12003,"Cumberland--Colchester/Cumberland--Colchester"," 126","Truro",1,39,29,38,0,0,1,99,3,210,419
12003,"Cumberland--Colchester/Cumberland--Colchester"," 127","Belmont",1,48,12,14,0,0,0,51,0,126,248
12003,"Cumberland--Colchester/Cumberland--Colchester"," 128","Central Onslow",4,39,13,19,0,0,2,54,0,131,323
12003,"Cumberland--Colchester/Cumberland--Colchester"," 129","Lower Onslow",2,35,20,22,0,0,1,66,0,146,304
12003,"Cumberland--Colchester/Cumberland--Colchester"," 130","Truro",4,37,13,18,0,0,0,56,1,129,400
12003,"Cumberland--Colchester/Cumberland--Colchester"," 131","Truro",0,54,14,22,0,0,1,76,3,170,445
12003,"Cumberland--Colchester/Cumberland--Colchester"," 132","Truro",0,51,15,22,0,0,0,77,1,166,417
12003,"Cumberland--Colchester/Cumberland--Colchester"," 133","Truro",0,45,11,18,0,0,0,86,2,162,443
12003,"Cumberland--Colchester/Cumberland--Colchester"," 134","Truro",0,38,26,24,0,0,1,68,3,160,417
12003,"Cumberland--Colchester/Cumberland--Colchester"," 135","Truro",0,56,15,31,1,0,0,89,2,194,438
12003,"Cumberland--Colchester/Cumberland--Colchester"," 136","Truro",2,37,14,28,0,0,1,88,1,171,370
12003,"Cumberland--Colchester/Cumberland--Colchester"," 137","Truro",9,35,20,33,0,1,0,60,0,158,406
12003,"Cumberland--Colchester/Cumberland--Colchester"," 138","Truro",3,56,19,21,0,0,2,66,3,170,429
12003,"Cumberland--Colchester/Cumberland--Colchester"," 139","Truro",0,58,18,30,0,0,0,93,1,200,460
12003,"Cumberland--Colchester/Cumberland--Colchester"," 140","Truro",1,50,12,14,1,0,0,85,0,163,336
12003,"Cumberland--Colchester/Cumberland--Colchester"," 141","Truro",2,20,10,19,1,0,0,29,0,81,232
12003,"Cumberland--Colchester/Cumberland--Colchester"," 142","Truro",3,42,11,21,0,0,1,66,0,144,364
12003,"Cumberland--Colchester/Cumberland--Colchester"," 143","Truro",4,54,17,29,0,0,0,90,1,195,498
12003,"Cumberland--Colchester/Cumberland--Colchester"," 144","Athol",6,100,24,16,1,2,1,65,2,217,375
12003,"Cumberland--Colchester/Cumberland--Colchester"," 145","River Hebert",1,64,19,16,0,0,0,41,1,142,233
