Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Everaert,Marilyn Gladu,Adam Kilner,Thomas Laird,Carmen Lemieux,Peter Robert Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 77","Sarnia",4,121,37,5,32,6,1,206,468
35091,"Sarnia--Lambton/Sarnia--Lambton"," 78","Sarnia",0,45,7,0,14,0,1,67,138
35091,"Sarnia--Lambton/Sarnia--Lambton"," 79","Sarnia",10,144,47,1,57,6,2,267,472
35091,"Sarnia--Lambton/Sarnia--Lambton"," 80","Sarnia",2,55,49,1,35,8,0,150,399
35091,"Sarnia--Lambton/Sarnia--Lambton"," 81","Sarnia",4,26,23,3,22,1,3,82,181
35091,"Sarnia--Lambton/Sarnia--Lambton"," 82","Sarnia",5,64,47,2,44,8,2,172,412
35091,"Sarnia--Lambton/Sarnia--Lambton"," 83","Point Edward",1,64,21,0,25,4,2,117,297
35091,"Sarnia--Lambton/Sarnia--Lambton"," 84","Sarnia",3,41,46,3,24,7,1,125,294
35091,"Sarnia--Lambton/Sarnia--Lambton"," 85","Sarnia",4,56,60,1,51,7,1,180,401
35091,"Sarnia--Lambton/Sarnia--Lambton"," 86","Sarnia",1,65,31,0,42,5,1,145,318
35091,"Sarnia--Lambton/Sarnia--Lambton"," 87","Sarnia",11,46,63,2,41,7,1,171,463
35091,"Sarnia--Lambton/Sarnia--Lambton"," 88","Sarnia",6,53,40,0,17,2,3,121,276
35091,"Sarnia--Lambton/Sarnia--Lambton"," 89","Sarnia",3,47,52,1,31,8,0,142,425
35091,"Sarnia--Lambton/Sarnia--Lambton"," 90","Sarnia",3,59,31,0,30,7,3,133,356
35091,"Sarnia--Lambton/Sarnia--Lambton"," 91","Sarnia",7,96,73,4,53,7,8,248,465
35091,"Sarnia--Lambton/Sarnia--Lambton"," 92","Sarnia",15,73,54,0,44,4,0,190,420
35091,"Sarnia--Lambton/Sarnia--Lambton"," 93","Sarnia",6,86,86,1,38,19,4,240,520
35091,"Sarnia--Lambton/Sarnia--Lambton"," 94","Sarnia",10,81,71,1,44,10,1,218,407
