Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George Canyon,Sean Fraser,Chris Frazer,Betsy MacDonald,Al Muir,Barry Randle,Michael Slowik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",10,47,0,3,1,2,0,1,64,80
12002,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",24,34,2,6,0,1,0,0,67,123
12002,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",18,29,1,4,2,4,0,3,61,86
12002,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",21,25,1,4,0,6,0,0,57,81
12002,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",33,35,4,4,2,4,3,2,87,195
12002,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",7,14,3,1,0,1,1,0,27,45
12002,"Central Nova/Nova-Centre"," 506","Mobile poll/Bureau itinérant",7,17,1,2,0,0,0,0,27,20
12002,"Central Nova/Nova-Centre"," 600","Beech Hill",192,447,4,107,8,66,1,0,825,
12002,"Central Nova/Nova-Centre"," 601","North Grant",96,214,3,61,3,34,0,10,421,
12002,"Central Nova/Nova-Centre"," 602","Antigonish",145,438,1,85,1,32,1,6,709,
12002,"Central Nova/Nova-Centre"," 603","Antigonish",0,0,0,2,0,4,0,0,6,
12002,"Central Nova/Nova-Centre"," 604","Beech Hill",230,416,3,88,8,44,0,8,797,
12002,"Central Nova/Nova-Centre"," 605","Thorburn",178,278,3,53,7,46,2,4,571,
12002,"Central Nova/Nova-Centre"," 606","Little Harbour",135,194,0,35,11,39,2,5,421,
12002,"Central Nova/Nova-Centre"," 607","Pictou",175,435,1,89,11,122,2,7,842,
12002,"Central Nova/Nova-Centre"," 608","John River",112,141,2,20,12,38,0,0,325,
12002,"Central Nova/Nova-Centre"," 609","Durham",168,287,0,73,10,86,3,10,637,
12002,"Central Nova/Nova-Centre"," 610","Trenton",173,259,3,77,14,51,2,9,588,
12002,"Central Nova/Nova-Centre"," 611","New Glasgow",227,496,1,74,11,59,1,13,882,
12002,"Central Nova/Nova-Centre"," 612","New Glasgow",176,363,1,73,8,43,3,16,683,
12002,"Central Nova/Nova-Centre"," 613","Stellarton",183,305,0,71,19,56,1,3,638,
12002,"Central Nova/Nova-Centre"," 614","Westville",137,180,1,66,10,23,0,7,424,
12002,"Central Nova/Nova-Centre"," 615","Westville",140,168,0,39,11,19,1,3,381,
12002,"Central Nova/Nova-Centre"," 616","Plymouth",194,228,1,47,15,35,1,1,522,
12002,"Central Nova/Nova-Centre"," 617","Sherbrooke",76,100,0,16,2,19,1,0,214,
12002,"Central Nova/Nova-Centre"," 618","Halifax",104,168,2,34,2,14,0,5,329,
12002,"Central Nova/Nova-Centre"," 619","Halifax",177,147,1,60,11,33,1,2,432,
12002,"Central Nova/Nova-Centre"," 620","Halifax",44,60,1,44,9,21,1,2,182,
12002,"Central Nova/Nova-Centre"," 621","Halifax",85,147,2,25,0,28,0,0,287,
12002,"Central Nova/Nova-Centre"," 622","Halifax",96,206,4,41,5,50,3,2,407,
12002,"Central Nova/Nova-Centre",,Group 1/Groupe 1, 26,74,0,15,2,8,0,4,129,131
12002,"Central Nova/Nova-Centre",,Group 2/Groupe 2, 512,822,3,154,22,159,4,26,1702,
