Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Barton,Kayley Kennedy,Stephen Kotze,Scott Reid,Satinka Schilling,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 217","Kingston",5,108,29,116,59,1,318,550
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 218","Kingston",8,103,20,72,39,4,246,401
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 219","Kingston",8,64,28,57,40,1,198,440
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 220","Kingston",7,89,8,70,39,1,214,462
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 221","Kingston",4,82,15,80,45,2,228,484
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 222","Kingston",2,69,21,59,38,1,190,403
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 223","Kingston",1,63,15,77,40,3,199,464
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 500A","Mobile poll/Bureau itinérant",2,5,5,32,9,2,55,94
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 500B","Mobile poll/Bureau itinérant",Results combined with No./Résultats combinés au n°500A,,,,,,,5
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 501","Mobile poll/Bureau itinérant",2,36,9,81,9,14,151,216
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 502","Mobile poll/Bureau itinérant",7,25,6,47,2,5,92,131
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 503","Mobile poll/Bureau itinérant",0,13,2,34,2,5,56,82
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 504","Mobile poll/Bureau itinérant",3,25,8,56,6,8,106,175
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 505A","Mobile poll/Bureau itinérant",2,15,4,41,7,3,72,115
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,14
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 506","Mobile poll/Bureau itinérant",4,23,10,34,8,4,83,151
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 507","Mobile poll/Bureau itinérant",1,9,5,23,10,1,49,127
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 600","Mississippi Mills",14,205,113,569,108,3,1012,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 601","Mississippi Mills",19,322,163,795,173,6,1478,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 602","Rideau",25,248,120,648,154,7,1202,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 603","Rideau",26,262,111,763,176,10,1348,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 604","Montague",11,156,72,436,92,0,767,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 605","Smiths Falls",16,245,69,496,101,2,929,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 606","Rideau",9,225,86,691,109,4,1124,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 607","Lanark",12,96,74,405,58,0,645,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 608","Perth",25,201,147,615,133,6,1127,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 609","Narrows Locks",4,127,89,347,65,4,636,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 610","Perth",8,209,172,534,137,0,1060,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 611","Clyde Forks",5,65,155,294,48,4,571,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 612","Crow Lake",3,90,40,181,35,6,355,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 613","Crow Lake",12,175,77,230,57,5,556,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 614","Verona",17,195,54,370,105,4,745,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 615","Harrowsmith",15,233,90,245,94,4,681,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 616","Harrowsmith",15,229,97,261,131,4,737,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 617","Keelerville",11,137,33,182,57,2,422,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 618","Keelerville",6,180,62,217,81,2,548,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 619","Kingston",7,317,50,274,136,3,787,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,Group 1/Groupe 1, 3,88,34,93,27,17,262,192
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,Group 2/Groupe 2, 40,681,330,1035,234,52,2372,
