Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josh Eisses,Gudie Hutchings,Lucas Knill,Robert Miles,Holly Pike,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 111B","Corner Brook",27,50,3,0,38,2,120,327
10005,"Long Range Mountains/Long Range Mountains"," 112","Corner Brook",41,74,3,0,47,0,165,519
10005,"Long Range Mountains/Long Range Mountains"," 113","Corner Brook",29,70,8,1,47,0,155,357
10005,"Long Range Mountains/Long Range Mountains"," 114","York Harbour",54,89,12,2,27,0,184,312
10005,"Long Range Mountains/Long Range Mountains"," 115","Corner Brook",22,70,1,5,39,0,137,330
10005,"Long Range Mountains/Long Range Mountains"," 116","Corner Brook",24,28,1,4,31,0,88,275
10005,"Long Range Mountains/Long Range Mountains"," 117","Corner Brook",29,96,6,1,76,0,208,492
10005,"Long Range Mountains/Long Range Mountains"," 118","Corner Brook",53,97,7,1,66,1,225,462
10005,"Long Range Mountains/Long Range Mountains"," 119","Corner Brook",48,142,4,1,108,4,307,524
10005,"Long Range Mountains/Long Range Mountains"," 120","Corner Brook",54,102,5,0,64,0,225,485
10005,"Long Range Mountains/Long Range Mountains"," 121","Corner Brook",49,83,9,1,62,0,204,393
10005,"Long Range Mountains/Long Range Mountains"," 122","Corner Brook",41,59,3,2,38,1,144,363
10005,"Long Range Mountains/Long Range Mountains"," 123","Corner Brook",49,86,11,3,71,0,220,391
10005,"Long Range Mountains/Long Range Mountains"," 124","Corner Brook",43,95,7,2,54,0,201,433
10005,"Long Range Mountains/Long Range Mountains"," 125","Corner Brook",50,88,3,1,52,0,194,393
10005,"Long Range Mountains/Long Range Mountains"," 126","Corner Brook",32,85,9,0,55,1,182,401
10005,"Long Range Mountains/Long Range Mountains"," 127","Mount Moriah",50,45,2,3,32,3,135,267
10005,"Long Range Mountains/Long Range Mountains"," 128","Mount Moriah",46,73,5,0,53,1,178,345
10005,"Long Range Mountains/Long Range Mountains"," 129","Massey Drive",76,113,6,2,85,1,283,532
10005,"Long Range Mountains/Long Range Mountains"," 130","Massey Drive",48,110,2,0,60,3,223,421
10005,"Long Range Mountains/Long Range Mountains"," 131","Massey Drive",58,94,5,1,61,2,221,429
10005,"Long Range Mountains/Long Range Mountains"," 132","Gallants--Georges Lake",11,25,1,4,6,1,48,263
10005,"Long Range Mountains/Long Range Mountains"," 133","Stephenville Crossing",18,9,6,1,11,3,48,78
10005,"Long Range Mountains/Long Range Mountains"," 134","Stephenville Crossing",Merged with No./Fusionné avec le n°133,,,,,,,54
10005,"Long Range Mountains/Long Range Mountains"," 135","Stephenville Crossing",70,67,2,6,35,1,181,378
10005,"Long Range Mountains/Long Range Mountains"," 136","Stephenville Crossing",36,48,3,5,14,2,108,254
10005,"Long Range Mountains/Long Range Mountains"," 137","Stephenville Crossing",53,55,8,4,22,7,149,398
10005,"Long Range Mountains/Long Range Mountains"," 138","Stephenville Crossing",37,60,8,0,16,7,128,381
10005,"Long Range Mountains/Long Range Mountains"," 139","Black Duck Siding",6,21,3,2,9,0,41,39
10005,"Long Range Mountains/Long Range Mountains"," 140","Fox Island River--Point au Mal",30,28,6,3,15,1,83,106
10005,"Long Range Mountains/Long Range Mountains"," 141","Lourdes",15,30,3,0,8,0,56,78
10005,"Long Range Mountains/Long Range Mountains"," 142A","Lourdes",25,58,8,2,26,0,119,327
10005,"Long Range Mountains/Long Range Mountains"," 142B","Lourdes",43,44,7,3,18,0,115,332
10005,"Long Range Mountains/Long Range Mountains"," 143","Noels Pond--Cold Brook",74,50,7,5,18,7,161,282
10005,"Long Range Mountains/Long Range Mountains"," 144","Barachois Brook",17,24,2,0,9,2,54,85
10005,"Long Range Mountains/Long Range Mountains"," 145","Stephenville",36,83,8,3,42,5,177,432
10005,"Long Range Mountains/Long Range Mountains"," 146","Stephenville",56,65,6,2,32,1,162,407
10005,"Long Range Mountains/Long Range Mountains"," 147","Stephenville",43,70,14,2,25,1,155,401
10005,"Long Range Mountains/Long Range Mountains"," 148","Stephenville",37,81,6,1,34,4,163,356
10005,"Long Range Mountains/Long Range Mountains"," 149","Kippens",74,67,3,0,43,7,194,389
10005,"Long Range Mountains/Long Range Mountains"," 150","Kippens",69,65,5,5,31,0,175,395
10005,"Long Range Mountains/Long Range Mountains"," 151","Kippens",68,80,13,2,35,1,199,430
10005,"Long Range Mountains/Long Range Mountains"," 152","Kippens",61,66,4,2,30,1,164,399
10005,"Long Range Mountains/Long Range Mountains"," 153","Stephenville",36,55,4,0,21,0,116,336
10005,"Long Range Mountains/Long Range Mountains"," 154","Stephenville",65,75,8,2,35,3,188,440
10005,"Long Range Mountains/Long Range Mountains"," 155","Stephenville",35,78,9,0,28,5,155,404
10005,"Long Range Mountains/Long Range Mountains"," 156","Stephenville",44,92,10,1,45,1,193,419
