Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élisabeth Brière,Steve Côté,Pierre-Luc Dusseault,Claude Forgues,Edwin Moreno,Mathieu Morin,Hubert Richard,Dany Sévigny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Sherbrooke/Sherbrooke"," 65","Sherbrooke",42,0,43,56,1,1,0,24,2,169,427
24073,"Sherbrooke/Sherbrooke"," 66","Sherbrooke",35,0,45,61,1,4,0,16,3,165,443
24073,"Sherbrooke/Sherbrooke"," 67","Sherbrooke",22,0,44,26,2,9,0,11,2,116,453
24073,"Sherbrooke/Sherbrooke"," 68","Sherbrooke",29,2,42,41,3,3,1,24,1,146,400
24073,"Sherbrooke/Sherbrooke"," 69","Sherbrooke",39,0,36,32,0,6,2,18,3,136,374
24073,"Sherbrooke/Sherbrooke"," 70","Sherbrooke",38,2,45,54,0,11,0,24,1,175,376
24073,"Sherbrooke/Sherbrooke"," 71","Sherbrooke",55,0,56,67,0,7,2,22,4,213,413
24073,"Sherbrooke/Sherbrooke"," 72","Sherbrooke",41,2,22,43,0,4,1,13,2,128,360
24073,"Sherbrooke/Sherbrooke"," 73A","Sherbrooke",72,0,39,33,0,3,0,9,0,156,314
24073,"Sherbrooke/Sherbrooke"," 73B","Sherbrooke",44,1,24,41,1,1,0,18,0,130,300
24073,"Sherbrooke/Sherbrooke"," 74A","Sherbrooke",66,0,37,26,0,8,0,11,1,149,338
24073,"Sherbrooke/Sherbrooke"," 74B","Sherbrooke",74,0,22,38,0,0,0,15,1,150,308
24073,"Sherbrooke/Sherbrooke"," 75","Sherbrooke",77,1,44,52,2,9,0,20,3,208,427
24073,"Sherbrooke/Sherbrooke"," 76","Sherbrooke",73,1,40,49,2,10,0,20,4,199,492
24073,"Sherbrooke/Sherbrooke"," 77","Sherbrooke",83,0,45,59,1,3,0,15,4,210,497
24073,"Sherbrooke/Sherbrooke"," 78","Sherbrooke",77,2,85,54,2,6,0,8,3,237,515
24073,"Sherbrooke/Sherbrooke"," 79","Sherbrooke",77,1,37,52,0,7,2,18,0,194,468
24073,"Sherbrooke/Sherbrooke"," 80","Sherbrooke",73,0,51,44,1,6,1,18,4,198,491
24073,"Sherbrooke/Sherbrooke"," 81","Sherbrooke",58,0,57,57,3,10,0,17,3,205,474
24073,"Sherbrooke/Sherbrooke"," 82","Sherbrooke",48,1,40,71,0,3,0,23,1,187,445
24073,"Sherbrooke/Sherbrooke"," 83","Sherbrooke",79,0,51,24,0,9,0,17,0,180,382
24073,"Sherbrooke/Sherbrooke"," 84A","Sherbrooke",66,1,57,38,1,6,0,6,3,178,429
24073,"Sherbrooke/Sherbrooke"," 84B","Sherbrooke",Merged with No./Fusionné avec le n°403,,,,,,,,,,94
24073,"Sherbrooke/Sherbrooke"," 85","Sherbrooke",58,0,60,35,1,10,0,15,2,181,372
24073,"Sherbrooke/Sherbrooke"," 86","Sherbrooke",100,0,48,35,0,10,0,15,0,208,398
24073,"Sherbrooke/Sherbrooke"," 87","Sherbrooke",41,3,47,31,1,11,0,4,1,139,366
24073,"Sherbrooke/Sherbrooke"," 88","Sherbrooke",66,0,40,32,0,7,0,18,0,163,331
24073,"Sherbrooke/Sherbrooke"," 89","Sherbrooke",46,0,61,40,4,5,1,17,4,178,398
24073,"Sherbrooke/Sherbrooke"," 90","Sherbrooke",29,1,34,42,2,8,0,13,4,133,449
24073,"Sherbrooke/Sherbrooke"," 91","Sherbrooke",40,0,63,38,0,6,0,8,0,155,406
24073,"Sherbrooke/Sherbrooke"," 92","Sherbrooke",26,1,25,40,0,6,0,18,1,117,396
24073,"Sherbrooke/Sherbrooke"," 93","Sherbrooke",29,0,56,42,2,10,0,18,2,159,450
24073,"Sherbrooke/Sherbrooke"," 94","Sherbrooke",44,0,32,43,0,2,0,16,0,137,440
24073,"Sherbrooke/Sherbrooke"," 95","Sherbrooke",31,0,47,28,0,5,3,7,3,124,406
24073,"Sherbrooke/Sherbrooke"," 96","Sherbrooke",29,0,30,46,0,4,0,9,2,120,437
24073,"Sherbrooke/Sherbrooke"," 97","Sherbrooke",34,0,48,33,0,8,0,14,1,138,442
24073,"Sherbrooke/Sherbrooke"," 98","Sherbrooke",51,2,81,32,2,8,3,8,4,191,391
24073,"Sherbrooke/Sherbrooke"," 99","Sherbrooke",50,0,89,29,0,17,6,9,4,204,544
24073,"Sherbrooke/Sherbrooke"," 100","Sherbrooke",20,1,44,30,3,11,2,5,0,116,347
24073,"Sherbrooke/Sherbrooke"," 101","Sherbrooke",25,0,56,21,2,9,3,2,3,121,382
24073,"Sherbrooke/Sherbrooke"," 102","Sherbrooke",38,1,68,40,1,21,1,6,5,181,403
24073,"Sherbrooke/Sherbrooke"," 103","Sherbrooke",19,2,34,27,0,10,1,3,3,99,378
24073,"Sherbrooke/Sherbrooke"," 104","Sherbrooke",31,0,61,32,1,12,0,7,5,149,426
24073,"Sherbrooke/Sherbrooke"," 105","Sherbrooke",79,2,75,53,0,16,0,6,3,234,433
24073,"Sherbrooke/Sherbrooke"," 106","Sherbrooke",71,1,84,57,0,15,0,5,2,235,397
24073,"Sherbrooke/Sherbrooke"," 107","Sherbrooke",70,1,92,36,1,18,0,16,2,236,440
24073,"Sherbrooke/Sherbrooke"," 108","Sherbrooke",57,4,83,44,1,17,0,8,3,217,406
24073,"Sherbrooke/Sherbrooke"," 109","Sherbrooke",51,2,59,30,1,10,0,5,2,160,338
24073,"Sherbrooke/Sherbrooke"," 110","Sherbrooke",34,4,106,53,1,19,3,5,4,229,428
24073,"Sherbrooke/Sherbrooke"," 111","Sherbrooke",44,1,53,41,0,11,0,7,3,160,359
24073,"Sherbrooke/Sherbrooke"," 112","Sherbrooke",66,1,62,44,2,16,0,4,2,197,424
24073,"Sherbrooke/Sherbrooke"," 113","Sherbrooke",44,1,53,36,4,3,0,13,6,160,407
24073,"Sherbrooke/Sherbrooke"," 114","Sherbrooke",34,1,35,28,8,10,1,7,4,128,352
24073,"Sherbrooke/Sherbrooke"," 115","Sherbrooke",54,2,57,56,5,7,0,25,2,208,456
