Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mario Beaulieu,Robert Coutu,Franco Fiori,Jacinthe Lafrenaye,Randy Manseau,Ève Péclet,Jonathan Plamondon,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 110","Montréal",63,15,5,1,3,29,39,0,0,155,356
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 111","Montréal",69,5,7,1,2,12,26,1,4,127,361
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 112","Montréal",58,17,4,0,0,22,52,0,1,154,359
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 113","Montréal",112,15,9,2,2,32,29,0,4,205,381
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 114","Montréal",90,17,8,1,2,29,112,0,2,261,458
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 115","Montréal",78,16,4,2,1,20,57,1,1,180,355
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 116","Montréal",89,18,4,2,1,21,65,0,3,203,388
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 117","Montréal",74,12,9,1,4,29,36,0,4,169,369
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 118","Montréal",56,4,2,0,1,21,27,0,1,112,322
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 119","Montréal",79,9,6,0,1,15,51,0,6,167,344
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 120","Montréal",82,18,4,0,1,20,66,0,7,198,363
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 121","Montréal",52,2,5,0,0,11,28,0,1,99,351
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 122","Montréal",63,20,10,0,1,34,100,0,2,230,468
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 123A","Montréal",29,15,8,0,1,23,71,0,2,149,385
