Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jane Davidson,Harinderpal Hundal,Navjit Kaur,Kamal Khera,Anjum Malik,Roger Sampson,Paul Tannahill,Murarilal Thapliyal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 81","Brampton",8,0,45,85,1,3,2,35,4,183,479
35012,"Brampton West/Brampton-Ouest"," 82","Brampton",4,2,76,169,0,2,3,48,15,319,551
35012,"Brampton West/Brampton-Ouest"," 83","Brampton",15,0,46,139,0,3,3,55,14,275,502
35012,"Brampton West/Brampton-Ouest"," 84","Brampton",8,0,46,136,0,1,4,59,0,254,496
35012,"Brampton West/Brampton-Ouest"," 85","Brampton",6,0,57,153,0,0,0,32,5,253,512
35012,"Brampton West/Brampton-Ouest"," 86","Brampton",8,2,41,157,0,1,0,42,17,268,480
35012,"Brampton West/Brampton-Ouest"," 87","Brampton",2,0,32,142,0,0,0,45,4,225,489
35012,"Brampton West/Brampton-Ouest"," 88","Brampton",5,0,46,124,0,1,0,50,2,228,490
35012,"Brampton West/Brampton-Ouest"," 89","Brampton",2,0,64,124,1,2,0,45,1,239,498
35012,"Brampton West/Brampton-Ouest"," 90","Brampton",5,0,46,114,2,1,2,46,3,219,448
35012,"Brampton West/Brampton-Ouest"," 91","Brampton",3,0,35,127,0,1,6,44,4,220,447
35012,"Brampton West/Brampton-Ouest"," 92","Brampton",1,0,41,141,0,1,1,34,5,224,541
35012,"Brampton West/Brampton-Ouest"," 93","Brampton",6,2,38,113,0,0,0,34,7,200,515
35012,"Brampton West/Brampton-Ouest"," 94","Brampton",1,1,45,129,0,4,0,40,1,221,503
35012,"Brampton West/Brampton-Ouest"," 95","Brampton",4,1,53,97,0,0,5,40,2,202,500
35012,"Brampton West/Brampton-Ouest"," 96","Brampton",9,0,29,96,0,4,3,71,3,215,526
35012,"Brampton West/Brampton-Ouest"," 97","Brampton",5,1,50,122,0,2,3,56,0,239,512
35012,"Brampton West/Brampton-Ouest"," 98","Brampton",4,0,48,132,0,2,2,60,1,249,530
35012,"Brampton West/Brampton-Ouest"," 99","Brampton",7,1,32,122,0,1,2,44,2,211,438
35012,"Brampton West/Brampton-Ouest"," 100","Brampton",2,5,39,172,0,2,0,31,2,253,491
35012,"Brampton West/Brampton-Ouest"," 101","Brampton",2,0,40,103,0,2,0,39,1,187,451
35012,"Brampton West/Brampton-Ouest"," 102","Brampton",4,1,23,111,0,2,2,42,4,189,495
35012,"Brampton West/Brampton-Ouest"," 103","Brampton",3,0,51,101,0,3,0,43,1,202,477
35012,"Brampton West/Brampton-Ouest"," 104","Brampton",8,0,30,103,1,1,0,43,2,188,485
35012,"Brampton West/Brampton-Ouest"," 105","Brampton",9,0,36,96,0,7,3,61,4,216,465
35012,"Brampton West/Brampton-Ouest"," 106","Brampton",13,0,37,77,0,9,2,86,2,226,467
35012,"Brampton West/Brampton-Ouest"," 107","Brampton",17,0,38,110,0,5,2,64,3,239,521
35012,"Brampton West/Brampton-Ouest"," 108","Brampton",12,2,45,99,0,5,6,51,3,223,487
35012,"Brampton West/Brampton-Ouest"," 109","Brampton",11,2,40,68,0,5,1,73,1,201,414
35012,"Brampton West/Brampton-Ouest"," 110","Brampton",16,1,32,107,0,5,0,65,3,229,441
35012,"Brampton West/Brampton-Ouest"," 111","Brampton",13,0,46,124,1,4,1,68,0,257,474
