Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Kathol,Pat Kelly,Nathan LeBlanc Fortin,Tyler Poulin,Shaoli Wang,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 607","Calgary",226,1092,87,19,2,23,5,1454,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 608","Calgary",186,813,81,20,3,23,0,1126,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 609","Calgary",167,712,113,19,10,44,10,1075,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 610","Calgary",218,1253,82,18,5,31,3,1610,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 611","Calgary",211,819,90,19,1,46,2,1188,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 612","Calgary",271,1113,124,30,4,32,0,1574,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 613","Calgary",108,521,50,13,3,13,3,711,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 614","Calgary",195,674,61,9,0,19,1,959,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 615","Calgary",237,759,90,10,2,11,1,1110,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 616","Calgary",157,853,81,18,4,25,5,1143,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 617","Calgary",240,908,102,13,5,46,4,1318,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 618","Calgary",213,1098,122,15,3,27,1,1479,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 619","Calgary",246,1161,87,21,6,21,3,1545,
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge",,Group 1/Groupe 1, 75,111,9,4,0,11,13,223,329
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge",,Group 2/Groupe 2, 440,1658,225,39,10,110,73,2555,
