Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Andrea Clarke,Daniel Green,Célia Grimard,Mark John Hiemstra,Sabin Lévesque,Jasmine Louras,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 20","Montréal",102,71,27,25,2,1,4,1,233,452
24054,"Outremont/Outremont"," 21","Montréal",69,85,24,20,3,0,7,3,211,403
24054,"Outremont/Outremont"," 22","Montréal",102,112,51,32,3,2,5,3,310,543
24054,"Outremont/Outremont"," 23","Montréal",82,107,39,34,1,1,3,1,268,437
24054,"Outremont/Outremont"," 24","Montréal",53,67,28,28,1,1,0,0,178,388
24054,"Outremont/Outremont"," 25","Montréal",27,66,30,6,0,2,3,1,135,428
24054,"Outremont/Outremont"," 26","Montréal",27,52,20,7,1,3,4,0,114,315
24054,"Outremont/Outremont"," 27","Outremont",18,20,5,7,0,0,0,0,50,367
24054,"Outremont/Outremont"," 28","Montréal",93,46,33,23,1,2,10,0,208,409
24054,"Outremont/Outremont"," 29","Montréal",80,77,34,28,2,2,9,0,232,418
24054,"Outremont/Outremont"," 30","Montréal",78,51,16,24,0,4,8,2,183,379
24054,"Outremont/Outremont"," 31","Montréal",92,70,39,21,1,2,4,0,229,428
24054,"Outremont/Outremont"," 32","Montréal",77,55,30,20,1,2,0,0,185,505
24054,"Outremont/Outremont"," 33","Montréal",83,52,23,18,1,2,4,3,186,359
24054,"Outremont/Outremont"," 34","Montréal",62,57,37,23,1,3,8,1,192,429
24054,"Outremont/Outremont"," 35","Montréal",68,52,24,19,0,1,4,1,169,431
24054,"Outremont/Outremont"," 36","Montréal",84,79,31,29,0,0,4,2,229,482
24054,"Outremont/Outremont"," 37","Montréal",39,47,21,15,2,4,4,2,134,391
24054,"Outremont/Outremont"," 38","Montréal",24,36,25,12,0,4,5,2,108,510
24054,"Outremont/Outremont"," 39","Montréal",64,68,33,20,1,0,19,2,207,447
24054,"Outremont/Outremont"," 40","Outremont",34,40,22,12,0,0,4,1,113,449
24054,"Outremont/Outremont"," 41","Outremont",25,10,7,5,0,0,2,0,49,321
24054,"Outremont/Outremont"," 42","Montréal",33,49,16,15,0,0,5,0,118,401
24054,"Outremont/Outremont"," 43","Outremont",50,36,16,23,1,3,2,1,132,471
24054,"Outremont/Outremont"," 44","Montréal",95,87,43,34,2,0,5,0,266,533
24054,"Outremont/Outremont"," 45","Outremont",47,34,19,11,0,0,4,1,116,374
24054,"Outremont/Outremont"," 46","Outremont",29,4,2,14,0,1,5,1,56,414
24054,"Outremont/Outremont"," 47","Montréal",75,48,21,22,2,1,3,2,174,392
24054,"Outremont/Outremont"," 48","Montréal",95,60,30,23,1,4,6,2,221,500
24054,"Outremont/Outremont"," 49","Montréal",81,75,26,20,5,3,8,0,218,424
24054,"Outremont/Outremont"," 50","Montréal",85,41,19,14,0,3,8,5,175,334
24054,"Outremont/Outremont"," 51","Montréal",86,59,29,29,1,0,4,1,209,352
24054,"Outremont/Outremont"," 52","Montréal",93,93,28,13,2,0,7,3,239,430
24054,"Outremont/Outremont"," 53","Montréal",55,48,20,9,0,1,3,1,137,278
24054,"Outremont/Outremont"," 54","Montréal",78,91,23,21,5,4,9,1,232,452
24054,"Outremont/Outremont"," 55","Montréal",53,60,25,20,0,3,12,2,175,386
24054,"Outremont/Outremont"," 56","Montréal",87,71,34,28,0,1,1,3,225,536
24054,"Outremont/Outremont"," 57","Outremont",64,41,33,42,0,3,10,0,193,507
24054,"Outremont/Outremont"," 58","Outremont",53,57,46,25,1,2,3,0,187,488
24054,"Outremont/Outremont"," 59","Outremont",53,26,25,27,0,0,5,1,137,498
24054,"Outremont/Outremont"," 60","Montréal",86,49,26,25,1,6,13,3,209,569
24054,"Outremont/Outremont"," 61","Outremont",77,38,26,47,1,3,7,3,202,488
24054,"Outremont/Outremont"," 62","Outremont",76,47,39,26,0,1,1,3,193,545
24054,"Outremont/Outremont"," 63","Outremont",72,29,26,32,0,0,6,1,166,541
24054,"Outremont/Outremont"," 64","Outremont",104,37,28,59,0,0,7,3,238,545
24054,"Outremont/Outremont"," 65","Outremont",98,22,16,41,0,3,15,1,196,495
24054,"Outremont/Outremont"," 66","Outremont",87,16,34,36,1,2,32,1,209,500
24054,"Outremont/Outremont"," 67","Outremont",46,43,15,26,0,0,11,1,142,438
24054,"Outremont/Outremont"," 68","Outremont",16,31,13,6,1,0,1,0,68,318
24054,"Outremont/Outremont"," 69","Outremont",97,41,30,41,0,1,13,3,226,463
24054,"Outremont/Outremont"," 70","Outremont",75,37,51,66,0,0,4,1,234,456
24054,"Outremont/Outremont"," 71","Outremont",67,37,44,33,0,0,8,2,191,417
24054,"Outremont/Outremont"," 72","Outremont",80,48,21,30,0,3,10,1,193,419
24054,"Outremont/Outremont"," 73","Outremont",81,40,31,25,1,3,15,3,199,413
24054,"Outremont/Outremont"," 74","Outremont",71,34,43,44,2,1,7,1,203,430
24054,"Outremont/Outremont"," 75","Outremont",62,37,34,23,0,1,4,1,162,435
24054,"Outremont/Outremont"," 76","Outremont",109,26,30,31,0,0,12,0,208,515
24054,"Outremont/Outremont"," 77","Outremont",103,28,24,32,1,0,19,4,211,453
24054,"Outremont/Outremont"," 78","Outremont",69,28,31,30,1,2,8,0,169,465
24054,"Outremont/Outremont"," 79","Outremont",44,16,10,30,0,0,6,0,106,351
24054,"Outremont/Outremont"," 80","Outremont",67,18,16,38,0,0,7,0,146,336
24054,"Outremont/Outremont"," 81","Outremont",108,16,27,46,0,2,12,2,213,380
24054,"Outremont/Outremont"," 82","Outremont",87,20,22,39,0,0,20,2,190,414
24054,"Outremont/Outremont"," 83","Outremont",130,21,39,28,0,6,40,0,264,508
24054,"Outremont/Outremont"," 84","Outremont",69,11,12,25,1,1,10,0,129,412
24054,"Outremont/Outremont"," 85","Outremont",83,15,20,30,0,0,8,1,157,413
24054,"Outremont/Outremont"," 86","Outremont",95,29,29,43,0,2,15,3,216,449
24054,"Outremont/Outremont"," 87","Montréal",20,11,6,5,0,0,4,1,47,388
24054,"Outremont/Outremont"," 88","Montréal",83,12,9,28,0,1,14,0,147,474
24054,"Outremont/Outremont"," 89","Montréal",98,15,9,14,0,1,30,3,170,493
24054,"Outremont/Outremont"," 90","Montréal",104,26,18,9,0,4,30,6,197,540
24054,"Outremont/Outremont"," 91","Outremont",78,23,25,46,1,2,16,1,192,428
24054,"Outremont/Outremont"," 92","Montréal",61,24,15,33,0,3,37,1,174,452
24054,"Outremont/Outremont"," 93","Montréal",103,14,14,18,0,1,22,0,172,579
