Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude André,Alexandre Boulerice,Gisèle Desrochers,Jean Désy,Geneviève Hinse,Jos Guitare Lavoie,Bobby Pellerin,Normand Raymond,Johanna Sarfati,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 400","Montréal",10,4,1,0,19,0,0,0,3,2,39,446
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 401","Montréal",139,45,1,2,120,1,0,0,3,5,316,448
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 402","Montréal",75,30,0,2,34,1,1,0,4,6,153,193
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 403","Montréal",59,74,0,7,44,0,0,1,3,2,190,224
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500A","Mobile poll/Bureau itinérant",20,11,4,8,48,0,0,2,2,5,100,53
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,,32
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500C","Montréal",Merged with No./Fusionné avec le n°7,,,,,,,,,,,13
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 500D","Montréal",Merged with No./Fusionné avec le n°72,,,,,,,,,,,7
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 501","Mobile poll/Bureau itinérant",8,5,0,2,31,1,1,0,4,3,55,208
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502A","Mobile poll/Bureau itinérant",8,10,1,1,34,0,0,0,5,4,63,117
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 502B","Montréal",Merged with No./Fusionné avec le n°10,,,,,,,,,,,5
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 503","Mobile poll/Bureau itinérant",20,10,0,4,36,2,0,0,5,10,87,180
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 504","Mobile poll/Bureau itinérant",5,4,1,1,30,2,0,1,1,6,51,237
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 600","Montréal",273,247,2,34,226,5,3,2,24,5,821,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 601","Montréal",362,355,2,45,252,0,10,1,32,25,1084,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 602","Montréal",274,307,0,31,215,3,4,2,23,20,879,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 603","Montréal",371,444,0,53,297,5,4,1,34,15,1224,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 604","Montréal",364,457,5,52,226,4,3,0,20,10,1141,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 605","Montréal",217,330,1,35,136,2,4,2,17,12,756,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 606","Montréal",292,317,1,45,256,5,8,1,30,8,963,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 607","Montréal",520,509,4,73,544,2,9,2,50,9,1722,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 608","Montréal",293,416,0,54,136,7,1,1,16,4,928,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 609","Montréal",218,434,1,37,156,7,1,0,13,6,873,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 610","Montréal",209,357,1,49,164,5,6,1,8,6,806,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 611","Montréal",216,554,0,78,191,5,4,2,28,10,1088,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 612","Montréal",200,479,2,60,203,7,3,2,18,11,985,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 613","Montréal",182,392,0,52,129,4,7,5,15,1,787,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 614","Montréal",105,326,0,35,159,0,9,0,21,7,662,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 615","Montréal",180,410,1,60,192,3,5,1,17,7,876,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 1/Groupe 1, 20,81,0,17,60,2,1,0,4,13,198,281
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 2/Groupe 2, 337,825,2,180,394,6,5,3,46,41,1839,
