Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chani Aryeh-Bain,Reuben DeBoer,Marco Mendicino,Alexandra Nash,Michael Staffieri,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 84","Toronto",60,9,143,10,2,0,224,428
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 85","Toronto",62,14,140,35,2,2,255,492
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 86","Toronto",65,12,150,23,3,0,253,479
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 87","Toronto",43,15,134,36,5,2,235,426
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 88","North York",19,2,39,6,1,0,67,593
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 89","North York",11,1,23,4,1,0,40,419
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 90","North York",47,5,42,11,1,0,106,532
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 91","North York",18,3,41,3,1,0,66,420
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 92","North York",13,0,16,3,0,0,32,395
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 93","North York",16,1,37,7,1,3,65,382
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 94","North York",44,2,35,4,1,0,86,465
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 95","North York",28,1,31,11,0,2,73,406
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 96","North York",28,1,44,12,1,0,86,343
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 97","North York",67,8,148,26,9,7,265,549
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 98","Toronto",62,14,198,46,5,1,326,556
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 99","Toronto",59,14,148,17,6,0,244,523
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 100","Toronto",61,13,123,13,1,0,211,467
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 101","Toronto",38,26,155,21,3,0,243,533
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 102","Toronto",35,11,139,15,1,4,205,443
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 103","Toronto",60,12,116,25,0,0,213,389
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 104","Toronto",35,8,148,32,4,1,228,404
35024,"Eglinton--Lawrence/Eglinton--Lawrence"," 105","Toronto",66,4,82,12,1,1,166,375
