Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Caldwell,Branko Gasperlin,James Maloney,Janice Murray,Barry O'Brien,Jude Sulejmani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,89
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 501","Mobile poll/Bureau itinérant",6,4,88,0,52,0,3,153,299
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 502","Mobile poll/Bureau itinérant",4,7,41,1,30,2,1,86,249
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 503A","Mobile poll/Bureau itinérant",12,13,96,1,49,5,4,180,316
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 503B","Etobicoke",Merged with No./Fusionné avec le n°131,,,,,,,,149
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 600","Etobicoke",45,109,436,1,230,3,2,826,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 601","Etobicoke",24,47,225,3,66,5,3,373,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 602","Etobicoke",61,35,493,1,332,9,2,933,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 603","Etobicoke",129,101,1005,0,710,21,4,1970,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 604","Etobicoke",113,115,906,3,579,24,1,1741,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 605","Etobicoke",36,62,394,2,236,8,2,740,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 606","Etobicoke",12,24,129,0,73,4,0,242,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 607","Etobicoke",57,117,557,5,313,9,4,1062,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 608","Etobicoke",59,95,578,3,391,18,2,1146,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 609","Etobicoke",36,81,430,3,226,7,1,784,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 610","Etobicoke",41,36,287,0,166,8,0,538,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 611","Etobicoke",54,92,414,1,217,10,1,789,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 612","Etobicoke",40,86,422,0,220,7,4,779,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 613","Etobicoke",50,93,395,1,335,18,1,893,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 614","Etobicoke",49,85,442,1,278,16,8,879,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 615","Etobicoke",120,199,727,2,386,15,4,1453,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 616","Etobicoke",64,150,544,3,254,13,8,1036,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 617","Etobicoke",79,158,597,1,239,10,8,1092,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 1/Groupe 1, 22,33,199,0,36,4,14,308,412
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore",,Group 2/Groupe 2, 133,200,850,1,381,21,38,1624,
