Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Javin Ames-Sinclair,Ashlee Hicks,Robert Kitchen,Judy Mergel,Travis Patron,Phillip Zajac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 510","Mobile poll/Bureau itinérant",10,9,59,2,0,2,0,82,129
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 511","Mobile poll/Bureau itinérant",8,3,42,1,1,0,0,55,83
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 512","Mobile poll/Bureau itinérant",1,3,26,0,0,1,1,32,57
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 513","Mobile poll/Bureau itinérant",3,7,14,0,0,0,0,24,30
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 514","Mobile poll/Bureau itinérant",8,3,55,1,0,0,1,68,95
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Kronau--Lajord",5,31,152,15,0,3,0,206,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Vibank--Odessa--Sedley--Francis",9,22,155,4,1,8,0,199,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Carry the Kettle Nakoda First Nation 76-15",24,79,8,6,1,0,0,118,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Kendal--Montmartre",8,17,172,8,0,1,1,207,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Grenfell",19,18,294,4,2,4,3,344,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Whitewood",16,19,131,3,1,10,0,180,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Moosomin",16,38,591,17,2,19,0,683,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 607","Wawota",4,7,153,3,3,5,2,177,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 608","Weyburn",11,20,405,2,6,8,0,452,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 609","Weyburn",35,82,933,6,1,13,2,1072,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 610","Weyburn",29,76,675,13,2,14,0,809,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 611","Radville",11,22,259,1,0,2,0,295,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 612","Bengough",7,6,186,2,0,1,0,202,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 613","Coronach",5,9,175,1,0,6,0,196,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 614","Estevan",10,22,507,5,1,10,0,555,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 615","Estevan",37,30,758,7,0,20,3,855,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 616","Estevan",29,32,969,13,0,28,7,1078,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 617","Oxbow",5,2,406,3,0,5,0,421,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 618","Lampman",8,38,460,17,2,10,0,535,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 619","Redvers",8,9,279,4,2,4,0,306,
47013,"Souris--Moose Mountain/Souris--Moose Mountain"," 620","Carnduff",2,16,334,4,0,10,0,366,
47013,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 1/Groupe 1, 17,13,28,5,0,4,9,76,76
47013,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 2/Groupe 2, 43,85,1107,22,2,28,14,1301,
