Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raheem Aman,Eric Duncan,Heather Megill,Kelsey Catherine Schmitz,Sabile Trimm,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 403","Cornwall",3,28,55,6,1,3,96,149
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 404","Cornwall",4,36,47,11,1,3,102,154
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 500","Mobile poll/Bureau itinérant",1,18,38,3,0,7,67,118
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 501","Mobile poll/Bureau itinérant",2,44,16,4,1,2,69,122
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 502","Mobile poll/Bureau itinérant",2,29,37,8,2,5,83,172
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 503","Mobile poll/Bureau itinérant",6,24,22,6,1,8,67,191
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 504","Mobile poll/Bureau itinérant",4,35,57,3,5,16,120,189
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 505","Mobile poll/Bureau itinérant",3,20,18,1,1,1,44,111
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 506","Mobile poll/Bureau itinérant",1,32,46,15,5,7,106,179
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 507","Mobile poll/Bureau itinérant",3,11,22,3,2,2,43,85
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 508","Mobile poll/Bureau itinérant",4,46,41,3,3,13,110,206
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 509","Mobile poll/Bureau itinérant",3,50,34,4,1,5,97,155
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 510","Mobile poll/Bureau itinérant",1,51,23,4,0,4,83,148
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 600","South Glengarry",17,255,123,34,20,1,450,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 601","South Glengarry",38,343,230,57,30,7,705,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 602","South Glengarry",40,249,108,51,8,4,460,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 603","South Glengarry",24,283,211,60,16,3,597,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 604","Cornwall",29,467,276,90,13,9,884,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 605","Cornwall",32,267,187,84,13,5,588,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 606","Cornwall",40,394,293,119,18,6,870,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 607","Cornwall",39,340,335,114,19,14,861,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 608","Cornwall",11,353,222,97,7,9,699,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 609","Cornwall",20,298,161,96,14,13,602,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 610","Cornwall",21,430,264,105,15,4,839,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 611","South Stormont",24,449,157,89,14,2,735,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 612","Cornwall",14,379,163,101,16,5,678,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 613","South Stormont",16,241,75,42,8,5,387,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 614","North Stormont",16,292,100,52,4,1,465,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 615","North Stormont",8,318,116,60,20,1,523,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 616","Gallingertown",24,543,126,67,11,1,772,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 617","South Dundas",13,494,99,52,13,3,674,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 618","North Dundas",20,554,76,41,10,4,705,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 619","Reids Mills",18,496,90,81,15,5,705,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 620","Reids Mills",20,348,63,40,13,3,487,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 621","North Dundas",39,434,84,51,9,2,619,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry"," 622","South Dundas",34,691,108,59,7,2,901,
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,Group 1/Groupe 1, 15,37,49,17,5,4,127,129
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",,Group 2/Groupe 2, 87,659,428,178,23,25,1400,
