Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Dias,Todd McCarthy,Mirko Pejic,Paul Slavchenko,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 86","Whitby",37,128,2,15,107,3,292,458
35114,"Whitby/Whitby"," 87","Whitby",24,100,5,17,137,5,288,493
35114,"Whitby/Whitby"," 88","Whitby",31,88,2,11,108,1,241,446
35114,"Whitby/Whitby"," 89","Whitby",30,72,2,11,97,1,213,399
35114,"Whitby/Whitby"," 90","Whitby",40,67,4,11,92,1,215,340
35114,"Whitby/Whitby"," 91","Whitby",46,132,1,27,113,2,321,579
35114,"Whitby/Whitby"," 92","Whitby",36,80,3,6,147,3,275,549
35114,"Whitby/Whitby"," 93","Whitby",17,31,2,6,56,1,113,243
35114,"Whitby/Whitby"," 94","Whitby",42,91,3,16,148,1,301,513
35114,"Whitby/Whitby"," 95","Whitby",46,126,6,14,165,2,359,624
35114,"Whitby/Whitby"," 96","Whitby",26,128,5,10,82,1,252,495
35114,"Whitby/Whitby"," 97","Whitby",37,100,4,7,72,0,220,474
35114,"Whitby/Whitby"," 98","Whitby",27,44,0,8,70,0,149,304
35114,"Whitby/Whitby"," 99","Whitby",46,70,8,11,145,0,280,522
35114,"Whitby/Whitby"," 100","Whitby",29,53,1,10,115,1,209,440
35114,"Whitby/Whitby"," 101","Whitby",38,66,1,11,129,1,246,520
35114,"Whitby/Whitby"," 102","Whitby",47,84,10,17,147,3,308,570
35114,"Whitby/Whitby"," 103","Whitby",26,47,4,4,77,0,158,358
35114,"Whitby/Whitby"," 104","Whitby",34,39,1,4,91,1,170,348
35114,"Whitby/Whitby"," 105","Whitby",22,42,1,11,63,3,142,326
35114,"Whitby/Whitby"," 106","Whitby",30,87,3,12,93,2,227,468
35114,"Whitby/Whitby"," 107","Whitby",43,87,2,3,104,1,240,538
35114,"Whitby/Whitby"," 108","Whitby",29,77,2,7,90,2,207,427
35114,"Whitby/Whitby"," 109","Whitby",29,74,2,9,130,0,244,435
35114,"Whitby/Whitby"," 110","Whitby",57,80,4,11,81,5,238,449
35114,"Whitby/Whitby"," 111","Whitby",12,78,3,8,127,1,229,441
35114,"Whitby/Whitby"," 112","Whitby",30,70,3,4,138,2,247,493
35114,"Whitby/Whitby"," 113","Whitby",34,80,1,18,100,1,234,435
35114,"Whitby/Whitby"," 114","Whitby",39,91,2,22,107,1,262,448
35114,"Whitby/Whitby"," 115","Whitby",38,86,0,13,86,2,225,415
35114,"Whitby/Whitby"," 116","Whitby",31,86,4,11,78,4,214,411
35114,"Whitby/Whitby"," 117","Whitby",21,62,0,13,87,1,184,326
35114,"Whitby/Whitby"," 118","Whitby",28,95,1,13,117,1,255,481
35114,"Whitby/Whitby"," 119","Whitby",28,74,2,9,109,2,224,449
35114,"Whitby/Whitby"," 120","Whitby",17,71,0,12,90,4,194,386
35114,"Whitby/Whitby"," 121","Whitby",69,70,5,14,77,0,235,416
35114,"Whitby/Whitby"," 122","Whitby",28,61,1,15,46,0,151,285
35114,"Whitby/Whitby"," 123","Whitby",39,87,1,13,95,0,235,401
35114,"Whitby/Whitby"," 124","Whitby",31,72,1,8,150,6,268,456
35114,"Whitby/Whitby"," 125","Whitby",38,77,6,11,85,1,218,451
35114,"Whitby/Whitby"," 126","Whitby",40,47,3,12,117,2,221,438
35114,"Whitby/Whitby"," 127","Whitby",27,58,0,4,75,1,165,320
35114,"Whitby/Whitby"," 128","Whitby",40,73,7,11,119,1,251,536
35114,"Whitby/Whitby"," 129","Whitby",26,100,1,14,95,1,237,500
35114,"Whitby/Whitby"," 130","Whitby",30,101,1,9,93,1,235,449
35114,"Whitby/Whitby"," 131","Whitby",31,85,3,6,100,4,229,455
35114,"Whitby/Whitby"," 132","Whitby",27,70,2,9,104,0,212,456
35114,"Whitby/Whitby"," 133","Whitby",17,112,3,14,94,1,241,436
35114,"Whitby/Whitby"," 134","Whitby",68,100,5,16,114,1,304,598
35114,"Whitby/Whitby"," 135","Whitby",42,72,3,19,114,2,252,507
35114,"Whitby/Whitby"," 136","Whitby",34,76,5,10,86,0,211,397
35114,"Whitby/Whitby"," 137","Whitby",35,99,0,11,124,0,269,496
35114,"Whitby/Whitby"," 138","Whitby",55,76,5,7,125,2,270,485
35114,"Whitby/Whitby"," 139","Whitby",34,79,4,12,140,1,270,435
35114,"Whitby/Whitby"," 140","Whitby",34,66,3,14,131,2,250,508
35114,"Whitby/Whitby"," 141","Whitby",46,77,3,7,99,2,234,428
35114,"Whitby/Whitby"," 142","Whitby",26,44,0,12,71,2,155,327
35114,"Whitby/Whitby"," 143","Whitby",41,100,2,17,100,0,260,433
35114,"Whitby/Whitby"," 144","Whitby",29,74,4,9,96,3,215,364
